Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alperen Şengün,Shared Games with Boban Marjanović,Shared Games with Bruno Fernando,Shared Games with Daishen Nix,Shared Games with Darius Days,Shared Games with Eric Gordon,Shared Games with Garrison Mathews,Shared Games with Jabari Smith Jr.,Shared Games with Jae'Sean Tate,Shared Games with Jalen Green,Shared Games with Josh Christopher,Shared Games with Kenyon Martin Jr.,Shared Games with Kevin Porter Jr.,Shared Games with Tari Eason,Shared Games with Trevor Hudgins,Shared Games with TyTy Washington Jr.,Alperen Şengün,Boban Marjanović,Bruno Fernando,Daishen Nix,Darius Days,Eric Gordon,Garrison Mathews,Jabari Smith Jr.,Jae'Sean Tate,Jalen Green,Josh Christopher,Kenyon Martin Jr.,Kevin Porter Jr.,Tari Eason,Trevor Hudgins,TyTy Washington Jr.,Willie Cauley-Stein,co_inf with Alperen Şengün,co_inf with Boban Marjanović,co_inf with Bruno Fernando,co_inf with Daishen Nix,co_inf with Darius Days,co_inf with Eric Gordon,co_inf with Garrison Mathews,co_inf with Jabari Smith Jr.,co_inf with Jae'Sean Tate,co_inf with Jalen Green,co_inf with Josh Christopher,co_inf with Kenyon Martin Jr.,co_inf with Kevin Porter Jr.,co_inf with Tari Eason,co_inf with Trevor Hudgins,co_inf with TyTy Washington Jr.,co_inf with Willie Cauley-Stein,Shared Games with Frank Kaminsky,Shared Games with Justin Holiday,Frank Kaminsky,Jarrett Culver,John Wall,co_inf with Frank Kaminsky,co_inf with John Wall,co_inf with Jarrett Culver,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
12.0,10.0,2022-11-09,20-245,HOU,TOR,0,14.066666666666666,2.0,5.0,.400,0.0,0.0,,0,0.0,,4.0,4.0,8.0,3.0,0.0,2.0,0.0,1.0,4.0,8.4,+7,5.0,2.0,0.4,68,30,24,54,4,41,39,72,27,71,57,75,57,75,5,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,,0.9066666666666666,0.967741935483871,0.6153846153846154,0.9473684210526316,1.0,0.5942028985507246,0.7222222222222222,0.9113924050632912,0.8709677419354839,0.9342105263157896,0.890625,0.9146341463414634,0.9661016949152542,0.9146341463414634,1.0,0.935483870967742,,9,29,36.0,10.0,34.0,0.25,0.0,0.0,18,12.0,71.0,3.9444444444444446,8.399999999999999,73.49999999999999,4.083333333333332,12.9,1.8,-1.4,-2.0,0.6,0.0247770069375619,0.569,0.333,0.266,0.2,0.9,L (-7),L (-7)
13.0,11.0,2022-11-12,20-248,HOU,NOP,0,23.28333333333333,1.0,2.0,.500,1.0,1.0,1.000,1,2.0,.500,1.0,5.0,6.0,0.0,1.0,1.0,2.0,2.0,4.0,3.7,+1,1.0,0.0,0.0,68,30,24,54,4,41,39,72,27,71,57,75,57,75,5,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,,0.9066666666666666,0.967741935483871,0.6153846153846154,0.9473684210526316,1.0,0.5942028985507246,0.7222222222222222,0.9113924050632912,0.8709677419354839,0.9342105263157896,0.890625,0.9146341463414634,0.9661016949152542,0.9146341463414634,1.0,0.935483870967742,,9,29,36.0,10.0,34.0,0.25,0.0,0.0,18,6.0,59.0,3.2777777777777777,3.3000000000000007,59.0,3.2777777777777777,12.9,1.8,-1.4,-2.0,0.6,0.0247770069375619,0.569,0.333,0.266,0.2,0.9,L (-13),L (-13)
14.0,12.0,2022-11-14,20-250,HOU,LAC,0,17.316666666666666,2.0,3.0,.667,0.0,0.0,,1,2.0,.500,2.0,2.0,4.0,2.0,1.0,3.0,0.0,3.0,5.0,8.6,-6,3.0,2.0,0.6666666666666666,68,30,24,54,4,41,39,72,27,71,57,75,57,75,5,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,,0.9066666666666666,0.967741935483871,0.6153846153846154,0.9473684210526316,1.0,0.5942028985507246,0.7222222222222222,0.9113924050632912,0.8709677419354839,0.9342105263157896,0.890625,0.9146341463414634,0.9661016949152542,0.9146341463414634,1.0,0.935483870967742,,9,29,36.0,10.0,34.0,0.25,0.0,0.0,18,10.0,40.0,2.2222222222222223,8.2,60.8,3.3777777777777778,12.9,1.8,-1.4,-2.0,0.6,0.0247770069375619,0.569,0.333,0.266,0.2,0.9,L (-16),L (-16)
15.0,13.0,2022-11-16,20-252,HOU,DAL,0,21.78333333333333,5.0,5.0,1.000,2.0,2.0,1.000,0,0.0,,1.0,8.0,9.0,3.0,0.0,3.0,0.0,3.0,12.0,16.6,+16,3.0,3.0,1.0,68,30,24,54,4,41,39,72,27,71,57,75,57,75,5,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,,0.9066666666666666,0.967741935483871,0.6153846153846154,0.9473684210526316,1.0,0.5942028985507246,0.7222222222222222,0.9113924050632912,0.8709677419354839,0.9342105263157896,0.890625,0.9146341463414634,0.9661016949152542,0.9146341463414634,1.0,0.935483870967742,,9,29,36.0,10.0,34.0,0.25,0.0,0.0,18,22.0,70.0,3.888888888888889,16.599999999999998,59.49999999999999,3.305555555555556,12.9,1.8,-1.4,-2.0,0.6,0.0247770069375619,0.569,0.333,0.266,0.2,0.9,W (+9),W (+9)
16.0,14.0,2022-11-18,20-254,HOU,IND,0,19.966666666666665,2.0,4.0,.500,0.0,0.0,,0,0.0,,0.0,4.0,4.0,0.0,1.0,0.0,0.0,2.0,4.0,3.4,-12,4.0,2.0,0.5,68,30,24,54,4,41,39,72,27,71,57,75,57,75,5,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,,0.9066666666666666,0.967741935483871,0.6153846153846154,0.9473684210526316,1.0,0.5942028985507246,0.7222222222222222,0.9113924050632912,0.8709677419354839,0.9342105263157896,0.890625,0.9146341463414634,0.9661016949152542,0.9146341463414634,1.0,0.935483870967742,,9,29,36.0,10.0,34.0,0.25,0.0,0.0,18,5.0,15.0,0.8333333333333334,3.4000000000000004,23.2,1.2888888888888888,12.9,1.8,-1.4,-2.0,0.6,0.0247770069375619,0.569,0.333,0.266,0.2,0.9,L (-8),L (-8)
17.0,15.0,2022-11-20,20-256,HOU,GSW,0,22.25,1.0,4.0,.250,1.0,1.0,1.000,0,0.0,,3.0,3.0,6.0,1.0,2.0,0.0,2.0,1.0,3.0,3.9,-8,3.0,0.0,0.0,68,30,24,54,4,41,39,72,27,71,57,75,57,75,5,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,,0.9066666666666666,0.967741935483871,0.6153846153846154,0.9473684210526316,1.0,0.5942028985507246,0.7222222222222222,0.9113924050632912,0.8709677419354839,0.9342105263157896,0.890625,0.9146341463414634,0.9661016949152542,0.9146341463414634,1.0,0.935483870967742,,9,29,36.0,10.0,34.0,0.25,0.0,0.0,18,6.0,81.0,4.5,3.9,82.5,4.583333333333333,12.9,1.8,-1.4,-2.0,0.6,0.0247770069375619,0.569,0.333,0.266,0.2,0.9,L (-7),L (-7)
18.0,16.0,2022-11-25,20-261,HOU,ATL,0,19.4,1.0,2.0,.500,0.0,1.0,.000,7,8.0,.875,5.0,0.0,5.0,3.0,1.0,2.0,0.0,5.0,9.0,13.6,+5,1.0,1.0,1.0,68,30,24,54,4,41,39,72,27,71,57,75,57,75,5,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,,0.9066666666666666,0.967741935483871,0.6153846153846154,0.9473684210526316,1.0,0.5942028985507246,0.7222222222222222,0.9113924050632912,0.8709677419354839,0.9342105263157896,0.890625,0.9146341463414634,0.9661016949152542,0.9146341463414634,1.0,0.935483870967742,,9,29,36.0,10.0,34.0,0.25,0.0,0.0,18,10.0,59.0,3.2777777777777777,10.799999999999995,58.8,3.2666666666666666,12.9,1.8,-1.4,-2.0,0.6,0.0247770069375619,0.569,0.333,0.266,0.2,0.9,W (+6),W (+6)
19.0,17.0,2022-11-26,20-262,HOU,OKC,0,13.3,0.0,0.0,,0.0,0.0,,0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.2,-4,0.0,0.0,,68,30,24,54,4,41,39,72,27,71,57,75,57,75,5,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,,0.9066666666666666,0.967741935483871,0.6153846153846154,0.9473684210526316,1.0,0.5942028985507246,0.7222222222222222,0.9113924050632912,0.8709677419354839,0.9342105263157896,0.890625,0.9146341463414634,0.9661016949152542,0.9146341463414634,1.0,0.935483870967742,,9,29,36.0,10.0,34.0,0.25,0.0,0.0,18,2.0,68.0,3.7777777777777777,0.1999999999999999,70.3,3.905555555555555,12.9,1.8,-1.4,-2.0,0.6,0.0247770069375619,0.569,0.333,0.266,0.2,0.9,W (+13),W (+13)
20.0,18.0,2022-11-28,20-264,HOU,DEN,0,10.65,2.0,2.0,1.000,0.0,0.0,,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,4.0,2.5,-10,2.0,2.0,1.0,68,30,24,54,4,41,39,72,27,71,57,75,57,75,5,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,,0.9066666666666666,0.967741935483871,0.6153846153846154,0.9473684210526316,1.0,0.5942028985507246,0.7222222222222222,0.9113924050632912,0.8709677419354839,0.9342105263157896,0.890625,0.9146341463414634,0.9661016949152542,0.9146341463414634,1.0,0.935483870967742,,9,29,36.0,10.0,34.0,0.25,0.0,0.0,18,4.0,56.0,3.111111111111111,2.499999999999999,64.19999999999999,3.566666666666666,12.9,1.8,-1.4,-2.0,0.6,0.0247770069375619,0.569,0.333,0.266,0.2,0.9,L (-16),L (-16)
21.0,19.0,2022-11-30,20-266,HOU,DEN,0,14.783333333333331,1.0,3.0,.333,0.0,2.0,.000,0,1.0,.000,0.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.8,-11,1.0,1.0,1.0,68,30,24,54,4,41,39,72,27,71,57,75,57,75,5,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,,0.9066666666666666,0.967741935483871,0.6153846153846154,0.9473684210526316,1.0,0.5942028985507246,0.7222222222222222,0.9113924050632912,0.8709677419354839,0.9342105263157896,0.890625,0.9146341463414634,0.9661016949152542,0.9146341463414634,1.0,0.935483870967742,,9,29,36.0,10.0,34.0,0.25,0.0,0.0,18,3.0,51.0,2.833333333333333,1.7999999999999998,57.79999999999999,3.2111111111111104,12.9,1.8,-1.4,-2.0,0.6,0.0247770069375619,0.569,0.333,0.266,0.2,0.9,,
22.0,20.0,2022-12-02,20-268,HOU,PHO,0,10.583333333333334,0.0,0.0,,0.0,0.0,,1,2.0,.500,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,3.2,+5,0.0,0.0,,68,30,24,54,4,41,39,72,27,71,57,75,57,75,5,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,,0.9066666666666666,0.967741935483871,0.6153846153846154,0.9473684210526316,1.0,0.5942028985507246,0.7222222222222222,0.9113924050632912,0.8709677419354839,0.9342105263157896,0.890625,0.9146341463414634,0.9661016949152542,0.9146341463414634,1.0,0.935483870967742,,9,29,36.0,10.0,34.0,0.25,0.0,0.0,18,3.0,46.0,2.555555555555556,2.8000000000000003,58.5,3.25,12.9,1.8,-1.4,-2.0,0.6,0.0247770069375619,0.569,0.333,0.266,0.2,0.9,L (-20),L (-20)
23.0,21.0,2022-12-03,20-269,HOU,GSW,0,17.1,2.0,3.0,.667,0.0,0.0,,0,0.0,,2.0,8.0,10.0,0.0,0.0,1.0,0.0,2.0,4.0,6.4,-1,3.0,2.0,0.6666666666666666,68,30,24,54,4,41,39,72,27,71,57,75,57,75,5,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,,0.9066666666666666,0.967741935483871,0.6153846153846154,0.9473684210526316,1.0,0.5942028985507246,0.7222222222222222,0.9113924050632912,0.8709677419354839,0.9342105263157896,0.890625,0.9146341463414634,0.9661016949152542,0.9146341463414634,1.0,0.935483870967742,,9,29,36.0,10.0,34.0,0.25,0.0,0.0,18,12.0,39.0,2.1666666666666665,6.4,51.3,2.85,12.9,1.8,-1.4,-2.0,0.6,0.0247770069375619,0.569,0.333,0.266,0.2,0.9,W (+1),W (+1)
24.0,22.0,2022-12-05,20-271,HOU,PHI,0,6.25,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4,-4,1.0,0.0,0.0,68,30,24,54,4,41,39,72,27,71,57,75,57,75,5,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,,0.9066666666666666,0.967741935483871,0.6153846153846154,0.9473684210526316,1.0,0.5942028985507246,0.7222222222222222,0.9113924050632912,0.8709677419354839,0.9342105263157896,0.890625,0.9146341463414634,0.9661016949152542,0.9146341463414634,1.0,0.935483870967742,,9,29,36.0,10.0,34.0,0.25,0.0,0.0,18,0.0,54.0,3.0,-0.3999999999999999,65.69999999999999,3.65,12.9,1.8,-1.4,-2.0,0.6,0.0247770069375619,0.569,0.333,0.266,0.2,0.9,L (-19),L (-19)
25.0,23.0,2022-12-08,20-274,HOU,SAS,0,9.833333333333334,0.0,2.0,.000,0.0,0.0,,0,0.0,,0.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.4,-4,2.0,0.0,0.0,68,30,24,54,4,41,39,72,27,71,57,75,57,75,5,29,75.0,31.0,39.0,57.0,4.0,69.0,54.0,79.0,31.0,76.0,64.0,82.0,59.0,82.0,5.0,31.0,,0.9066666666666666,0.967741935483871,0.6153846153846154,0.9473684210526316,1.0,0.5942028985507246,0.7222222222222222,0.9113924050632912,0.8709677419354839,0.9342105263157896,0.890625,0.9146341463414634,0.9661016949152542,0.9146341463414634,1.0,0.935483870967742,,9,29,36.0,10.0,34.0,0.25,0.0,0.0,18,3.0,55.0,3.055555555555556,0.4000000000000002,61.1,3.3944444444444444,12.9,1.8,-1.4,-2.0,0.6,0.0247770069375619,0.569,0.333,0.266,0.2,0.9,W (+9),W (+9)
