Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Ben Simmons,Shared Games with Cam Thomas,Shared Games with David Duke Jr.,Shared Games with Day'Ron Sharpe,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Kessler Edwards,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with Nic Claxton,Shared Games with Patty Mills,Shared Games with RaiQuan Gray,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with T.J. Warren,Shared Games with Yuta Watanabe,Alondes Williams,Ben Simmons,Cam Thomas,David Duke Jr.,Day'Ron Sharpe,Edmond Sumner,Joe Harris,Kessler Edwards,Kyrie Irving,Markieff Morris,Nic Claxton,Patty Mills,RaiQuan Gray,Royce O'Neale,Seth Curry,T.J. Warren,Yuta Watanabe,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Day'Ron Sharpe,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Kessler Edwards,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with RaiQuan Gray,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with T.J. Warren,co_inf with Yuta Watanabe,Shared Games with Bismack Biyombo,Shared Games with Cameron Johnson,Shared Games with Duane Washington Jr.,Shared Games with Ish Wainright,Shared Games with Jae Crowder,Shared Games with Jock Landale,Shared Games with Josh Okogie,Shared Games with Torrey Craig,Shared Games with Dorian Finney-Smith,Shared Games with Spencer Dinwiddie,Shared Games with Nerlens Noel,Shared Games with Moses Brown,Shared Games with Cameron Payne,Shared Games with Chris Paul,Shared Games with Damion Lee,Shared Games with Darius Bazley,Shared Games with Deandre Ayton,Shared Games with Devin Booker,Shared Games with Landry Shamet,Shared Games with Terrence Ross,Bismack Biyombo,Cameron Payne,Chris Paul,Damion Lee,Darius Bazley,Deandre Ayton,Devin Booker,Ish Wainright,Jaylen Brown,Jock Landale,Josh Okogie,Landry Shamet,Saben Lee,Terrence Ross,Torrey Craig,co_inf with Bismack Biyombo,co_inf with Ish Wainright,co_inf with Jaylen Brown,co_inf with Jock Landale,co_inf with Josh Okogie,co_inf with Torrey Craig,co_inf with Cameron Payne,co_inf with Chris Paul,co_inf with Damion Lee,co_inf with Darius Bazley,co_inf with Deandre Ayton,co_inf with Devin Booker,co_inf with Landry Shamet,co_inf with Saben Lee,co_inf with Terrence Ross,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
22.0,22.0,2022/11/28,34-060,BRK,ORL,1,38.96666666666667,19.0,24.0,0.792,3.0,5.0,0.6,4,4.0,1,1.0,6.0,7.0,5.0,2.0,2.0,6.0,4.0,45.0,37.6,11,19.0,16.0,0.842105263,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,27.0,81.0,2.25,36.0,82.90000000000002,2.3027777777777785,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,W (+14),W (+14)
23.0,23.0,2022/11/30,34-062,BRK,WAS,1,36.86666666666667,13.0,20.0,0.65,2.0,3.0,0.667,11,11.0,1,0.0,5.0,5.0,5.0,0.0,1.0,1.0,4.0,39.0,33.3,-1,17.0,11.0,0.647058824,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,18.0,87.0,2.4166666666666665,28.90000000000001,82.8,2.3,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,W (+7),W (+7)
24.0,24.0,2022/12/2,34-064,BRK,TOR,1,37.66666666666666,6.0,10.0,0.6,0.0,3.0,0,5,6.0,0.833,0.0,9.0,9.0,7.0,0.0,2.0,2.0,0.0,17.0,19,1,7.0,6.0,0.857142857,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,17.0,102.0,2.833333333333333,16.999999999999993,97.3,2.702777777777777,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,W (+6),W (+6)
25.0,25.0,2022/12/4,34-066,BRK,BOS,1,39.75,13.0,24.0,0.542,1.0,5.0,0.2,4,5.0,0.8,0.0,7.0,7.0,5.0,2.0,2.0,8.0,0.0,31.0,20,-19,19.0,12.0,0.631578947,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,10.0,63.0,1.75,18.40000000000001,60.7,1.6861111111111111,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,W (+9),W (+9)
26.0,26.0,2022/12/7,34-069,BRK,CHO,1,36.46666666666667,12.0,19.0,0.632,2.0,5.0,0.4,3,3.0,1,0.0,9.0,9.0,8.0,0.0,0.0,3.0,2.0,29.0,25,4,14.0,10.0,0.714285714,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,21.0,89.0,2.4722222222222223,23.800000000000004,81.2,2.2555555555555555,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,L (-11),L (-11)
27.0,27.0,2022/12/9,34-071,BRK,ATL,1,36.2,14.0,25.0,0.56,2.0,7.0,0.286,4,4.0,1,0.0,4.0,4.0,4.0,1.0,2.0,4.0,0.0,34.0,24.5,8,18.0,12.0,0.666666667,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,12.0,98.0,2.7222222222222223,22.9,87.8,2.4388888888888887,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,W (+6),W (+6)
28.0,,2022/12/10,34-072,BRK,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,,81.0,2.25,0.0,78.79999999999998,2.188888888888888,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,W (+4),W (+4)
29.0,28.0,2022/12/12,34-074,BRK,WAS,1,33.43333333333333,11.0,17.0,0.647,3.0,6.0,0.5,5,5.0,1,0.0,9.0,9.0,6.0,1.0,1.0,3.0,1.0,30.0,27.7,11,11.0,8.0,0.727272727,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,22.0,108.0,3.0,25.700000000000003,92.6,2.572222222222222,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,W (+3),W (+3)
30.0,29.0,2022/12/16,34-078,BRK,TOR,1,37.11666666666667,10.0,15.0,0.667,2.0,3.0,0.667,6,6.0,1,0.0,4.0,4.0,3.0,1.0,0.0,5.0,3.0,28.0,19.6,9,12.0,8.0,0.666666667,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,10.0,68.0,1.8888888888888888,17.200000000000006,86.1,2.3916666666666666,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,W (+12),W (+12)
31.0,30.0,2022/12/18,34-080,BRK,DET,1,36.38333333333333,14.0,22.0,0.636,3.0,5.0,0.6,12,13.0,0.923,1.0,5.0,6.0,2.0,1.0,2.0,6.0,3.0,43.0,31.6,-3,17.0,11.0,0.647058824,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,13.0,102.0,2.833333333333333,26.8,99.0,2.75,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,W (+3),W (+3)
32.0,31.0,2022/12/21,34-083,BRK,GSW,1,29.1,9.0,17.0,0.529,1.0,3.0,0.333,4,4.0,1,0.0,7.0,7.0,5.0,4.0,0.0,2.0,2.0,23.0,21.5,29,14.0,8.0,0.571428571,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,16.0,76.0,2.111111111111111,19.9,83.10000000000001,2.3083333333333336,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,W (+3),W (+3)
33.0,32.0,2022/12/23,34-085,BRK,MIL,1,34.233333333333334,9.0,17.0,0.529,2.0,6.0,0.333,4,4.0,1,0.0,5.0,5.0,6.0,1.0,1.0,3.0,2.0,24.0,19.3,17,11.0,7.0,0.636363636,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,13.0,61.0,1.6944444444444444,17.7,65.3,1.8138888888888889,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,W (+30),W (+30)
34.0,33.0,2022/12/26,34-088,BRK,CLE,1,36.45,10.0,18.0,0.556,5.0,8.0,0.625,7,8.0,0.875,1.0,8.0,9.0,5.0,0.0,0.0,4.0,6.0,32.0,23.2,10,10.0,5.0,0.5,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,16.0,104.0,2.888888888888889,20.4,111.40000000000002,3.094444444444445,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,W (+18),W (+18)
35.0,34.0,2022/12/28,34-090,BRK,ATL,1,36.45,8.0,17.0,0.471,1.0,4.0,0.25,9,9.0,1,1.0,15.0,16.0,8.0,0.0,2.0,4.0,3.0,26.0,24.3,9,13.0,7.0,0.538461538,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,22.0,79.0,2.1944444444444446,20.7,76.19999999999999,2.1166666666666663,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,W (+8),W (+8)
36.0,35.0,2022/12/31,34-093,BRK,CHO,1,29.8,9.0,15.0,0.6,1.0,6.0,0.167,4,4.0,1,0.0,5.0,5.0,4.0,0.0,0.0,3.0,3.0,23.0,16.2,21,9.0,8.0,0.888888889,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,10.0,51.0,1.4166666666666667,14.6,57.89999999999999,1.6083333333333332,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,W (+1),W (+1)
37.0,36.0,2023/1/2,34-095,BRK,SAS,1,28.666666666666668,10.0,14.0,0.714,0.0,1.0,0,5,5.0,1,0.0,3.0,3.0,11.0,3.0,1.0,2.0,1.0,25.0,29.1,21,13.0,10.0,0.769230769,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,22.0,78.0,2.1666666666666665,27.1,63.7,1.7694444444444446,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,W (+17),W (+17)
38.0,37.0,2023/1/4,34-097,BRK,CHI,1,38.48333333333333,15.0,22.0,0.682,5.0,10.0,0.5,9,9.0,1,0.0,4.0,4.0,5.0,1.0,2.0,3.0,2.0,44.0,37.9,-3,12.0,10.0,0.833333333,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,22.0,54.0,1.5,34.300000000000004,53.7,1.4916666666666667,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,W (+36),W (+36)
39.0,38.0,2023/1/6,34-099,BRK,NOP,1,37.86666666666667,9.0,26.0,0.346,4.0,7.0,0.571,11,11.0,1,1.0,9.0,10.0,3.0,0.0,2.0,4.0,1.0,33.0,20.9,20,19.0,5.0,0.263157895,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,7.0,73.0,2.0277777777777777,16.500000000000007,71.2,1.9777777777777776,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,L (-9),L (-9)
40.0,39.0,2023/1/8,34-101,BRK,MIA,1,30.15,5.0,11.0,0.455,1.0,3.0,0.333,6,7.0,0.857,1.0,4.0,5.0,2.0,1.0,0.0,4.0,1.0,17.0,10.8,-2,8.0,4.0,0.5,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,3.0,58.0,1.6111111111111112,8.399999999999997,56.49999999999999,1.5694444444444442,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,W (+6),W (+6)
41.0,,2023/1/12,34-105,BRK,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,,37.0,1.0277777777777777,0.0,48.89999999999999,1.3583333333333332,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,W (+1),W (+1)
42.0,,2023/1/15,34-108,BRK,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,,69.0,1.9166666666666667,0.0,48.2,1.338888888888889,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,,
43.0,,2023/1/17,34-110,BRK,SAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,,56.0,1.5555555555555556,0.0,72.9,2.0250000000000004,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,L (-11),L (-11)
44.0,,2023/1/19,34-112,BRK,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,,57.0,1.5833333333333333,0.0,60.0,1.6666666666666667,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,L (-10),L (-10)
45.0,,2023/1/20,34-113,BRK,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30,26,13,19,32,33,12,30,18,37,24,1,37,28,22,26,1,42,57,23,48,53,74,36,60,35,76,40,1,76,61,42,58,0,0.714285714,0.456140351,0.565217391,0.395833333,0.603773585,0.445945946,0.333333333,0.5,0.514285714,0.486842105,0.6,1,0.486842105,0.459016393,0.523809524,0.448275862,5,10,12,6,3,4,8,8,19,23,6,12,8,8,4,3,7,8,3,6,61,48,59,74,43,67,53,60,67,69,72,40,25,63,79,0.081967213,0.1,0,0.057971014,0.111111111,0.101265823,0.166666667,0.13559322,0.054054054,0.069767442,0.104477612,0.150943396,0.075,0,0.095238095,36,,50.0,1.3888888888888888,0.0,55.3,1.536111111111111,25.9,6.8,7.1,6.0,1.2,0.0223199914153879,0.677,0.267,0.387,3.9,4.7,L (-8),L (-8)
