Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Andre Iguodala,Shared Games with Andrew Wiggins,Shared Games with Anthony Lamb,Shared Games with Donte DiVincenzo,Shared Games with Draymond Green,Shared Games with James Wiseman,Shared Games with JaMychal Green,Shared Games with Jonathan Kuminga,Shared Games with Jordan Poole,Shared Games with Kevon Looney,Shared Games with Klay Thompson,Shared Games with Moses Moody,Shared Games with Patrick Baldwin Jr.,Shared Games with Stephen Curry,Shared Games with Ty Jerome,Andre Iguodala,Andrew Wiggins,Anthony Lamb,Donte DiVincenzo,Draymond Green,James Wiseman,JaMychal Green,Jonathan Kuminga,Jordan Poole,Kevon Looney,Klay Thompson,Lester Quinones,Moses Moody,Patrick Baldwin Jr.,Stephen Curry,Ty Jerome,co_inf with Andre Iguodala,co_inf with Andrew Wiggins,co_inf with Anthony Lamb,co_inf with Donte DiVincenzo,co_inf with Draymond Green,co_inf with James Wiseman,co_inf with JaMychal Green,co_inf with Jonathan Kuminga,co_inf with Jordan Poole,co_inf with Kevon Looney,co_inf with Klay Thompson,co_inf with Lester Quinones,co_inf with Moses Moody,co_inf with Patrick Baldwin Jr.,co_inf with Stephen Curry,co_inf with Ty Jerome,Gary Payton II,Jalen Johnson,co_inf with Gary Payton II,co_inf with Jalen Johnson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
11.0,,2022-11-07,20-127,GSW,SAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,80.0,5.333333333333333,0.0,85.19999999999999,5.679999999999999,0.0023582487439762,W (+3),W (+3)
12.0,,2022-11-11,20-131,GSW,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,79.0,5.266666666666667,0.0,78.0,5.2,0.0023582487439762,W (+5),W (+5)
13.0,,2022-11-13,20-133,GSW,SAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,72.0,4.8,0.0,79.9,5.326666666666667,0.0023582487439762,L (-7),L (-7)
14.0,5.0,2022-11-14,20-134,GSW,SAS,0,8.066666666666666,2.0,3.0,.667,1.0,1.0,1.000,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,5.0,2.2,+4,2.0,1.0,0.5,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,3.0,101.0,6.733333333333333,2.2,108.7,7.246666666666667,0.0023582487439762,W (+37),W (+37)
15.0,,2022-11-16,20-136,GSW,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,71.0,4.733333333333333,0.0,80.9,5.3933333333333335,0.0023582487439762,L (-11),L (-11)
16.0,,2022-11-18,20-138,GSW,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,74.0,4.933333333333334,0.0,81.9,5.46,0.0023582487439762,W (+10),W (+10)
17.0,,2022-11-20,20-140,GSW,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,107.0,7.133333333333334,0.0,106.69999999999996,7.113333333333331,0.0023582487439762,W (+7),W (+7)
18.0,6.0,2022-11-21,20-141,GSW,NOP,0,16.75,1.0,4.0,.250,1.0,3.0,.333,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,5.0,3.0,3.0,-4.7,-3,1.0,0.0,0.0,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,-3.0,42.0,2.8,-4.7,41.7,2.78,0.0023582487439762,L (-45),L (-45)
19.0,7.0,2022-11-23,20-143,GSW,LAC,0,5.033333333333333,0.0,3.0,.000,0.0,2.0,.000,0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.7,-10,1.0,0.0,0.0,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,-1.0,104.0,6.933333333333334,-0.6999999999999997,105.4,7.026666666666667,0.0023582487439762,W (+17),W (+17)
20.0,,2022-11-25,20-145,GSW,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,101.0,6.733333333333333,0.0,106.0,7.066666666666666,0.0023582487439762,W (+11),W (+11)
21.0,,2022-11-27,20-147,GSW,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,110.0,7.333333333333333,0.0,115.39999999999998,7.693333333333332,0.0023582487439762,,
22.0,,2022-11-29,20-149,GSW,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,70.0,4.666666666666667,0.0,77.80000000000001,5.186666666666667,0.0023582487439762,W (+23),W (+23)
23.0,,2022-12-02,20-152,GSW,CHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,95.0,6.333333333333333,0.0,84.80000000000001,5.653333333333334,0.0023582487439762,L (-3),L (-3)
24.0,,2022-12-03,20-153,GSW,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,104.0,6.933333333333334,0.0,100.1,6.673333333333333,0.0023582487439762,W (+8),W (+8)
25.0,,2022-12-05,20-155,GSW,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,71.0,4.733333333333333,0.0,73.5,4.9,0.0023582487439762,W (+19),W (+19)
26.0,,2022-12-07,20-157,GSW,UTA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,69.0,4.6,0.0,86.89999999999999,5.793333333333333,0.0023582487439762,L (-8),L (-8)
27.0,,2022-12-10,20-160,GSW,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,88.0,5.866666666666666,0.0,94.1,6.2733333333333325,0.0023582487439762,L (-1),L (-1)
28.0,,2022-12-13,20-163,GSW,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,59.0,3.933333333333333,0.0,67.09999999999998,4.473333333333332,0.0023582487439762,W (+16),W (+16)
29.0,,2022-12-14,20-164,GSW,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,,67.0,4.466666666666667,0.0,77.5,5.166666666666667,0.0023582487439762,L (-17),L (-17)
30.0,8.0,2022-12-16,20-166,GSW,PHI,0,1.3333333333333333,0.0,1.0,.000,0.0,0.0,,2,2.0,1.000,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0,1.0,0.0,0.0,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,1.0,77.0,5.133333333333334,1.2000000000000002,75.4,5.026666666666667,0.0023582487439762,L (-6),L (-6)
31.0,9.0,2022-12-18,20-168,GSW,TOR,0,2.35,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,,1,6,10,8,9,9,9,11,12,12,6,12,9,5,8,8.0,37.0,62.0,72.0,73.0,45.0,57.0,67.0,82.0,82.0,69.0,4.0,63.0,31.0,56.0,45.0,0.125,0.1621621621621621,0.1612903225806451,0.1111111111111111,0.1232876712328767,0.2,0.1578947368421052,0.1641791044776119,0.1463414634146341,0.1463414634146341,0.0869565217391304,0.0,0.1904761904761904,0.2903225806451613,0.0892857142857142,0.1777777777777777,22.0,70.0,0.0,0.0,15,0.0,85.0,5.666666666666667,0.0,96.2,6.413333333333333,0.0023582487439762,L (-12),L (-12)
