Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Caris LeVert,Shared Games with Cedi Osman,Shared Games with Darius Garland,Shared Games with Dean Wade,Shared Games with Donovan Mitchell,Shared Games with Dylan Windler,Shared Games with Evan Mobley,Shared Games with Isaac Okoro,Shared Games with Isaiah Mobley,Shared Games with Kevin Love,Shared Games with Lamar Stevens,Shared Games with Mamadi Diakite,Shared Games with Raul Neto,Shared Games with Ricky Rubio,Shared Games with Robin Lopez,Caris LeVert,Cedi Osman,Darius Garland,Dean Wade,Donovan Mitchell,Dylan Windler,Evan Mobley,Isaac Okoro,Isaiah Mobley,Kevin Love,Lamar Stevens,Mamadi Diakite,Raul Neto,Ricky Rubio,Robin Lopez,Sam Merrill,co_inf with Caris LeVert,co_inf with Cedi Osman,co_inf with Darius Garland,co_inf with Dean Wade,co_inf with Donovan Mitchell,co_inf with Dylan Windler,co_inf with Evan Mobley,co_inf with Isaac Okoro,co_inf with Isaiah Mobley,co_inf with Kevin Love,co_inf with Lamar Stevens,co_inf with Mamadi Diakite,co_inf with Raul Neto,co_inf with Ricky Rubio,co_inf with Robin Lopez,co_inf with Sam Merrill,Shared Games with Danny Green,Danny Green,Dejounte Murray,co_inf with Danny Green,co_inf with Dejounte Murray,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,11.0,2022-11-09,24-202,CLE,SAC,1,32.833333333333336,7.0,11.0,.636,0.0,0.0,,6,7.0,.857,2.0,5.0,7.0,1.0,0.0,1.0,1.0,4.0,20.0,16.4,-13,11.0,7.0,0.6363636363636364,62,63,56,36,57,1,66,65,7,37,51,12,38,27,27,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.8115942028985508,0.8181818181818182,0.8382352941176471,0.3333333333333333,0.8354430379746836,0.8552631578947368,0.5833333333333334,0.5967741935483871,0.8225806451612904,0.5454545454545454,0.7916666666666666,0.8181818181818182,0.7297297297297297,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,10.0,61.0,3.8125,13.999999999999998,78.3,4.89375,19.9,9.5,2.4,1.3,1.0,0.1052688756110809,0.67,0.016,0.353,2.4,5.5,L (-7),L (-7)
12.0,12.0,2022-11-11,24-204,CLE,GSW,1,33.18333333333333,6.0,8.0,.750,0.0,0.0,,1,2.0,.500,1.0,8.0,9.0,1.0,0.0,0.0,2.0,2.0,13.0,10.4,0,8.0,6.0,0.75,62,63,56,36,57,1,66,65,7,37,51,12,38,27,27,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.8115942028985508,0.8181818181818182,0.8382352941176471,0.3333333333333333,0.8354430379746836,0.8552631578947368,0.5833333333333334,0.5967741935483871,0.8225806451612904,0.5454545454545454,0.7916666666666666,0.8181818181818182,0.7297297297297297,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,11.0,44.0,2.75,9.999999999999998,61.9,3.86875,19.9,9.5,2.4,1.3,1.0,0.1052688756110809,0.67,0.016,0.353,2.4,5.5,L (-5),L (-5)
13.0,,2022-11-13,24-206,CLE,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62,63,56,36,57,1,66,65,7,37,51,12,38,27,27,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.8115942028985508,0.8181818181818182,0.8382352941176471,0.3333333333333333,0.8354430379746836,0.8552631578947368,0.5833333333333334,0.5967741935483871,0.8225806451612904,0.5454545454545454,0.7916666666666666,0.8181818181818182,0.7297297297297297,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,,62.0,3.875,0.0,94.4,5.9,19.9,9.5,2.4,1.3,1.0,0.1052688756110809,0.67,0.016,0.353,2.4,5.5,L (-5),L (-5)
14.0,,2022-11-16,24-209,CLE,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62,63,56,36,57,1,66,65,7,37,51,12,38,27,27,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.8115942028985508,0.8181818181818182,0.8382352941176471,0.3333333333333333,0.8354430379746836,0.8552631578947368,0.5833333333333334,0.5967741935483871,0.8225806451612904,0.5454545454545454,0.7916666666666666,0.8181818181818182,0.7297297297297297,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,,60.0,3.75,0.0,79.50000000000001,4.968750000000001,19.9,9.5,2.4,1.3,1.0,0.1052688756110809,0.67,0.016,0.353,2.4,5.5,L (-15),L (-15)
15.0,13.0,2022-11-18,24-211,CLE,CHO,1,45.6,8.0,11.0,.727,0.0,0.0,,4,5.0,.800,1.0,11.0,12.0,2.0,0.0,4.0,2.0,3.0,20.0,20.1,+6,11.0,8.0,0.7272727272727273,62,63,56,36,57,1,66,65,7,37,51,12,38,27,27,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.8115942028985508,0.8181818181818182,0.8382352941176471,0.3333333333333333,0.8354430379746836,0.8552631578947368,0.5833333333333334,0.5967741935483871,0.8225806451612904,0.5454545454545454,0.7916666666666666,0.8181818181818182,0.7297297297297297,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,20.0,58.0,3.625,18.5,82.0,5.125,19.9,9.5,2.4,1.3,1.0,0.1052688756110809,0.67,0.016,0.353,2.4,5.5,W (+10),W (+10)
16.0,14.0,2022-11-20,24-213,CLE,MIA,1,27.15,4.0,6.0,.667,0.0,0.0,,0,0.0,,1.0,5.0,6.0,2.0,0.0,0.0,3.0,3.0,8.0,4.8,+13,6.0,4.0,0.6666666666666666,62,63,56,36,57,1,66,65,7,37,51,12,38,27,27,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.8115942028985508,0.8181818181818182,0.8382352941176471,0.3333333333333333,0.8354430379746836,0.8552631578947368,0.5833333333333334,0.5967741935483871,0.8225806451612904,0.5454545454545454,0.7916666666666666,0.8181818181818182,0.7297297297297297,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,7.0,92.0,5.75,4.8,100.60000000000002,6.287500000000001,19.9,9.5,2.4,1.3,1.0,0.1052688756110809,0.67,0.016,0.353,2.4,5.5,W (+26),W (+26)
17.0,15.0,2022-11-21,24-214,CLE,ATL,1,33.166666666666664,3.0,5.0,.600,0.0,0.0,,2,2.0,1.000,0.0,11.0,11.0,1.0,2.0,1.0,1.0,0.0,8.0,11.4,+11,5.0,3.0,0.6,62,63,56,36,57,1,66,65,7,37,51,12,38,27,27,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.8115942028985508,0.8181818181818182,0.8382352941176471,0.3333333333333333,0.8354430379746836,0.8552631578947368,0.5833333333333334,0.5967741935483871,0.8225806451612904,0.5454545454545454,0.7916666666666666,0.8181818181818182,0.7297297297297297,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,15.0,66.0,4.125,10.599999999999998,92.3,5.76875,19.9,9.5,2.4,1.3,1.0,0.1052688756110809,0.67,0.016,0.353,2.4,5.5,W (+12),W (+12)
18.0,16.0,2022-11-23,24-216,CLE,POR,1,36.06666666666667,10.0,12.0,.833,0.0,0.0,,4,4.0,1.000,5.0,8.0,13.0,2.0,1.0,0.0,6.0,3.0,24.0,20.7,+19,12.0,10.0,0.8333333333333334,62,63,56,36,57,1,66,65,7,37,51,12,38,27,27,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.8115942028985508,0.8181818181818182,0.8382352941176471,0.3333333333333333,0.8354430379746836,0.8552631578947368,0.5833333333333334,0.5967741935483871,0.8225806451612904,0.5454545454545454,0.7916666666666666,0.8181818181818182,0.7297297297297297,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,18.0,59.0,3.6875,19.1,76.7,4.79375,19.9,9.5,2.4,1.3,1.0,0.1052688756110809,0.67,0.016,0.353,2.4,5.5,W (+18),W (+18)
19.0,17.0,2022-11-25,24-218,CLE,MIL,1,12.066666666666666,0.0,2.0,.000,0.0,0.0,,1,2.0,.500,1.0,2.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,2.1,+4,2.0,0.0,0.0,62,63,56,36,57,1,66,65,7,37,51,12,38,27,27,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.8115942028985508,0.8181818181818182,0.8382352941176471,0.3333333333333333,0.8354430379746836,0.8552631578947368,0.5833333333333334,0.5967741935483871,0.8225806451612904,0.5454545454545454,0.7916666666666666,0.8181818181818182,0.7297297297297297,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,3.0,58.0,3.625,1.7,89.7,5.60625,19.9,9.5,2.4,1.3,1.0,0.1052688756110809,0.67,0.016,0.353,2.4,5.5,L (-15),L (-15)
20.0,,2022-11-27,24-220,CLE,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62,63,56,36,57,1,66,65,7,37,51,12,38,27,27,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.8115942028985508,0.8181818181818182,0.8382352941176471,0.3333333333333333,0.8354430379746836,0.8552631578947368,0.5833333333333334,0.5967741935483871,0.8225806451612904,0.5454545454545454,0.7916666666666666,0.8181818181818182,0.7297297297297297,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,,41.0,2.5625,0.0,62.9,3.93125,19.9,9.5,2.4,1.3,1.0,0.1052688756110809,0.67,0.016,0.353,2.4,5.5,W (+8),W (+8)
21.0,,2022-11-28,24-221,CLE,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62,63,56,36,57,1,66,65,7,37,51,12,38,27,27,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.8115942028985508,0.8181818181818182,0.8382352941176471,0.3333333333333333,0.8354430379746836,0.8552631578947368,0.5833333333333334,0.5967741935483871,0.8225806451612904,0.5454545454545454,0.7916666666666666,0.8181818181818182,0.7297297297297297,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,,59.0,3.6875,0.0,68.2,4.2625,19.9,9.5,2.4,1.3,1.0,0.1052688756110809,0.67,0.016,0.353,2.4,5.5,,
22.0,,2022-11-30,24-223,CLE,PHI,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,62,63,56,36,57,1,66,65,7,37,51,12,38,27,27,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.8115942028985508,0.8181818181818182,0.8382352941176471,0.3333333333333333,0.8354430379746836,0.8552631578947368,0.5833333333333334,0.5967741935483871,0.8225806451612904,0.5454545454545454,0.7916666666666666,0.8181818181818182,0.7297297297297297,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,,100.0,6.25,0.0,114.6,7.1625,19.9,9.5,2.4,1.3,1.0,0.1052688756110809,0.67,0.016,0.353,2.4,5.5,L (-12),L (-12)
23.0,,2022-12-02,24-225,CLE,ORL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62,63,56,36,57,1,66,65,7,37,51,12,38,27,27,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.8115942028985508,0.8181818181818182,0.8382352941176471,0.3333333333333333,0.8354430379746836,0.8552631578947368,0.5833333333333334,0.5967741935483871,0.8225806451612904,0.5454545454545454,0.7916666666666666,0.8181818181818182,0.7297297297297297,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,,71.0,4.4375,0.0,97.90000000000003,6.118750000000002,19.9,9.5,2.4,1.3,1.0,0.1052688756110809,0.67,0.016,0.353,2.4,5.5,W (+28),W (+28)
24.0,,2022-12-04,24-227,CLE,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62,63,56,36,57,1,66,65,7,37,51,12,38,27,27,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.8115942028985508,0.8181818181818182,0.8382352941176471,0.3333333333333333,0.8354430379746836,0.8552631578947368,0.5833333333333334,0.5967741935483871,0.8225806451612904,0.5454545454545454,0.7916666666666666,0.8181818181818182,0.7297297297297297,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,,38.0,2.375,0.0,57.3,3.58125,19.9,9.5,2.4,1.3,1.0,0.1052688756110809,0.67,0.016,0.353,2.4,5.5,W (+11),W (+11)
25.0,18.0,2022-12-06,24-229,CLE,LAL,1,38.41666666666666,11.0,14.0,.786,0.0,0.0,,2,4.0,.500,3.0,8.0,11.0,1.0,3.0,1.0,2.0,2.0,24.0,23.9,+21,14.0,11.0,0.7857142857142857,62,63,56,36,57,1,66,65,7,37,51,12,38,27,27,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.8115942028985508,0.8181818181818182,0.8382352941176471,0.3333333333333333,0.8354430379746836,0.8552631578947368,0.5833333333333334,0.5967741935483871,0.8225806451612904,0.5454545454545454,0.7916666666666666,0.8181818181818182,0.7297297297297297,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,20.0,61.0,3.8125,23.100000000000005,74.50000000000001,4.656250000000001,19.9,9.5,2.4,1.3,1.0,0.1052688756110809,0.67,0.016,0.353,2.4,5.5,L (-11),L (-11)
26.0,19.0,2022-12-09,24-232,CLE,SAC,1,32.05,2.0,5.0,.400,0.0,1.0,.000,5,6.0,.833,4.0,4.0,8.0,1.0,0.0,2.0,5.0,5.0,9.0,5.0,-10,4.0,2.0,0.5,62,63,56,36,57,1,66,65,7,37,51,12,38,27,27,74.0,77.0,69.0,44.0,68.0,3.0,79.0,76.0,12.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.8378378378378378,0.8181818181818182,0.8115942028985508,0.8181818181818182,0.8382352941176471,0.3333333333333333,0.8354430379746836,0.8552631578947368,0.5833333333333334,0.5967741935483871,0.8225806451612904,0.5454545454545454,0.7916666666666666,0.8181818181818182,0.7297297297297297,0.0,7,11.0,74.0,0.6363636363636364,0.0,16,4.0,38.0,2.375,3.0,51.1,3.19375,19.9,9.5,2.4,1.3,1.0,0.1052688756110809,0.67,0.016,0.353,2.4,5.5,W (+14),W (+14)
