Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Caris LeVert,Shared Games with Cedi Osman,Shared Games with Darius Garland,Shared Games with Dean Wade,Shared Games with Donovan Mitchell,Shared Games with Dylan Windler,Shared Games with Isaac Okoro,Shared Games with Isaiah Mobley,Shared Games with Jarrett Allen,Shared Games with Kevin Love,Shared Games with Lamar Stevens,Shared Games with Mamadi Diakite,Shared Games with Raul Neto,Shared Games with Ricky Rubio,Shared Games with Robin Lopez,Caris LeVert,Cedi Osman,Darius Garland,Dean Wade,Donovan Mitchell,Dylan Windler,Isaac Okoro,Isaiah Mobley,Jarrett Allen,Kevin Love,Lamar Stevens,Mamadi Diakite,Raul Neto,Ricky Rubio,Robin Lopez,Sam Merrill,co_inf with Caris LeVert,co_inf with Cedi Osman,co_inf with Darius Garland,co_inf with Dean Wade,co_inf with Donovan Mitchell,co_inf with Dylan Windler,co_inf with Isaac Okoro,co_inf with Isaiah Mobley,co_inf with Jarrett Allen,co_inf with Kevin Love,co_inf with Lamar Stevens,co_inf with Mamadi Diakite,co_inf with Raul Neto,co_inf with Ricky Rubio,co_inf with Robin Lopez,co_inf with Sam Merrill,Shared Games with Danny Green,Danny Green,Dejounte Murray,co_inf with Danny Green,co_inf with Dejounte Murray,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,11.0,2022-11-09,21-144,CLE,SAC,1,35.75,7.0,10.0,.700,0.0,0.0,,2,3.0,.667,1.0,5.0,6.0,0.0,1.0,0.0,2.0,3.0,16.0,11.4,-1,10.0,7.0,0.7,72,74,69,43,66,3,74,12,66,39,59,20,45,32,34,74.0,77.0,69.0,44.0,68.0,3.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.972972972972973,0.961038961038961,1.0,0.9772727272727272,0.9705882352941176,1.0,0.9736842105263158,1.0,0.9705882352941176,0.6290322580645161,0.9516129032258064,0.9090909090909092,0.9375,0.9696969696969696,0.918918918918919,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,8.0,63.0,3.9375,10.6,81.7,5.10625,17.9,8.5,1.7,0.0,1.6,0.591,0.108,0.321,2.5,3.7,L (-7),L (-7)
12.0,12.0,2022-11-11,21-146,CLE,GSW,1,38.75,8.0,15.0,.533,0.0,0.0,,4,5.0,.800,8.0,5.0,13.0,4.0,0.0,2.0,3.0,3.0,20.0,19.4,+1,15.0,8.0,0.5333333333333333,72,74,69,43,66,3,74,12,66,39,59,20,45,32,34,74.0,77.0,69.0,44.0,68.0,3.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.972972972972973,0.961038961038961,1.0,0.9772727272727272,0.9705882352941176,1.0,0.9736842105263158,1.0,0.9705882352941176,0.6290322580645161,0.9516129032258064,0.9090909090909092,0.9375,0.9696969696969696,0.918918918918919,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,16.0,39.0,2.4375,17.799999999999994,54.1,3.38125,17.9,8.5,1.7,0.0,1.6,0.591,0.108,0.321,2.5,3.7,L (-5),L (-5)
13.0,13.0,2022-11-13,21-148,CLE,MIN,1,32.2,1.0,4.0,.250,0.0,0.0,,2,6.0,.333,5.0,8.0,13.0,3.0,2.0,0.0,3.0,4.0,4.0,5.4,-14,4.0,1.0,0.25,72,74,69,43,66,3,74,12,66,39,59,20,45,32,34,74.0,77.0,69.0,44.0,68.0,3.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.972972972972973,0.961038961038961,1.0,0.9772727272727272,0.9705882352941176,1.0,0.9736842105263158,1.0,0.9705882352941176,0.6290322580645161,0.9516129032258064,0.9090909090909092,0.9375,0.9696969696969696,0.918918918918919,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,9.0,53.0,3.3125,4.600000000000001,89.79999999999998,5.612499999999999,17.9,8.5,1.7,0.0,1.6,0.591,0.108,0.321,2.5,3.7,L (-5),L (-5)
14.0,14.0,2022-11-16,21-151,CLE,MIL,1,31.15,9.0,14.0,.643,0.0,0.0,,2,4.0,.500,3.0,4.0,7.0,2.0,1.0,2.0,0.0,3.0,20.0,18.9,-13,14.0,9.0,0.6428571428571429,72,74,69,43,66,3,74,12,66,39,59,20,45,32,34,74.0,77.0,69.0,44.0,68.0,3.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.972972972972973,0.961038961038961,1.0,0.9772727272727272,0.9705882352941176,1.0,0.9736842105263158,1.0,0.9705882352941176,0.6290322580645161,0.9516129032258064,0.9090909090909092,0.9375,0.9696969696969696,0.918918918918919,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,14.0,46.0,2.875,18.1,61.4,3.8375,17.9,8.5,1.7,0.0,1.6,0.591,0.108,0.321,2.5,3.7,L (-15),L (-15)
15.0,15.0,2022-11-18,21-153,CLE,CHO,1,45.43333333333333,9.0,14.0,.643,0.0,1.0,.000,3,4.0,.750,5.0,13.0,18.0,5.0,1.0,2.0,1.0,4.0,21.0,25.1,+15,13.0,9.0,0.6923076923076923,72,74,69,43,66,3,74,12,66,39,59,20,45,32,34,74.0,77.0,69.0,44.0,68.0,3.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.972972972972973,0.961038961038961,1.0,0.9772727272727272,0.9705882352941176,1.0,0.9736842105263158,1.0,0.9705882352941176,0.6290322580645161,0.9516129032258064,0.9090909090909092,0.9375,0.9696969696969696,0.918918918918919,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,28.0,50.0,3.125,23.9,76.6,4.7875,17.9,8.5,1.7,0.0,1.6,0.591,0.108,0.321,2.5,3.7,W (+10),W (+10)
16.0,16.0,2022-11-20,21-155,CLE,MIA,1,30.0,7.0,12.0,.583,0.0,0.0,,1,2.0,.500,4.0,6.0,10.0,5.0,1.0,0.0,3.0,2.0,15.0,14.3,+15,12.0,7.0,0.5833333333333334,72,74,69,43,66,3,74,12,66,39,59,20,45,32,34,74.0,77.0,69.0,44.0,68.0,3.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.972972972972973,0.961038961038961,1.0,0.9772727272727272,0.9705882352941176,1.0,0.9736842105263158,1.0,0.9705882352941176,0.6290322580645161,0.9516129032258064,0.9090909090909092,0.9375,0.9696969696969696,0.918918918918919,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,14.0,85.0,5.3125,13.900000000000002,91.5,5.71875,17.9,8.5,1.7,0.0,1.6,0.591,0.108,0.321,2.5,3.7,W (+26),W (+26)
17.0,17.0,2022-11-21,21-156,CLE,ATL,1,35.55,4.0,6.0,.667,0.0,0.0,,2,2.0,1.000,2.0,7.0,9.0,3.0,1.0,1.0,4.0,2.0,10.0,9.9,+5,6.0,4.0,0.6666666666666666,72,74,69,43,66,3,74,12,66,39,59,20,45,32,34,74.0,77.0,69.0,44.0,68.0,3.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.972972972972973,0.961038961038961,1.0,0.9772727272727272,0.9705882352941176,1.0,0.9736842105263158,1.0,0.9705882352941176,0.6290322580645161,0.9516129032258064,0.9090909090909092,0.9375,0.9696969696969696,0.918918918918919,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,12.0,69.0,4.3125,9.1,93.8,5.8625,17.9,8.5,1.7,0.0,1.6,0.591,0.108,0.321,2.5,3.7,W (+12),W (+12)
18.0,18.0,2022-11-23,21-158,CLE,POR,1,35.1,4.0,10.0,.400,0.0,0.0,,2,4.0,.500,4.0,8.0,12.0,3.0,0.0,3.0,2.0,2.0,10.0,10.4,0,10.0,4.0,0.4,72,74,69,43,66,3,74,12,66,39,59,20,45,32,34,74.0,77.0,69.0,44.0,68.0,3.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.972972972972973,0.961038961038961,1.0,0.9772727272727272,0.9705882352941176,1.0,0.9736842105263158,1.0,0.9705882352941176,0.6290322580645161,0.9516129032258064,0.9090909090909092,0.9375,0.9696969696969696,0.918918918918919,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,12.0,65.0,4.0625,9.6,86.2,5.3875,17.9,8.5,1.7,0.0,1.6,0.591,0.108,0.321,2.5,3.7,W (+18),W (+18)
19.0,19.0,2022-11-25,21-160,CLE,MIL,1,29.08333333333333,2.0,12.0,.167,0.0,1.0,.000,4,4.0,1.000,1.0,7.0,8.0,0.0,3.0,0.0,2.0,0.0,8.0,4.2,-16,11.0,2.0,0.1818181818181818,72,74,69,43,66,3,74,12,66,39,59,20,45,32,34,74.0,77.0,69.0,44.0,68.0,3.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.972972972972973,0.961038961038961,1.0,0.9772727272727272,0.9705882352941176,1.0,0.9736842105263158,1.0,0.9705882352941176,0.6290322580645161,0.9516129032258064,0.9090909090909092,0.9375,0.9696969696969696,0.918918918918919,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,1.0,60.0,3.75,2.6000000000000014,88.80000000000001,5.550000000000001,17.9,8.5,1.7,0.0,1.6,0.591,0.108,0.321,2.5,3.7,L (-15),L (-15)
20.0,20.0,2022-11-27,21-162,CLE,DET,1,39.63333333333333,8.0,12.0,.667,2.0,2.0,1.000,2,5.0,.400,6.0,7.0,13.0,1.0,0.0,1.0,3.0,3.0,20.0,17.1,+4,10.0,6.0,0.6,72,74,69,43,66,3,74,12,66,39,59,20,45,32,34,74.0,77.0,69.0,44.0,68.0,3.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.972972972972973,0.961038961038961,1.0,0.9772727272727272,0.9705882352941176,1.0,0.9736842105263158,1.0,0.9705882352941176,0.6290322580645161,0.9516129032258064,0.9090909090909092,0.9375,0.9696969696969696,0.918918918918919,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,15.0,26.0,1.625,16.3,46.6,2.9125,17.9,8.5,1.7,0.0,1.6,0.591,0.108,0.321,2.5,3.7,W (+8),W (+8)
21.0,21.0,2022-11-28,21-163,CLE,TOR,1,32.5,7.0,14.0,.500,0.0,4.0,.000,4,6.0,.667,3.0,12.0,15.0,1.0,1.0,2.0,1.0,1.0,18.0,17.6,-8,10.0,7.0,0.7,72,74,69,43,66,3,74,12,66,39,59,20,45,32,34,74.0,77.0,69.0,44.0,68.0,3.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.972972972972973,0.961038961038961,1.0,0.9772727272727272,0.9705882352941176,1.0,0.9736842105263158,1.0,0.9705882352941176,0.6290322580645161,0.9516129032258064,0.9090909090909092,0.9375,0.9696969696969696,0.918918918918919,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,16.0,43.0,2.6875,16.0,52.2,3.2625,17.9,8.5,1.7,0.0,1.6,0.591,0.108,0.321,2.5,3.7,,
22.0,22.0,2022-11-30,21-165,CLE,PHI,1,23.78333333333333,8.0,10.0,.800,0.0,1.0,.000,0,0.0,,0.0,8.0,8.0,3.0,0.0,1.0,1.0,4.0,16.0,14.8,+23,9.0,8.0,0.8888888888888888,72,74,69,43,66,3,74,12,66,39,59,20,45,32,34,74.0,77.0,69.0,44.0,68.0,3.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.972972972972973,0.961038961038961,1.0,0.9772727272727272,0.9705882352941176,1.0,0.9736842105263158,1.0,0.9705882352941176,0.6290322580645161,0.9516129032258064,0.9090909090909092,0.9375,0.9696969696969696,0.918918918918919,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,17.0,83.0,5.1875,14.799999999999995,99.8,6.2375,17.9,8.5,1.7,0.0,1.6,0.591,0.108,0.321,2.5,3.7,L (-12),L (-12)
23.0,23.0,2022-12-02,21-167,CLE,ORL,1,38.35,9.0,10.0,.900,1.0,1.0,1.000,0,0.0,,4.0,9.0,13.0,4.0,1.0,2.0,2.0,3.0,19.0,23.1,+15,9.0,8.0,0.8888888888888888,72,74,69,43,66,3,74,12,66,39,59,20,45,32,34,74.0,77.0,69.0,44.0,68.0,3.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.972972972972973,0.961038961038961,1.0,0.9772727272727272,0.9705882352941176,1.0,0.9736842105263158,1.0,0.9705882352941176,0.6290322580645161,0.9516129032258064,0.9090909090909092,0.9375,0.9696969696969696,0.918918918918919,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,27.0,44.0,2.75,23.100000000000005,74.80000000000001,4.675000000000001,17.9,8.5,1.7,0.0,1.6,0.591,0.108,0.321,2.5,3.7,W (+28),W (+28)
24.0,24.0,2022-12-04,21-169,CLE,NYK,1,39.0,4.0,9.0,.444,0.0,1.0,.000,3,5.0,.600,5.0,5.0,10.0,3.0,0.0,4.0,1.0,1.0,11.0,14.0,+1,8.0,4.0,0.5,72,74,69,43,66,3,74,12,66,39,59,20,45,32,34,74.0,77.0,69.0,44.0,68.0,3.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.972972972972973,0.961038961038961,1.0,0.9772727272727272,0.9705882352941176,1.0,0.9736842105263158,1.0,0.9705882352941176,0.6290322580645161,0.9516129032258064,0.9090909090909092,0.9375,0.9696969696969696,0.918918918918919,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,13.0,25.0,1.5625,12.800000000000002,44.5,2.78125,17.9,8.5,1.7,0.0,1.6,0.591,0.108,0.321,2.5,3.7,W (+11),W (+11)
25.0,25.0,2022-12-06,21-171,CLE,LAL,1,29.766666666666666,3.0,6.0,.500,0.0,1.0,.000,1,2.0,.500,3.0,9.0,12.0,2.0,1.0,1.0,0.0,5.0,7.0,9.5,+14,5.0,3.0,0.6,72,74,69,43,66,3,74,12,66,39,59,20,45,32,34,74.0,77.0,69.0,44.0,68.0,3.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.972972972972973,0.961038961038961,1.0,0.9772727272727272,0.9705882352941176,1.0,0.9736842105263158,1.0,0.9705882352941176,0.6290322580645161,0.9516129032258064,0.9090909090909092,0.9375,0.9696969696969696,0.918918918918919,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,15.0,66.0,4.125,9.099999999999998,88.50000000000001,5.531250000000001,17.9,8.5,1.7,0.0,1.6,0.591,0.108,0.321,2.5,3.7,L (-11),L (-11)
26.0,26.0,2022-12-09,21-174,CLE,SAC,1,40.6,5.0,13.0,.385,0.0,3.0,.000,7,9.0,.778,2.0,5.0,7.0,4.0,1.0,0.0,4.0,3.0,17.0,10.6,-4,10.0,5.0,0.5,72,74,69,43,66,3,74,12,66,39,59,20,45,32,34,74.0,77.0,69.0,44.0,68.0,3.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.972972972972973,0.961038961038961,1.0,0.9772727272727272,0.9705882352941176,1.0,0.9736842105263158,1.0,0.9705882352941176,0.6290322580645161,0.9516129032258064,0.9090909090909092,0.9375,0.9696969696969696,0.918918918918919,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,3.0,39.0,2.4375,7.800000000000001,46.3,2.89375,17.9,8.5,1.7,0.0,1.6,0.591,0.108,0.321,2.5,3.7,W (+14),W (+14)
27.0,27.0,2022-12-10,21-175,CLE,OKC,1,36.833333333333336,8.0,14.0,.571,2.0,3.0,.667,3,5.0,.600,3.0,9.0,12.0,3.0,0.0,0.0,2.0,4.0,21.0,16.9,+9,11.0,6.0,0.5454545454545454,72,74,69,43,66,3,74,12,66,39,59,20,45,32,34,74.0,77.0,69.0,44.0,68.0,3.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.972972972972973,0.961038961038961,1.0,0.9772727272727272,0.9705882352941176,1.0,0.9736842105263158,1.0,0.9705882352941176,0.6290322580645161,0.9516129032258064,0.9090909090909092,0.9375,0.9696969696969696,0.918918918918919,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,15.0,56.0,3.5,15.699999999999996,69.29999999999998,4.331249999999999,17.9,8.5,1.7,0.0,1.6,0.591,0.108,0.321,2.5,3.7,L (-11),L (-11)
28.0,28.0,2022-12-12,21-177,CLE,SAS,1,37.78333333333333,7.0,12.0,.583,0.0,0.0,,3,4.0,.750,4.0,9.0,13.0,4.0,0.0,1.0,3.0,2.0,17.0,16.2,+2,12.0,7.0,0.5833333333333334,72,74,69,43,66,3,74,12,66,39,59,20,45,32,34,74.0,77.0,69.0,44.0,68.0,3.0,76.0,12.0,68.0,62.0,62.0,22.0,48.0,33.0,37.0,5.0,0.972972972972973,0.961038961038961,1.0,0.9772727272727272,0.9705882352941176,1.0,0.9736842105263158,1.0,0.9705882352941176,0.6290322580645161,0.9516129032258064,0.9090909090909092,0.9375,0.9696969696969696,0.918918918918919,0.0,8,11.0,74.0,0.7272727272727273,0.0,16,16.0,48.0,3.0,15.0,65.10000000000001,4.0687500000000005,17.9,8.5,1.7,0.0,1.6,0.591,0.108,0.321,2.5,3.7,W (+8),W (+8)
