Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Gordon,Shared Games with Bones Hyland,Shared Games with Bruce Brown,Shared Games with Christian Braun,Shared Games with Davon Reed,Shared Games with DeAndre Jordan,Shared Games with Ish Smith,Shared Games with Jack White,Shared Games with Jamal Murray,Shared Games with Jeff Green,Shared Games with Kentavious Caldwell-Pope,Shared Games with Nikola Jokić,Shared Games with Peyton Watson,Shared Games with Vlatko Čančar,Shared Games with Zeke Nnaji,Aaron Gordon,Bones Hyland,Bruce Brown,Christian Braun,Collin Gillespie,Davon Reed,DeAndre Jordan,Ish Smith,Jack White,Jamal Murray,Jeff Green,Kentavious Caldwell-Pope,Nikola Jokić,Peyton Watson,Vlatko Čančar,Zeke Nnaji,co_inf with Aaron Gordon,co_inf with Bones Hyland,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with Collin Gillespie,co_inf with Davon Reed,co_inf with DeAndre Jordan,co_inf with Ish Smith,co_inf with Jack White,co_inf with Jamal Murray,co_inf with Jeff Green,co_inf with Kentavious Caldwell-Pope,co_inf with Nikola Jokić,co_inf with Peyton Watson,co_inf with Vlatko Čančar,co_inf with Zeke Nnaji,Shared Games with Reggie Jackson,Shared Games with Thomas Bryant,Donovan Williams,Reggie Jackson,Thomas Bryant,co_inf with Reggie Jackson,co_inf with Donovan Williams,co_inf with Thomas Bryant,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,10,2022-11-09,24-133,DEN,@,IND,W (+3),1,36:17,7.0,14.0,.500,3.0,7.0,.429,0,0.0,,2.0,4.0,6.0,2.0,0.0,1.0,1.0,0.0,17.0,13.7,-6,7.0,4.0,0.5714285714285714,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,11.0,73.0,4.294117647058823,13.699999999999998,82.69999999999999,4.864705882352941
11,12,11,2022-11-11,24-135,DEN,@,BOS,L (-19),1,25:08,3.0,10.0,.300,1.0,6.0,.167,0,0.0,,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,7.0,1.6,-24,4.0,2.0,0.5,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,1.0,61.0,3.588235294117647,1.5999999999999983,83.49999999999999,4.911764705882352
12,13,12,2022-11-13,24-137,DEN,@,CHI,W (+23),1,24:11,11.0,16.0,.688,6.0,9.0,.667,3,3.0,1.000,0.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,31.0,26.7,+23,7.0,5.0,0.7142857142857143,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,17.0,86.0,5.0588235294117645,25.5,87.1,5.123529411764705
13,14,13,2022-11-16,24-140,DEN,,NYK,L (-3),1,27:40,1.0,8.0,.125,1.0,6.0,.167,2,2.0,1.000,0.0,3.0,3.0,2.0,0.0,0.0,2.0,2.0,5.0,-0.7,-8,2.0,0.0,0.0,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,-2.0,63.0,3.7058823529411766,-1.499999999999999,68.7,4.041176470588235
14,15,14,2022-11-18,24-142,DEN,@,DAL,L (-28),1,24:17,4.0,15.0,.267,1.0,5.0,.200,1,1.0,1.000,0.0,3.0,3.0,2.0,0.0,0.0,1.0,2.0,10.0,1.6,-21,10.0,3.0,0.3,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,-2.0,58.0,3.411764705882353,1.2000000000000002,69.2,4.070588235294117
15,16,15,2022-11-20,24-144,DEN,@,DAL,W (+1),1,30:57,6.0,11.0,.545,1.0,5.0,.200,1,4.0,.250,0.0,5.0,5.0,0.0,2.0,1.0,2.0,2.0,14.0,8.9,+6,6.0,5.0,0.8333333333333334,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,5.0,58.0,3.411764705882353,8.499999999999998,55.900000000000006,3.2882352941176474
16,17,16,2022-11-22,24-146,DEN,,DET,L (-2),1,33:23,7.0,15.0,.467,1.0,5.0,.200,3,3.0,1.000,3.0,5.0,8.0,1.0,0.0,2.0,1.0,1.0,18.0,14.6,+16,10.0,6.0,0.6,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,10.0,72.0,4.235294117647059,13.399999999999997,88.0,5.176470588235294
17,18,,2022-11-23,24-147,DEN,@,OKC,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,,104.0,6.117647058823529,0.0,129.79999999999998,7.6352941176470575
18,19,,2022-11-25,24-149,DEN,@,LAC,W (+10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,,78.0,4.588235294117647,0.0,96.0,5.647058823529412
19,20,,2022-11-28,24-152,DEN,,HOU,W (+16),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,,109.0,6.411764705882353,0.0,120.5,7.088235294117647
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-11-30,24-154,DEN,,HOU,W (+20),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,,93.0,5.470588235294118,0.0,101.9,5.9941176470588236
22,22,,2022-12-02,24-156,DEN,@,ATL,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,,77.0,4.529411764705882,0.0,95.20000000000002,5.600000000000001
23,23,,2022-12-04,24-158,DEN,@,NOP,L (-15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,,77.0,4.529411764705882,0.0,93.3,5.488235294117647
24,24,,2022-12-06,24-160,DEN,,DAL,L (-1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,,53.0,3.117647058823529,0.0,73.20000000000002,4.305882352941177
25,25,,2022-12-08,24-162,DEN,@,POR,W (+1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,,73.0,4.294117647058823,0.0,91.9,5.405882352941177
26,26,,2022-12-10,24-164,DEN,,UTA,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,,80.0,4.705882352941177,0.0,97.6,5.741176470588235
27,27,,2022-12-14,24-168,DEN,,WAS,W (+13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,,91.0,5.352941176470588,0.0,111.89999999999998,6.582352941176469
28,28,,2022-12-16,24-170,DEN,@,LAL,L (-18),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,50,30,60,57,24,25,30,10,51,44,60,54,18,41,37,68.0,56.0,80.0,76.0,,43.0,39.0,43.0,17.0,65.0,56.0,76.0,69.0,23.0,60.0,53.0,0.7352941176470589,0.5357142857142857,0.75,0.75,,0.5581395348837209,0.6410256410256411,0.6976744186046512,0.5882352941176471,0.7846153846153846,0.7857142857142857,0.7894736842105263,0.782608695652174,0.782608695652174,0.6833333333333333,0.6981132075471698,12,18,2.0,68.0,59.0,0.1764705882352941,0.0,0.3050847457627119,17,,69.0,4.0588235294117645,0.0,90.5,5.323529411764706
