Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bam Adebayo,Shared Games with Caleb Martin,Shared Games with Cody Zeller,Shared Games with Dewayne Dedmon,Shared Games with Dru Smith,Shared Games with Duncan Robinson,Shared Games with Gabe Vincent,Shared Games with Haywood Highsmith,Shared Games with Jamal Cain,Shared Games with Kyle Lowry,Shared Games with Max Strus,Shared Games with Nikola Jović,Shared Games with Omer Yurtseven,Shared Games with Orlando Robinson,Shared Games with Tyler Herro,Shared Games with Udonis Haslem,Shared Games with Victor Oladipo,Bam Adebayo,Caleb Martin,Cody Zeller,Dewayne Dedmon,Dru Smith,Duncan Robinson,Gabe Vincent,Haywood Highsmith,Jamal Cain,Jamaree Bouyea,Kyle Lowry,Max Strus,Nikola Jović,Omer Yurtseven,Orlando Robinson,Tyler Herro,Udonis Haslem,Victor Oladipo,co_inf with Bam Adebayo,co_inf with Caleb Martin,co_inf with Cody Zeller,co_inf with Dewayne Dedmon,co_inf with Dru Smith,co_inf with Duncan Robinson,co_inf with Gabe Vincent,co_inf with Haywood Highsmith,co_inf with Jamal Cain,co_inf with Jamaree Bouyea,co_inf with Kyle Lowry,co_inf with Max Strus,co_inf with Nikola Jović,co_inf with Omer Yurtseven,co_inf with Orlando Robinson,co_inf with Tyler Herro,co_inf with Udonis Haslem,co_inf with Victor Oladipo,Shared Games with Kevin Love,Kevin Love,Trent Forrest,co_inf with Kevin Love,co_inf with Trent Forrest,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,9.0,2022-11-07,33-054,MIA,POR,1.0,33.233333333333334,5.0,14.0,0.357,0.0,1.0,0.0,6.0,6.0,1.0,0.0,4.0,4.0,7.0,6.0,0.0,2.0,3.0,16.0,17.1,-3.0,13.0,5.0,0.3846153846153846,60,55,9,21,3,30,58,37,8,39,64,7,7,21,53,5,33,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8,0.7746478873239436,0.6,0.5526315789473685,0.2,0.7142857142857143,0.8529411764705882,0.6851851851851852,0.4444444444444444,0.0,0.7090909090909091,0.8,0.4666666666666667,0.7777777777777778,0.6774193548387096,0.7910447761194029,0.7142857142857143,0.7857142857142857,17,62.0,23.0,0.2741935483870967,0.0,18,11.0,70.0,3.888888888888889,14.7,76.19999999999999,4.2333333333333325,27.6,12.3,8.7,6.7,2.0,0.1633062270246184,0.647,0.116,0.625,5.8,9.4,L (-3),L (-3)
12.0,10.0,2022-11-10,33-057,MIA,CHO,1.0,42.31666666666667,11.0,19.0,0.579,0.0,1.0,0.0,13.0,15.0,0.867,3.0,7.0,10.0,8.0,2.0,0.0,2.0,2.0,35.0,34.3,11.0,18.0,11.0,0.6111111111111112,60,55,9,21,3,30,58,37,8,39,64,7,7,21,53,5,33,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8,0.7746478873239436,0.6,0.5526315789473685,0.2,0.7142857142857143,0.8529411764705882,0.6851851851851852,0.4444444444444444,0.0,0.7090909090909091,0.8,0.4666666666666667,0.7777777777777778,0.6774193548387096,0.7910447761194029,0.7142857142857143,0.7857142857142857,17,62.0,23.0,0.2741935483870967,0.0,18,19.0,40.0,2.2222222222222223,29.100000000000005,51.69999999999999,2.872222222222222,27.6,12.3,8.7,6.7,2.0,0.1633062270246184,0.647,0.116,0.625,5.8,9.4,W (+5),W (+5)
13.0,11.0,2022-11-12,33-059,MIA,CHO,1.0,31.3,6.0,8.0,0.75,1.0,2.0,0.5,7.0,7.0,1.0,2.0,5.0,7.0,8.0,1.0,0.0,0.0,2.0,20.0,25.5,13.0,6.0,5.0,0.8333333333333334,60,55,9,21,3,30,58,37,8,39,64,7,7,21,53,5,33,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8,0.7746478873239436,0.6,0.5526315789473685,0.2,0.7142857142857143,0.8529411764705882,0.6851851851851852,0.4444444444444444,0.0,0.7090909090909091,0.8,0.4666666666666667,0.7777777777777778,0.6774193548387096,0.7910447761194029,0.7142857142857143,0.7857142857142857,17,62.0,23.0,0.2741935483870967,0.0,18,21.0,75.0,4.166666666666667,22.7,89.19999999999999,4.955555555555555,27.6,12.3,8.7,6.7,2.0,0.1633062270246184,0.647,0.116,0.625,5.8,9.4,W (+17),W (+17)
14.0,12.0,2022-11-14,33-061,MIA,PHO,1.0,34.8,5.0,12.0,0.417,1.0,2.0,0.5,5.0,5.0,1.0,4.0,9.0,13.0,7.0,1.0,1.0,0.0,3.0,16.0,20.5,3.0,10.0,4.0,0.4,60,55,9,21,3,30,58,37,8,39,64,7,7,21,53,5,33,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8,0.7746478873239436,0.6,0.5526315789473685,0.2,0.7142857142857143,0.8529411764705882,0.6851851851851852,0.4444444444444444,0.0,0.7090909090909091,0.8,0.4666666666666667,0.7777777777777778,0.6774193548387096,0.7910447761194029,0.7142857142857143,0.7857142857142857,17,62.0,23.0,0.2741935483870967,0.0,18,21.0,44.0,2.4444444444444446,18.5,58.7,3.261111111111111,27.6,12.3,8.7,6.7,2.0,0.1633062270246184,0.647,0.116,0.625,5.8,9.4,W (+1),W (+1)
15.0,13.0,2022-11-16,33-063,MIA,TOR,1.0,38.28333333333333,4.0,8.0,0.5,0.0,2.0,0.0,5.0,5.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0,5.0,2.0,13.0,8.0,-4.0,6.0,4.0,0.6666666666666666,60,55,9,21,3,30,58,37,8,39,64,7,7,21,53,5,33,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8,0.7746478873239436,0.6,0.5526315789473685,0.2,0.7142857142857143,0.8529411764705882,0.6851851851851852,0.4444444444444444,0.0,0.7090909090909091,0.8,0.4666666666666667,0.7777777777777778,0.6774193548387096,0.7910447761194029,0.7142857142857143,0.7857142857142857,17,62.0,23.0,0.2741935483870967,0.0,18,2.0,73.0,4.055555555555555,5.999999999999998,76.0,4.222222222222222,27.6,12.3,8.7,6.7,2.0,0.1633062270246184,0.647,0.116,0.625,5.8,9.4,L (-8),L (-8)
16.0,,2022-11-18,33-065,MIA,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,60,55,9,21,3,30,58,37,8,39,64,7,7,21,53,5,33,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8,0.7746478873239436,0.6,0.5526315789473685,0.2,0.7142857142857143,0.8529411764705882,0.6851851851851852,0.4444444444444444,0.0,0.7090909090909091,0.8,0.4666666666666667,0.7777777777777778,0.6774193548387096,0.7910447761194029,0.7142857142857143,0.7857142857142857,17,62.0,23.0,0.2741935483870967,0.0,18,,45.0,2.5,0.0,58.9,3.272222222222222,27.6,12.3,8.7,6.7,2.0,0.1633062270246184,0.647,0.116,0.625,5.8,9.4,L (-1),L (-1)
17.0,,2022-11-20,33-067,MIA,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,60,55,9,21,3,30,58,37,8,39,64,7,7,21,53,5,33,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8,0.7746478873239436,0.6,0.5526315789473685,0.2,0.7142857142857143,0.8529411764705882,0.6851851851851852,0.4444444444444444,0.0,0.7090909090909091,0.8,0.4666666666666667,0.7777777777777778,0.6774193548387096,0.7910447761194029,0.7142857142857143,0.7857142857142857,17,62.0,23.0,0.2741935483870967,0.0,18,,37.0,2.055555555555556,0.0,52.99999999999999,2.944444444444444,27.6,12.3,8.7,6.7,2.0,0.1633062270246184,0.647,0.116,0.625,5.8,9.4,L (-26),L (-26)
18.0,,2022-11-21,33-068,MIA,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,60,55,9,21,3,30,58,37,8,39,64,7,7,21,53,5,33,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8,0.7746478873239436,0.6,0.5526315789473685,0.2,0.7142857142857143,0.8529411764705882,0.6851851851851852,0.4444444444444444,0.0,0.7090909090909091,0.8,0.4666666666666667,0.7777777777777778,0.6774193548387096,0.7910447761194029,0.7142857142857143,0.7857142857142857,17,62.0,23.0,0.2741935483870967,0.0,18,,52.0,2.888888888888889,0.0,62.1,3.45,27.6,12.3,8.7,6.7,2.0,0.1633062270246184,0.647,0.116,0.625,5.8,9.4,L (-4),L (-4)
19.0,,2022-11-23,33-070,MIA,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,60,55,9,21,3,30,58,37,8,39,64,7,7,21,53,5,33,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8,0.7746478873239436,0.6,0.5526315789473685,0.2,0.7142857142857143,0.8529411764705882,0.6851851851851852,0.4444444444444444,0.0,0.7090909090909091,0.8,0.4666666666666667,0.7777777777777778,0.6774193548387096,0.7910447761194029,0.7142857142857143,0.7857142857142857,17,62.0,23.0,0.2741935483870967,0.0,18,,85.0,4.722222222222222,0.0,97.1,5.394444444444444,27.6,12.3,8.7,6.7,2.0,0.1633062270246184,0.647,0.116,0.625,5.8,9.4,W (+8),W (+8)
20.0,,2022-11-25,33-072,MIA,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,60,55,9,21,3,30,58,37,8,39,64,7,7,21,53,5,33,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8,0.7746478873239436,0.6,0.5526315789473685,0.2,0.7142857142857143,0.8529411764705882,0.6851851851851852,0.4444444444444444,0.0,0.7090909090909091,0.8,0.4666666666666667,0.7777777777777778,0.6774193548387096,0.7910447761194029,0.7142857142857143,0.7857142857142857,17,62.0,23.0,0.2741935483870967,0.0,18,,62.0,3.4444444444444446,0.0,72.90000000000002,4.050000000000001,27.6,12.3,8.7,6.7,2.0,0.1633062270246184,0.647,0.116,0.625,5.8,9.4,W (+3),W (+3)
21.0,,2022-11-27,33-074,MIA,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,60,55,9,21,3,30,58,37,8,39,64,7,7,21,53,5,33,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8,0.7746478873239436,0.6,0.5526315789473685,0.2,0.7142857142857143,0.8529411764705882,0.6851851851851852,0.4444444444444444,0.0,0.7090909090909091,0.8,0.4666666666666667,0.7777777777777778,0.6774193548387096,0.7910447761194029,0.7142857142857143,0.7857142857142857,17,62.0,23.0,0.2741935483870967,0.0,18,,67.0,3.7222222222222223,0.0,67.4,3.744444444444445,27.6,12.3,8.7,6.7,2.0,0.1633062270246184,0.647,0.116,0.625,5.8,9.4,,
22.0,,2022-11-30,33-077,MIA,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,60,55,9,21,3,30,58,37,8,39,64,7,7,21,53,5,33,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8,0.7746478873239436,0.6,0.5526315789473685,0.2,0.7142857142857143,0.8529411764705882,0.6851851851851852,0.4444444444444444,0.0,0.7090909090909091,0.8,0.4666666666666667,0.7777777777777778,0.6774193548387096,0.7910447761194029,0.7142857142857143,0.7857142857142857,17,62.0,23.0,0.2741935483870967,0.0,18,,100.0,5.555555555555555,0.0,110.09999999999998,6.116666666666665,27.6,12.3,8.7,6.7,2.0,0.1633062270246184,0.647,0.116,0.625,5.8,9.4,W (+8),W (+8)
23.0,14.0,2022-12-02,33-079,MIA,BOS,1.0,35.483333333333334,12.0,21.0,0.571,0.0,1.0,0.0,1.0,3.0,0.333,6.0,9.0,15.0,3.0,1.0,1.0,3.0,2.0,25.0,21.2,-10.0,20.0,12.0,0.6,60,55,9,21,3,30,58,37,8,39,64,7,7,21,53,5,33,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8,0.7746478873239436,0.6,0.5526315789473685,0.2,0.7142857142857143,0.8529411764705882,0.6851851851851852,0.4444444444444444,0.0,0.7090909090909091,0.8,0.4666666666666667,0.7777777777777778,0.6774193548387096,0.7910447761194029,0.7142857142857143,0.7857142857142857,17,62.0,23.0,0.2741935483870967,0.0,18,18.0,78.0,4.333333333333333,20.800000000000008,83.0,4.611111111111111,27.6,12.3,8.7,6.7,2.0,0.1633062270246184,0.647,0.116,0.625,5.8,9.4,L (-13),L (-13)
24.0,15.0,2022-12-05,33-082,MIA,MEM,1.0,33.28333333333333,6.0,11.0,0.545,1.0,2.0,0.5,5.0,8.0,0.625,1.0,5.0,6.0,8.0,1.0,0.0,5.0,1.0,18.0,14.9,3.0,9.0,5.0,0.5555555555555556,60,55,9,21,3,30,58,37,8,39,64,7,7,21,53,5,33,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8,0.7746478873239436,0.6,0.5526315789473685,0.2,0.7142857142857143,0.8529411764705882,0.6851851851851852,0.4444444444444444,0.0,0.7090909090909091,0.8,0.4666666666666667,0.7777777777777778,0.6774193548387096,0.7910447761194029,0.7142857142857143,0.7857142857142857,17,62.0,23.0,0.2741935483870967,0.0,18,9.0,53.0,2.9444444444444446,12.9,58.49999999999999,3.25,27.6,12.3,8.7,6.7,2.0,0.1633062270246184,0.647,0.116,0.625,5.8,9.4,W (+4),W (+4)
25.0,,2022-12-06,33-083,MIA,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,60,55,9,21,3,30,58,37,8,39,64,7,7,21,53,5,33,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8,0.7746478873239436,0.6,0.5526315789473685,0.2,0.7142857142857143,0.8529411764705882,0.6851851851851852,0.4444444444444444,0.0,0.7090909090909091,0.8,0.4666666666666667,0.7777777777777778,0.6774193548387096,0.7910447761194029,0.7142857142857143,0.7857142857142857,17,62.0,23.0,0.2741935483870967,0.0,18,,57.0,3.1666666666666665,0.0,64.8,3.6,27.6,12.3,8.7,6.7,2.0,0.1633062270246184,0.647,0.116,0.625,5.8,9.4,L (-8),L (-8)
