Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bam Adebayo,Shared Games with Cody Zeller,Shared Games with Dewayne Dedmon,Shared Games with Dru Smith,Shared Games with Duncan Robinson,Shared Games with Gabe Vincent,Shared Games with Haywood Highsmith,Shared Games with Jamal Cain,Shared Games with Jimmy Butler,Shared Games with Kyle Lowry,Shared Games with Max Strus,Shared Games with Nikola Jović,Shared Games with Omer Yurtseven,Shared Games with Orlando Robinson,Shared Games with Tyler Herro,Shared Games with Udonis Haslem,Shared Games with Victor Oladipo,Bam Adebayo,Cody Zeller,Dewayne Dedmon,Dru Smith,Duncan Robinson,Gabe Vincent,Haywood Highsmith,Jamal Cain,Jamaree Bouyea,Jimmy Butler,Kyle Lowry,Max Strus,Nikola Jović,Omer Yurtseven,Orlando Robinson,Tyler Herro,Udonis Haslem,Victor Oladipo,co_inf with Bam Adebayo,co_inf with Cody Zeller,co_inf with Dewayne Dedmon,co_inf with Dru Smith,co_inf with Duncan Robinson,co_inf with Gabe Vincent,co_inf with Haywood Highsmith,co_inf with Jamal Cain,co_inf with Jamaree Bouyea,co_inf with Jimmy Butler,co_inf with Kyle Lowry,co_inf with Max Strus,co_inf with Nikola Jović,co_inf with Omer Yurtseven,co_inf with Orlando Robinson,co_inf with Tyler Herro,co_inf with Udonis Haslem,co_inf with Victor Oladipo,Shared Games with Kevin Love,Kevin Love,Trent Forrest,co_inf with Kevin Love,co_inf with Trent Forrest,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,10.0,2022-11-07,27-040,MIA,POR,1,34.75,5.0,11.0,.455,0.0,5.0,.000,0,0.0,,3.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,10.0,8.7,-4,6.0,5.0,0.8333333333333334,65,14,25,5,37,59,44,12,55,49,69,13,8,25,60,7,33,75.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8666666666666667,0.9333333333333332,0.6578947368421053,0.3333333333333333,0.8809523809523809,0.8676470588235294,0.8148148148148148,0.6666666666666666,0.0,0.859375,0.8909090909090909,0.8625,0.8666666666666667,0.8888888888888888,0.8064516129032258,0.8955223880597015,1.0,0.7857142857142857,19,62.0,23.0,0.3064516129032258,0.0,18,6.0,75.0,4.166666666666667,8.7,82.19999999999997,4.5666666666666655,11.4,3.7,-1.2,-1.8,0.5,0.0760833240503509,0.571,0.431,0.206,0.4,1.2,L (-3),L (-3)
12.0,11.0,2022-11-10,27-043,MIA,CHO,1,30.75,3.0,8.0,.375,2.0,4.0,.500,1,2.0,.500,2.0,2.0,4.0,2.0,1.0,0.0,1.0,2.0,9.0,6.8,+4,4.0,1.0,0.25,65,14,25,5,37,59,44,12,55,49,69,13,8,25,60,7,33,75.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8666666666666667,0.9333333333333332,0.6578947368421053,0.3333333333333333,0.8809523809523809,0.8676470588235294,0.8148148148148148,0.6666666666666666,0.0,0.859375,0.8909090909090909,0.8625,0.8666666666666667,0.8888888888888888,0.8064516129032258,0.8955223880597015,1.0,0.7857142857142857,19,62.0,23.0,0.3064516129032258,0.0,18,5.0,54.0,3.0,6.4,74.39999999999999,4.133333333333333,11.4,3.7,-1.2,-1.8,0.5,0.0760833240503509,0.571,0.431,0.206,0.4,1.2,W (+5),W (+5)
13.0,12.0,2022-11-12,27-045,MIA,CHO,1,33.766666666666666,3.0,8.0,.375,0.0,1.0,.000,1,3.0,.333,2.0,2.0,4.0,4.0,1.0,0.0,2.0,3.0,7.0,4.4,+27,7.0,3.0,0.4285714285714285,65,14,25,5,37,59,44,12,55,49,69,13,8,25,60,7,33,75.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8666666666666667,0.9333333333333332,0.6578947368421053,0.3333333333333333,0.8809523809523809,0.8676470588235294,0.8148148148148148,0.6666666666666666,0.0,0.859375,0.8909090909090909,0.8625,0.8666666666666667,0.8888888888888888,0.8064516129032258,0.8955223880597015,1.0,0.7857142857142857,19,62.0,23.0,0.3064516129032258,0.0,18,3.0,93.0,5.166666666666667,4.0,107.89999999999998,5.994444444444444,11.4,3.7,-1.2,-1.8,0.5,0.0760833240503509,0.571,0.431,0.206,0.4,1.2,W (+17),W (+17)
14.0,13.0,2022-11-14,27-047,MIA,PHO,1,36.6,5.0,8.0,.625,5.0,6.0,.833,0,0.0,,2.0,3.0,5.0,3.0,2.0,2.0,0.0,0.0,15.0,19.2,+10,2.0,0.0,0.0,65,14,25,5,37,59,44,12,55,49,69,13,8,25,60,7,33,75.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8666666666666667,0.9333333333333332,0.6578947368421053,0.3333333333333333,0.8809523809523809,0.8676470588235294,0.8148148148148148,0.6666666666666666,0.0,0.859375,0.8909090909090909,0.8625,0.8666666666666667,0.8888888888888888,0.8064516129032258,0.8955223880597015,1.0,0.7857142857142857,19,62.0,23.0,0.3064516129032258,0.0,18,19.0,46.0,2.555555555555556,19.2,58.0,3.2222222222222223,11.4,3.7,-1.2,-1.8,0.5,0.0760833240503509,0.571,0.431,0.206,0.4,1.2,W (+1),W (+1)
15.0,14.0,2022-11-16,27-049,MIA,TOR,1,38.333333333333336,6.0,10.0,.600,2.0,4.0,.500,0,0.0,,2.0,7.0,9.0,3.0,0.0,2.0,3.0,3.0,14.0,12.2,-1,6.0,4.0,0.6666666666666666,65,14,25,5,37,59,44,12,55,49,69,13,8,25,60,7,33,75.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8666666666666667,0.9333333333333332,0.6578947368421053,0.3333333333333333,0.8809523809523809,0.8676470588235294,0.8148148148148148,0.6666666666666666,0.0,0.859375,0.8909090909090909,0.8625,0.8666666666666667,0.8888888888888888,0.8064516129032258,0.8955223880597015,1.0,0.7857142857142857,19,62.0,23.0,0.3064516129032258,0.0,18,15.0,60.0,3.333333333333333,12.2,69.8,3.8777777777777778,11.4,3.7,-1.2,-1.8,0.5,0.0760833240503509,0.571,0.431,0.206,0.4,1.2,L (-8),L (-8)
16.0,15.0,2022-11-18,27-051,MIA,WAS,1,47.016666666666666,3.0,12.0,.250,2.0,5.0,.400,4,4.0,1.000,1.0,4.0,5.0,3.0,2.0,1.0,3.0,1.0,12.0,8.1,+1,7.0,1.0,0.1428571428571428,65,14,25,5,37,59,44,12,55,49,69,13,8,25,60,7,33,75.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8666666666666667,0.9333333333333332,0.6578947368421053,0.3333333333333333,0.8809523809523809,0.8676470588235294,0.8148148148148148,0.6666666666666666,0.0,0.859375,0.8909090909090909,0.8625,0.8666666666666667,0.8888888888888888,0.8064516129032258,0.8955223880597015,1.0,0.7857142857142857,19,62.0,23.0,0.3064516129032258,0.0,18,4.0,41.0,2.2777777777777777,6.4999999999999964,52.4,2.911111111111111,11.4,3.7,-1.2,-1.8,0.5,0.0760833240503509,0.571,0.431,0.206,0.4,1.2,L (-1),L (-1)
17.0,16.0,2022-11-20,27-053,MIA,CLE,1,34.25,7.0,12.0,.583,1.0,5.0,.200,2,2.0,1.000,2.0,1.0,3.0,2.0,0.0,0.0,2.0,2.0,17.0,11.7,-12,7.0,6.0,0.8571428571428571,65,14,25,5,37,59,44,12,55,49,69,13,8,25,60,7,33,75.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8666666666666667,0.9333333333333332,0.6578947368421053,0.3333333333333333,0.8809523809523809,0.8676470588235294,0.8148148148148148,0.6666666666666666,0.0,0.859375,0.8909090909090909,0.8625,0.8666666666666667,0.8888888888888888,0.8064516129032258,0.8955223880597015,1.0,0.7857142857142857,19,62.0,23.0,0.3064516129032258,0.0,18,6.0,31.0,1.7222222222222223,10.9,42.1,2.338888888888889,11.4,3.7,-1.2,-1.8,0.5,0.0760833240503509,0.571,0.431,0.206,0.4,1.2,L (-26),L (-26)
18.0,17.0,2022-11-21,27-054,MIA,MIN,1,40.1,3.0,7.0,.429,0.0,2.0,.000,2,4.0,.500,3.0,3.0,6.0,3.0,3.0,1.0,1.0,2.0,8.0,10.5,-1,5.0,3.0,0.6,65,14,25,5,37,59,44,12,55,49,69,13,8,25,60,7,33,75.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8666666666666667,0.9333333333333332,0.6578947368421053,0.3333333333333333,0.8809523809523809,0.8676470588235294,0.8148148148148148,0.6666666666666666,0.0,0.859375,0.8909090909090909,0.8625,0.8666666666666667,0.8888888888888888,0.8064516129032258,0.8955223880597015,1.0,0.7857142857142857,19,62.0,23.0,0.3064516129032258,0.0,18,9.0,43.0,2.388888888888889,9.699999999999998,52.39999999999999,2.9111111111111105,11.4,3.7,-1.2,-1.8,0.5,0.0760833240503509,0.571,0.431,0.206,0.4,1.2,L (-4),L (-4)
19.0,18.0,2022-11-23,27-056,MIA,WAS,1,40.48333333333333,10.0,17.0,.588,4.0,9.0,.444,0,0.0,,4.0,5.0,9.0,4.0,2.0,1.0,0.0,2.0,24.0,25.1,-2,8.0,6.0,0.75,65,14,25,5,37,59,44,12,55,49,69,13,8,25,60,7,33,75.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8666666666666667,0.9333333333333332,0.6578947368421053,0.3333333333333333,0.8809523809523809,0.8676470588235294,0.8148148148148148,0.6666666666666666,0.0,0.859375,0.8909090909090909,0.8625,0.8666666666666667,0.8888888888888888,0.8064516129032258,0.8955223880597015,1.0,0.7857142857142857,19,62.0,23.0,0.3064516129032258,0.0,18,23.0,62.0,3.4444444444444446,25.1,72.00000000000001,4.000000000000001,11.4,3.7,-1.2,-1.8,0.5,0.0760833240503509,0.571,0.431,0.206,0.4,1.2,W (+8),W (+8)
20.0,19.0,2022-11-25,27-058,MIA,WAS,1,38.4,7.0,11.0,.636,2.0,4.0,.500,4,5.0,.800,0.0,4.0,4.0,1.0,1.0,0.0,2.0,2.0,20.0,14.8,+13,7.0,5.0,0.7142857142857143,65,14,25,5,37,59,44,12,55,49,69,13,8,25,60,7,33,75.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8666666666666667,0.9333333333333332,0.6578947368421053,0.3333333333333333,0.8809523809523809,0.8676470588235294,0.8148148148148148,0.6666666666666666,0.0,0.859375,0.8909090909090909,0.8625,0.8666666666666667,0.8888888888888888,0.8064516129032258,0.8955223880597015,1.0,0.7857142857142857,19,62.0,23.0,0.3064516129032258,0.0,18,8.0,54.0,3.0,13.2,59.7,3.316666666666667,11.4,3.7,-1.2,-1.8,0.5,0.0760833240503509,0.571,0.431,0.206,0.4,1.2,W (+3),W (+3)
21.0,20.0,2022-11-27,27-060,MIA,ATL,1,40.86666666666667,8.0,12.0,.667,2.0,3.0,.667,2,2.0,1.000,1.0,8.0,9.0,4.0,2.0,1.0,1.0,2.0,20.0,21.6,+9,9.0,6.0,0.6666666666666666,65,14,25,5,37,59,44,12,55,49,69,13,8,25,60,7,33,75.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8666666666666667,0.9333333333333332,0.6578947368421053,0.3333333333333333,0.8809523809523809,0.8676470588235294,0.8148148148148148,0.6666666666666666,0.0,0.859375,0.8909090909090909,0.8625,0.8666666666666667,0.8888888888888888,0.8064516129032258,0.8955223880597015,1.0,0.7857142857142857,19,62.0,23.0,0.3064516129032258,0.0,18,21.0,46.0,2.555555555555556,20.8,46.60000000000001,2.588888888888889,11.4,3.7,-1.2,-1.8,0.5,0.0760833240503509,0.571,0.431,0.206,0.4,1.2,,
22.0,21.0,2022-11-30,27-063,MIA,BOS,1,24.216666666666665,4.0,9.0,.444,2.0,5.0,.400,0,0.0,,1.0,5.0,6.0,1.0,0.0,0.0,2.0,1.0,10.0,5.8,-7,4.0,2.0,0.5,65,14,25,5,37,59,44,12,55,49,69,13,8,25,60,7,33,75.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8666666666666667,0.9333333333333332,0.6578947368421053,0.3333333333333333,0.8809523809523809,0.8676470588235294,0.8148148148148148,0.6666666666666666,0.0,0.859375,0.8909090909090909,0.8625,0.8666666666666667,0.8888888888888888,0.8064516129032258,0.8955223880597015,1.0,0.7857142857142857,19,62.0,23.0,0.3064516129032258,0.0,18,6.0,94.0,5.222222222222222,5.799999999999999,104.3,5.794444444444444,11.4,3.7,-1.2,-1.8,0.5,0.0760833240503509,0.571,0.431,0.206,0.4,1.2,W (+8),W (+8)
23.0,22.0,2022-12-02,27-065,MIA,BOS,1,26.016666666666666,4.0,9.0,.444,1.0,3.0,.333,1,2.0,.500,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,4.8,-13,6.0,3.0,0.5,65,14,25,5,37,59,44,12,55,49,69,13,8,25,60,7,33,75.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8666666666666667,0.9333333333333332,0.6578947368421053,0.3333333333333333,0.8809523809523809,0.8676470588235294,0.8148148148148148,0.6666666666666666,0.0,0.859375,0.8909090909090909,0.8625,0.8666666666666667,0.8888888888888888,0.8064516129032258,0.8955223880597015,1.0,0.7857142857142857,19,62.0,23.0,0.3064516129032258,0.0,18,0.0,96.0,5.333333333333333,4.4,99.4,5.522222222222222,11.4,3.7,-1.2,-1.8,0.5,0.0760833240503509,0.571,0.431,0.206,0.4,1.2,L (-13),L (-13)
24.0,23.0,2022-12-05,27-068,MIA,MEM,1,33.93333333333333,6.0,10.0,.600,4.0,8.0,.500,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,10.4,-4,2.0,2.0,1.0,65,14,25,5,37,59,44,12,55,49,69,13,8,25,60,7,33,75.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,9.0,31.0,67.0,7.0,42.0,0.8666666666666667,0.9333333333333332,0.6578947368421053,0.3333333333333333,0.8809523809523809,0.8676470588235294,0.8148148148148148,0.6666666666666666,0.0,0.859375,0.8909090909090909,0.8625,0.8666666666666667,0.8888888888888888,0.8064516129032258,0.8955223880597015,1.0,0.7857142857142857,19,62.0,23.0,0.3064516129032258,0.0,18,5.0,57.0,3.1666666666666665,10.4,60.99999999999999,3.3888888888888884,11.4,3.7,-1.2,-1.8,0.5,0.0760833240503509,0.571,0.431,0.206,0.4,1.2,W (+4),W (+4)
