Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bam Adebayo,Shared Games with Caleb Martin,Shared Games with Duncan Robinson,Shared Games with Gabe Vincent,Shared Games with Haywood Highsmith,Shared Games with Jamal Cain,Shared Games with Jimmy Butler,Shared Games with Kyle Lowry,Shared Games with Max Strus,Shared Games with Tyler Herro,Shared Games with Udonis Haslem,Shared Games with Victor Oladipo,Bam Adebayo,Caleb Martin,Cody Zeller,Dewayne Dedmon,Dru Smith,Duncan Robinson,Gabe Vincent,Haywood Highsmith,Jamal Cain,Jamaree Bouyea,Jimmy Butler,Kyle Lowry,Max Strus,Nikola Jović,Orlando Robinson,Tyler Herro,Udonis Haslem,Victor Oladipo,co_inf with Bam Adebayo,co_inf with Caleb Martin,co_inf with Cody Zeller,co_inf with Dewayne Dedmon,co_inf with Dru Smith,co_inf with Duncan Robinson,co_inf with Gabe Vincent,co_inf with Haywood Highsmith,co_inf with Jamal Cain,co_inf with Jamaree Bouyea,co_inf with Jimmy Butler,co_inf with Kyle Lowry,co_inf with Max Strus,co_inf with Nikola Jović,co_inf with Orlando Robinson,co_inf with Tyler Herro,co_inf with Udonis Haslem,co_inf with Victor Oladipo,Shared Games with Kevin Love,Kevin Love,Trent Forrest,co_inf with Kevin Love,co_inf with Trent Forrest,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
30.0,,2022-12-15,24-179,MIA,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,73.0,5.615384615384615,0.0,76.10000000000001,5.853846153846154,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,W (+2),W (+2)
31.0,,2022-12-17,24-181,MIA,SAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,80.0,6.153846153846154,0.0,85.80000000000001,6.6000000000000005,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,W (+3),W (+3)
32.0,,2022-12-20,24-184,MIA,CHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,70.0,5.384615384615385,0.0,76.5,5.884615384615385,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,W (+10),W (+10)
33.0,,2022-12-23,24-187,MIA,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,79.0,6.076923076923077,0.0,91.3,7.023076923076923,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,L (-10),L (-10)
34.0,,2022-12-26,24-190,MIA,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,62.0,4.769230769230769,0.0,74.3,5.715384615384616,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,L (-3),L (-3)
35.0,,2022-12-28,24-192,MIA,LAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,88.0,6.769230769230769,0.0,102.5,7.884615384615385,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,W (+3),W (+3)
36.0,,2022-12-30,24-194,MIA,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,66.0,5.076923076923077,0.0,83.60000000000001,6.430769230769231,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,W (+14),W (+14)
37.0,,2022-12-31,24-195,MIA,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,89.0,6.846153846153846,0.0,106.6,8.2,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,L (-5),L (-5)
38.0,,2023-01-02,24-197,MIA,LAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,84.0,6.461538461538462,0.0,82.3,6.330769230769231,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,W (+3),W (+3)
39.0,,2023-01-04,24-199,MIA,LAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,68.0,5.230769230769231,0.0,77.60000000000002,5.969230769230771,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,W (+10),W (+10)
40.0,,2023-01-06,24-201,MIA,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,60.0,4.615384615384615,0.0,80.7,6.207692307692308,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,L (-3),L (-3)
41.0,,2023-01-08,24-203,MIA,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,45.0,3.4615384615384617,0.0,64.89999999999999,4.9923076923076914,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,W (+8),W (+8)
42.0,,2023-01-10,24-205,MIA,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,39.0,3.0,0.0,66.00000000000001,5.076923076923078,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,,
43.0,,2023-01-12,24-207,MIA,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,72.0,5.538461538461538,0.0,80.2,6.1692307692307695,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,L (-1),L (-1)
44.0,,2023-01-14,24-209,MIA,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,79.0,6.076923076923077,0.0,87.5,6.730769230769231,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,W (+1),W (+1)
45.0,,2023-01-16,24-211,MIA,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,78.0,6.0,0.0,89.7,6.9,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,W (+6),W (+6)
46.0,,2023-01-18,24-213,MIA,NOP,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,88.0,6.769230769230769,0.0,103.9,7.992307692307692,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,W (+16),W (+16)
47.0,,2023-01-20,24-215,MIA,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,44.0,3.3846153846153846,0.0,58.89999999999999,4.53076923076923,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,L (-8),L (-8)
48.0,,2023-01-22,24-217,MIA,NOP,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,55.0,4.230769230769231,0.0,71.69999999999999,5.515384615384614,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,W (+26),W (+26)
49.0,,2023-01-24,24-219,MIA,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,49.0,3.769230769230769,0.0,61.1,4.7,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,L (-25),L (-25)
50.0,,2023-01-27,24-222,MIA,ORL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,62.0,4.769230769230769,0.0,80.7,6.207692307692308,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,W (+4),W (+4)
51.0,,2023-01-29,24-224,MIA,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,66.0,5.076923076923077,0.0,86.1,6.623076923076923,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,W (+3),W (+3)
52.0,,2023-01-31,24-226,MIA,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,54.0,4.153846153846154,0.0,66.5,5.115384615384615,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,W (+5),W (+5)
53.0,,2023-02-02,24-228,MIA,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,59.0,4.538461538461538,0.0,76.70000000000002,5.900000000000001,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,L (-5),L (-5)
54.0,,2023-02-04,24-230,MIA,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,64.0,4.923076923076923,0.0,83.60000000000001,6.430769230769231,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,W (+3),W (+3)
55.0,,2023-02-08,24-234,MIA,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,63.0,4.846153846153846,0.0,81.59999999999998,6.276923076923075,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,L (-2),L (-2)
56.0,,2023-02-10,24-236,MIA,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,59.0,4.538461538461538,0.0,68.70000000000002,5.284615384615386,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,L (-8),L (-8)
57.0,,2023-02-11,24-237,MIA,ORL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,59.0,4.538461538461538,0.0,69.0,5.307692307692308,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,W (+5),W (+5)
58.0,,2023-02-13,24-239,MIA,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,44.0,3.3846153846153846,0.0,64.1,4.93076923076923,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,W (+2),W (+2)
59.0,,2023-02-15,24-241,MIA,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,49.0,3.769230769230769,0.0,70.19999999999999,5.4,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,W (+4),W (+4)
60.0,,2023-02-24,24-250,MIA,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8,8,6,9,7,4,7,7,9,8,1,5,75.0,71.0,15.0,38.0,15.0,42.0,68.0,54.0,18.0,5.0,64.0,55.0,80.0,15.0,31.0,67.0,7.0,42.0,0.1066666666666666,0.1126760563380281,0.0,0.0,0.0,0.1428571428571428,0.1323529411764706,0.1296296296296296,0.2222222222222222,0.0,0.109375,0.1272727272727272,0.1125,0.0,0.0,0.1194029850746268,0.1428571428571428,0.119047619047619,9,62.0,23.0,0.1451612903225806,0.0,13,,29.0,2.230769230769231,0.0,48.8,3.753846153846154,16.7,0.3,-3.9,-2.5,-1.5,0.0044558315695666,0.675,0.259,0.222,0.0,0.2,L (-4),L (-4)
