Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Wiggins,Shared Games with Aleksej Pokusevski,Shared Games with Darius Bazley,Shared Games with Eugene Omoruyi,Shared Games with Isaiah Joe,Shared Games with Jalen Williams,Shared Games with Jaylin Williams,Shared Games with Jeremiah Robinson-Earl,Shared Games with Josh Giddey,Shared Games with Kenrich Williams,Shared Games with Lindy Waters III,Shared Games with Luguentz Dort,Shared Games with Mike Muscala,Shared Games with Shai Gilgeous-Alexander,Shared Games with Tre Mann,Aaron Wiggins,Aleksej Pokusevski,Chet Holmgren,Darius Bazley,Eugene Omoruyi,Isaiah Joe,Jalen Williams,Jared Butler,Jaylin Williams,Jeremiah Robinson-Earl,Josh Giddey,Kenrich Williams,Lindy Waters III,Luguentz Dort,Mike Muscala,Shai Gilgeous-Alexander,Tre Mann,co_inf with Aaron Wiggins,co_inf with Aleksej Pokusevski,co_inf with Chet Holmgren,co_inf with Darius Bazley,co_inf with Eugene Omoruyi,co_inf with Isaiah Joe,co_inf with Jalen Williams,co_inf with Jared Butler,co_inf with Jaylin Williams,co_inf with Jeremiah Robinson-Earl,co_inf with Josh Giddey,co_inf with Kenrich Williams,co_inf with Lindy Waters III,co_inf with Luguentz Dort,co_inf with Mike Muscala,co_inf with Shai Gilgeous-Alexander,co_inf with Tre Mann,Shared Games with Dario Šarić,Shared Games with Olivier Sarr,Danilo Gallinari,Dario Šarić,Olivier Sarr,co_inf with Danilo Gallinari,co_inf with Dario Šarić,co_inf with Olivier Sarr,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,,2022-11-09,19-172,OKC,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,87.0,5.117647058823529,0.0,100.1,5.888235294117647,9.3,0.4,-3.6,-3.1,-0.5,0.020035295338939,0.505,0.541,0.127,-0.2,-0.1,L (-4),L (-4)
12.0,,2022-11-11,19-174,OKC,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,81.0,4.764705882352941,0.0,89.4,5.258823529411765,9.3,0.4,-3.6,-3.1,-0.5,0.020035295338939,0.505,0.541,0.127,-0.2,-0.1,W (+19),W (+19)
13.0,,2022-11-13,19-176,OKC,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,94.0,5.529411764705882,0.0,108.79999999999995,6.399999999999998,9.3,0.4,-3.6,-3.1,-0.5,0.020035295338939,0.505,0.541,0.127,-0.2,-0.1,W (+10),W (+10)
14.0,,2022-11-14,19-177,OKC,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,67.0,3.941176470588236,0.0,78.60000000000001,4.623529411764706,9.3,0.4,-3.6,-3.1,-0.5,0.020035295338939,0.505,0.541,0.127,-0.2,-0.1,L (-4),L (-4)
15.0,,2022-11-16,19-179,OKC,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,75.0,4.411764705882353,0.0,91.4,5.376470588235295,9.3,0.4,-3.6,-3.1,-0.5,0.020035295338939,0.505,0.541,0.127,-0.2,-0.1,W (+1),W (+1)
16.0,,2022-11-18,19-181,OKC,MEM,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,81.0,4.764705882352941,0.0,83.39999999999998,4.905882352941175,9.3,0.4,-3.6,-3.1,-0.5,0.020035295338939,0.505,0.541,0.127,-0.2,-0.1,L (-11),L (-11)
17.0,,2022-11-21,19-184,OKC,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,55.0,3.235294117647059,0.0,75.4,4.435294117647059,9.3,0.4,-3.6,-3.1,-0.5,0.020035295338939,0.505,0.541,0.127,-0.2,-0.1,L (-10),L (-10)
18.0,,2022-11-23,19-186,OKC,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,68.0,4.0,0.0,88.7,5.2176470588235295,9.3,0.4,-3.6,-3.1,-0.5,0.020035295338939,0.505,0.541,0.127,-0.2,-0.1,L (-5),L (-5)
19.0,,2022-11-25,19-188,OKC,CHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,59.0,3.4705882352941178,0.0,73.0,4.294117647058823,9.3,0.4,-3.6,-3.1,-0.5,0.020035295338939,0.505,0.541,0.127,-0.2,-0.1,W (+4),W (+4)
20.0,10.0,2022-11-26,19-189,OKC,HOU,0,21.15,0.0,4.0,.000,0.0,4.0,.000,0,0.0,,1.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,-1.1,-6,0.0,0.0,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,0.0,54.0,3.176470588235294,-1.1,70.30000000000001,4.135294117647059,9.3,0.4,-3.6,-3.1,-0.5,0.020035295338939,0.505,0.541,0.127,-0.2,-0.1,L (-13),L (-13)
21.0,11.0,2022-11-28,19-191,OKC,NOP,0,11.383333333333333,2.0,4.0,.500,2.0,3.0,.667,0,0.0,,0.0,3.0,3.0,0.0,1.0,2.0,1.0,2.0,6.0,5.5,-1,1.0,0.0,0.0,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,7.0,38.0,2.235294117647059,5.5,54.299999999999976,3.194117647058822,9.3,0.4,-3.6,-3.1,-0.5,0.020035295338939,0.505,0.541,0.127,-0.2,-0.1,,
22.0,12.0,2022-11-30,19-193,OKC,SAS,0,22.65,5.0,6.0,.833,0.0,1.0,.000,0,2.0,.000,0.0,7.0,7.0,1.0,0.0,0.0,0.0,2.0,10.0,9.0,+7,5.0,5.0,1.0,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,10.0,64.0,3.764705882352941,8.999999999999998,77.89999999999999,4.58235294117647,9.3,0.4,-3.6,-3.1,-0.5,0.020035295338939,0.505,0.541,0.127,-0.2,-0.1,L (-4),L (-4)
23.0,13.0,2022-12-03,19-196,OKC,MIN,0,11.066666666666666,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.6,+2,1.0,0.0,0.0,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,4.0,75.0,4.411764705882353,2.6,104.9,6.170588235294118,9.3,0.4,-3.6,-3.1,-0.5,0.020035295338939,0.505,0.541,0.127,-0.2,-0.1,W (+8),W (+8)
24.0,14.0,2022-12-05,19-198,OKC,ATL,0,18.58333333333333,6.0,8.0,.750,3.0,4.0,.750,0,0.0,,2.0,3.0,5.0,1.0,1.0,0.0,2.0,3.0,15.0,12.6,-1,4.0,3.0,0.75,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,12.0,56.0,3.294117647058824,12.599999999999994,68.8,4.047058823529412,9.3,0.4,-3.6,-3.1,-0.5,0.020035295338939,0.505,0.541,0.127,-0.2,-0.1,W (+7),W (+7)
25.0,,2022-12-07,19-200,OKC,MEM,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,34,15,18,4,33,32,25,24,36,17,17,34,14,31,30,70.0,34.0,,43.0,40.0,73.0,75.0,6.0,49.0,43.0,76.0,53.0,41.0,74.0,63.0,68.0,67.0,0.4857142857142857,0.4411764705882353,,0.4186046511627907,0.1,0.4520547945205479,0.4266666666666667,0.0,0.5102040816326531,0.5581395348837209,0.4736842105263157,0.320754716981132,0.4146341463414634,0.4594594594594595,0.2222222222222222,0.4558823529411764,0.4477611940298507,15,1,,57.0,9.0,,0.2631578947368421,0.1111111111111111,17,,43.0,2.5294117647058822,0.0,53.39999999999999,3.141176470588235,9.3,0.4,-3.6,-3.1,-0.5,0.020035295338939,0.505,0.541,0.127,-0.2,-0.1,W (+7),W (+7)
