Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Brandon Boston Jr.,Shared Games with Ivica Zubac,Shared Games with Jason Preston,Shared Games with John Wall,Shared Games with Kawhi Leonard,Shared Games with Luke Kennard,Shared Games with Marcus Morris,Shared Games with Moses Brown,Shared Games with Moussa Diabaté,Shared Games with Nicolas Batum,Shared Games with Norman Powell,Shared Games with Paul George,Shared Games with Reggie Jackson,Shared Games with Robert Covington,Shared Games with Terance Mann,Brandon Boston Jr.,Ivica Zubac,Jason Preston,John Wall,Kawhi Leonard,Luke Kennard,Marcus Morris,Moses Brown,Moussa Diabaté,Nicolas Batum,Norman Powell,Paul George,Reggie Jackson,Robert Covington,Terance Mann,Xavier Moon,co_inf with Brandon Boston Jr.,co_inf with Ivica Zubac,co_inf with Jason Preston,co_inf with John Wall,co_inf with Kawhi Leonard,co_inf with Luke Kennard,co_inf with Marcus Morris,co_inf with Moses Brown,co_inf with Moussa Diabaté,co_inf with Nicolas Batum,co_inf with Norman Powell,co_inf with Paul George,co_inf with Reggie Jackson,co_inf with Robert Covington,co_inf with Terance Mann,co_inf with Xavier Moon,Shared Games with Mason Plumlee,Shared Games with Bones Hyland,Shared Games with Eric Gordon,Shared Games with Russell Westbrook,Bones Hyland,Eric Gordon,Justin Holiday,Mason Plumlee,Russell Westbrook,co_inf with Mason Plumlee,co_inf with Bones Hyland,co_inf with Eric Gordon,co_inf with Justin Holiday,co_inf with Russell Westbrook,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,,2022-11-07,25-143,LAC,CLE,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,,84.0,4.421052631578948,0.0,111.6,5.873684210526315,7.0,0.4,-5.0,-4.3,-0.7,0.0184668241357096,0.498,0.276,0.434,-0.5,0.1,W (+2),W (+2)
12.0,10.0,2022-11-09,25-145,LAC,LAL,0,0.7166666666666667,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,+2,0.0,0.0,,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,0.0,84.0,4.421052631578948,0.0,92.2,4.852631578947369,7.0,0.4,-5.0,-4.3,-0.7,0.0184668241357096,0.498,0.276,0.434,-0.5,0.1,W (+13),W (+13)
13.0,11.0,2022-11-12,25-148,LAC,BRK,0,2.35,1.0,2.0,.500,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,+1,2.0,1.0,0.5,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,0.0,69.0,3.631578947368421,1.0,71.59999999999998,3.768421052631578,7.0,0.4,-5.0,-4.3,-0.7,0.0184668241357096,0.498,0.276,0.434,-0.5,0.1,L (-15),L (-15)
14.0,12.0,2022-11-14,25-150,LAC,HOU,0,18.916666666666668,0.0,2.0,.000,0.0,0.0,,0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,-0.7,+8,2.0,0.0,0.0,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,0.0,79.0,4.157894736842105,-0.7000000000000003,91.09999999999998,4.794736842105262,7.0,0.4,-5.0,-4.3,-0.7,0.0184668241357096,0.498,0.276,0.434,-0.5,0.1,W (+16),W (+16)
15.0,13.0,2022-11-15,25-151,LAC,DAL,0,10.35,0.0,0.0,,0.0,0.0,,2,2.0,1.000,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,2.0,-0.3,0,0.0,0.0,,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,0.0,85.0,4.473684210526316,-1.1,93.7,4.931578947368421,7.0,0.4,-5.0,-4.3,-0.7,0.0184668241357096,0.498,0.276,0.434,-0.5,0.1,L (-2),L (-2)
16.0,,2022-11-17,25-153,LAC,DET,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,,70.0,3.684210526315789,0.0,95.3,5.015789473684211,7.0,0.4,-5.0,-4.3,-0.7,0.0184668241357096,0.498,0.276,0.434,-0.5,0.1,W (+5),W (+5)
17.0,14.0,2022-11-19,25-155,LAC,SAS,0,7.933333333333334,1.0,3.0,.333,0.0,0.0,,1,2.0,.500,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.2,-5,3.0,1.0,0.3333333333333333,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,-1.0,60.0,3.1578947368421053,0.7999999999999999,72.5,3.8157894736842106,7.0,0.4,-5.0,-4.3,-0.7,0.0184668241357096,0.498,0.276,0.434,-0.5,0.1,W (+22),W (+22)
18.0,15.0,2022-11-21,25-157,LAC,UTA,0,21.866666666666667,3.0,7.0,.429,0.0,1.0,.000,2,2.0,1.000,3.0,2.0,5.0,0.0,1.0,0.0,0.0,2.0,8.0,7.2,+14,6.0,3.0,0.5,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,5.0,56.0,2.9473684210526314,6.4,64.8,3.4105263157894736,7.0,0.4,-5.0,-4.3,-0.7,0.0184668241357096,0.498,0.276,0.434,-0.5,0.1,W (+7),W (+7)
19.0,16.0,2022-11-23,25-159,LAC,GSW,1,35.916666666666664,5.0,7.0,.714,0.0,1.0,.000,3,4.0,.750,1.0,2.0,3.0,7.0,0.0,0.0,2.0,2.0,13.0,13.1,-5,6.0,5.0,0.8333333333333334,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,10.0,69.0,3.631578947368421,11.9,82.6,4.347368421052631,7.0,0.4,-5.0,-4.3,-0.7,0.0184668241357096,0.498,0.276,0.434,-0.5,0.1,L (-17),L (-17)
20.0,17.0,2022-11-25,25-161,LAC,DEN,1,24.8,3.0,6.0,.500,2.0,4.0,.500,1,2.0,.500,1.0,1.0,2.0,3.0,0.0,0.0,1.0,2.0,9.0,6.9,-7,2.0,1.0,0.5,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,5.0,48.0,2.526315789473684,6.499999999999999,56.1,2.9526315789473685,7.0,0.4,-5.0,-4.3,-0.7,0.0184668241357096,0.498,0.276,0.434,-0.5,0.1,L (-10),L (-10)
21.0,18.0,2022-11-27,25-163,LAC,IND,1,28.05,3.0,8.0,.375,0.0,2.0,.000,2,2.0,1.000,0.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,8.0,6.7,+7,6.0,3.0,0.5,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,3.0,89.0,4.684210526315789,5.9,81.49999999999999,4.289473684210526,7.0,0.4,-5.0,-4.3,-0.7,0.0184668241357096,0.498,0.276,0.434,-0.5,0.1,,
22.0,19.0,2022-11-29,25-165,LAC,POR,1,24.6,2.0,7.0,.286,0.0,2.0,.000,3,4.0,.750,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,7.0,2.8,-13,5.0,2.0,0.4,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,-2.0,90.0,4.7368421052631575,1.6000000000000003,104.2,5.484210526315789,7.0,0.4,-5.0,-4.3,-0.7,0.0184668241357096,0.498,0.276,0.434,-0.5,0.1,W (+14),W (+14)
23.0,20.0,2022-11-30,25-166,LAC,UTA,1,19.45,1.0,4.0,.250,1.0,3.0,.333,2,2.0,1.000,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,5.0,2.5,-16,1.0,0.0,0.0,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,1.0,53.0,2.789473684210526,1.700000000000001,67.39999999999998,3.54736842105263,7.0,0.4,-5.0,-4.3,-0.7,0.0184668241357096,0.498,0.276,0.434,-0.5,0.1,W (+6),W (+6)
24.0,21.0,2022-12-03,25-169,LAC,SAC,1,33.11666666666667,1.0,5.0,.200,0.0,1.0,.000,1,1.0,1.000,0.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,3.0,-0.4,-20,4.0,1.0,0.25,20,45,14,24,25,22,39,28,19,47,37,30,34,33,50,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,60.0,56.0,68.0,48.0,81.0,4.0,0.9090909090909092,0.5921052631578947,1.0,0.7058823529411765,0.4807692307692308,0.3728813559322034,0.6,0.7777777777777778,0.8636363636363636,0.6025641025641025,0.6166666666666667,0.5357142857142857,0.5,0.6875,0.6172839506172839,0.0,11,6,10,10,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1071428571428571,0.144927536231884,0.0,0.136986301369863,19,0.0,83.0,4.368421052631579,-0.7999999999999999,89.3,4.7,7.0,0.4,-5.0,-4.3,-0.7,0.0184668241357096,0.498,0.276,0.434,-0.5,0.1,L (-13),L (-13)
