Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Amir Coffey,Shared Games with Brandon Boston Jr.,Shared Games with Ivica Zubac,Shared Games with Jason Preston,Shared Games with John Wall,Shared Games with Kawhi Leonard,Shared Games with Luke Kennard,Shared Games with Marcus Morris,Shared Games with Moses Brown,Shared Games with Moussa Diabaté,Shared Games with Norman Powell,Shared Games with Paul George,Shared Games with Reggie Jackson,Shared Games with Robert Covington,Shared Games with Terance Mann,Amir Coffey,Brandon Boston Jr.,Ivica Zubac,Jason Preston,John Wall,Kawhi Leonard,Luke Kennard,Marcus Morris,Moses Brown,Moussa Diabaté,Norman Powell,Paul George,Reggie Jackson,Robert Covington,Terance Mann,Xavier Moon,co_inf with Amir Coffey,co_inf with Brandon Boston Jr.,co_inf with Ivica Zubac,co_inf with Jason Preston,co_inf with John Wall,co_inf with Kawhi Leonard,co_inf with Luke Kennard,co_inf with Marcus Morris,co_inf with Moses Brown,co_inf with Moussa Diabaté,co_inf with Norman Powell,co_inf with Paul George,co_inf with Reggie Jackson,co_inf with Robert Covington,co_inf with Terance Mann,co_inf with Xavier Moon,Shared Games with Mason Plumlee,Shared Games with Bones Hyland,Shared Games with Eric Gordon,Shared Games with Russell Westbrook,Bones Hyland,Eric Gordon,Justin Holiday,Mason Plumlee,Russell Westbrook,co_inf with Mason Plumlee,co_inf with Bones Hyland,co_inf with Eric Gordon,co_inf with Justin Holiday,co_inf with Russell Westbrook,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
24.0,24.0,2022-12-03,33-354,LAC,SAC,0,11.3,0.0,3.0,.000,0.0,2.0,.000,0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.2,-8,1.0,0.0,0.0,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,0.0,83.0,4.368421052631579,-1.1999999999999995,89.69999999999999,4.721052631578947,11.0,3.6,0.5,-0.8,1.2,0.0513205926562164,0.594,0.832,0.126,1.0,1.7,L (-13),L (-13)
25.0,25.0,2022-12-05,33-356,LAC,CHO,0,20.4,4.0,6.0,.667,4.0,6.0,.667,1,3.0,.333,0.0,5.0,5.0,1.0,2.0,0.0,0.0,0.0,13.0,13.8,+23,0.0,0.0,,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,12.0,85.0,4.473684210526316,13.400000000000002,93.5,4.921052631578948,11.0,3.6,0.5,-0.8,1.2,0.0513205926562164,0.594,0.832,0.126,1.0,1.7,L (-27),L (-27)
26.0,26.0,2022-12-07,33-358,LAC,ORL,1,37.91666666666666,6.0,11.0,.545,4.0,9.0,.444,0,0.0,,2.0,2.0,4.0,5.0,0.0,0.0,0.0,2.0,16.0,15.4,+13,2.0,2.0,1.0,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,14.0,78.0,4.105263157894737,15.4,84.7,4.457894736842105,11.0,3.6,0.5,-0.8,1.2,0.0513205926562164,0.594,0.832,0.126,1.0,1.7,W (+2),W (+2)
27.0,27.0,2022-12-08,33-359,LAC,MIA,1,31.83333333333333,4.0,8.0,.500,3.0,7.0,.429,0,1.0,.000,3.0,2.0,5.0,2.0,1.0,1.0,1.0,2.0,11.0,10.6,-10,1.0,1.0,1.0,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,10.0,85.0,4.473684210526316,10.599999999999994,88.9,4.678947368421053,11.0,3.6,0.5,-0.8,1.2,0.0513205926562164,0.594,0.832,0.126,1.0,1.7,L (-5),L (-5)
28.0,28.0,2022-12-10,33-361,LAC,WAS,0,32.53333333333333,4.0,12.0,.333,4.0,10.0,.400,0,0.0,,3.0,3.0,6.0,1.0,0.0,2.0,0.0,2.0,12.0,9.5,+19,2.0,0.0,0.0,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,9.0,87.0,4.578947368421052,9.499999999999996,94.6,4.978947368421053,11.0,3.6,0.5,-0.8,1.2,0.0513205926562164,0.594,0.832,0.126,1.0,1.7,L (-5),L (-5)
29.0,29.0,2022-12-12,33-363,LAC,BOS,0,26.78333333333333,2.0,2.0,1.000,1.0,1.0,1.000,2,2.0,1.000,2.0,5.0,7.0,0.0,2.0,0.0,1.0,5.0,7.0,8.3,+3,1.0,1.0,1.0,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,11.0,68.0,3.5789473684210527,7.499999999999998,79.10000000000001,4.163157894736843,11.0,3.6,0.5,-0.8,1.2,0.0513205926562164,0.594,0.832,0.126,1.0,1.7,W (+7),W (+7)
30.0,30.0,2022-12-14,34-000,LAC,MIN,0,30.73333333333333,5.0,9.0,.556,3.0,7.0,.429,0,0.0,,1.0,6.0,7.0,2.0,2.0,0.0,1.0,1.0,13.0,13.2,+30,2.0,2.0,1.0,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,14.0,39.0,2.0526315789473686,13.199999999999998,48.400000000000006,2.547368421052632,11.0,3.6,0.5,-0.8,1.2,0.0513205926562164,0.594,0.832,0.126,1.0,1.7,W (+20),W (+20)
31.0,31.0,2022-12-15,34-001,LAC,PHO,0,10.133333333333333,1.0,2.0,.500,1.0,2.0,.500,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,-11,0.0,0.0,,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,2.0,57.0,3.0,2.0,68.5,3.6052631578947367,11.0,3.6,0.5,-0.8,1.2,0.0513205926562164,0.594,0.832,0.126,1.0,1.7,W (+11),W (+11)
32.0,32.0,2022-12-17,34-003,LAC,WAS,1,33.3,3.0,7.0,.429,2.0,4.0,.500,0,0.0,,2.0,5.0,7.0,0.0,0.0,1.0,0.0,3.0,8.0,6.7,+7,3.0,1.0,0.3333333333333333,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,9.0,50.0,2.631578947368421,6.699999999999999,66.99999999999999,3.526315789473684,11.0,3.6,0.5,-0.8,1.2,0.0513205926562164,0.594,0.832,0.126,1.0,1.7,L (-16),L (-16)
33.0,33.0,2022-12-21,34-007,LAC,CHO,0,20.45,7.0,10.0,.700,7.0,10.0,.700,0,0.0,,0.0,7.0,7.0,2.0,1.0,0.0,2.0,1.0,21.0,18.9,+19,0.0,0.0,,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,19.0,79.0,4.157894736842105,18.9,86.4,4.547368421052632,11.0,3.6,0.5,-0.8,1.2,0.0513205926562164,0.594,0.832,0.126,1.0,1.7,W (+9),W (+9)
34.0,34.0,2022-12-23,34-009,LAC,PHI,0,25.33333333333333,3.0,5.0,.600,2.0,4.0,.500,2,2.0,1.000,1.0,1.0,2.0,1.0,0.0,3.0,1.0,4.0,10.0,8.9,-3,1.0,1.0,1.0,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,8.0,110.0,5.789473684210527,8.099999999999998,122.5,6.447368421052632,11.0,3.6,0.5,-0.8,1.2,0.0513205926562164,0.594,0.832,0.126,1.0,1.7,W (+21),W (+21)
35.0,35.0,2022-12-26,34-012,LAC,DET,1,31.4,2.0,8.0,.250,2.0,6.0,.333,1,2.0,.500,1.0,5.0,6.0,0.0,2.0,2.0,1.0,1.0,7.0,6.0,+23,2.0,0.0,0.0,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,6.0,81.0,4.2631578947368425,5.6000000000000005,95.40000000000002,5.021052631578948,11.0,3.6,0.5,-0.8,1.2,0.0513205926562164,0.594,0.832,0.126,1.0,1.7,L (-5),L (-5)
36.0,36.0,2022-12-27,34-013,LAC,TOR,0,27.116666666666667,3.0,8.0,.375,3.0,8.0,.375,0,0.0,,1.0,6.0,7.0,2.0,1.0,1.0,0.0,2.0,9.0,9.4,-2,0.0,0.0,,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,12.0,98.0,5.157894736842105,9.4,119.0,6.2631578947368425,11.0,3.6,0.5,-0.8,1.2,0.0513205926562164,0.594,0.832,0.126,1.0,1.7,W (+11),W (+11)
37.0,37.0,2022-12-29,34-015,LAC,BOS,0,8.033333333333333,0.0,2.0,.000,0.0,2.0,.000,0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,-1.2,-7,0.0,0.0,,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,1.0,97.0,5.105263157894737,-1.2,113.90000000000002,5.994736842105264,11.0,3.6,0.5,-0.8,1.2,0.0513205926562164,0.594,0.832,0.126,1.0,1.7,W (+11),W (+11)
38.0,,2022-12-31,34-017,LAC,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,,99.0,5.2105263157894735,0.0,128.49999999999997,6.763157894736841,11.0,3.6,0.5,-0.8,1.2,0.0513205926562164,0.594,0.832,0.126,1.0,1.7,L (-6),L (-6)
39.0,38.0,2023-01-02,34-019,LAC,MIA,0,23.466666666666665,3.0,7.0,.429,1.0,4.0,.250,0,0.0,,1.0,4.0,5.0,1.0,1.0,0.0,1.0,3.0,7.0,4.7,-13,3.0,2.0,0.6666666666666666,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,6.0,76.0,4.0,4.6999999999999975,83.5,4.394736842105263,11.0,3.6,0.5,-0.8,1.2,0.0513205926562164,0.594,0.832,0.126,1.0,1.7,L (-1),L (-1)
40.0,,2023-01-05,34-022,LAC,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,,88.0,4.631578947368421,0.0,108.2,5.694736842105264,11.0,3.6,0.5,-0.8,1.2,0.0513205926562164,0.594,0.832,0.126,1.0,1.7,L (-10),L (-10)
41.0,,2023-01-06,34-023,LAC,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,,75.0,3.947368421052632,0.0,109.59999999999998,5.768421052631578,11.0,3.6,0.5,-0.8,1.2,0.0513205926562164,0.594,0.832,0.126,1.0,1.7,L (-31),L (-31)
42.0,39.0,2023-01-08,34-025,LAC,ATL,1,28.78333333333333,2.0,6.0,.333,1.0,5.0,.200,1,2.0,.500,1.0,4.0,5.0,3.0,0.0,1.0,2.0,5.0,6.0,2.9,+9,1.0,1.0,1.0,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,5.0,81.0,4.2631578947368425,2.499999999999999,114.1,6.005263157894737,11.0,3.6,0.5,-0.8,1.2,0.0513205926562164,0.594,0.832,0.126,1.0,1.7,,
43.0,40.0,2023-01-10,34-027,LAC,DAL,1,31.766666666666666,1.0,8.0,.125,1.0,6.0,.167,2,2.0,1.000,2.0,4.0,6.0,2.0,1.0,0.0,0.0,2.0,5.0,4.0,+7,2.0,0.0,0.0,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,4.0,119.0,6.2631578947368425,3.200000000000001,137.4,7.231578947368422,11.0,3.6,0.5,-0.8,1.2,0.0513205926562164,0.594,0.832,0.126,1.0,1.7,L (-13),L (-13)
44.0,41.0,2023-01-13,34-030,LAC,DEN,1,26.85,1.0,5.0,.200,1.0,5.0,.200,0,0.0,,1.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,3.0,2.2,-14,0.0,0.0,,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,2.0,71.0,3.736842105263158,2.2,97.5,5.131578947368421,11.0,3.6,0.5,-0.8,1.2,0.0513205926562164,0.594,0.832,0.126,1.0,1.7,L (-4),L (-4)
45.0,42.0,2023-01-15,34-032,LAC,HOU,1,27.666666666666668,2.0,7.0,.286,1.0,5.0,.200,0,0.0,,1.0,4.0,5.0,3.0,2.0,1.0,0.0,2.0,5.0,6.8,+7,2.0,1.0,0.5,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,9.0,94.0,4.947368421052632,6.799999999999999,125.8,6.621052631578947,11.0,3.6,0.5,-0.8,1.2,0.0513205926562164,0.594,0.832,0.126,1.0,1.7,W (+12),W (+12)
46.0,43.0,2023-01-17,34-034,LAC,PHI,0,19.883333333333333,3.0,5.0,.600,2.0,4.0,.500,0,0.0,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,8.0,4.5,-15,1.0,1.0,1.0,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,4.0,73.0,3.842105263157895,4.499999999999998,105.3,5.542105263157895,11.0,3.6,0.5,-0.8,1.2,0.0513205926562164,0.594,0.832,0.126,1.0,1.7,L (-12),L (-12)
47.0,44.0,2023-01-18,34-035,LAC,UTA,1,23.3,4.0,5.0,.800,3.0,4.0,.750,0,0.0,,2.0,3.0,5.0,1.0,0.0,0.0,0.0,2.0,11.0,11.3,-6,1.0,1.0,1.0,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,12.0,73.0,3.842105263157895,11.3,85.2,4.484210526315789,11.0,3.6,0.5,-0.8,1.2,0.0513205926562164,0.594,0.832,0.126,1.0,1.7,W (+21),W (+21)
48.0,45.0,2023-01-20,34-037,LAC,SAS,0,22.3,1.0,3.0,.333,1.0,3.0,.333,0,0.0,,0.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,3.0,2.2,+6,0.0,0.0,,47,19,72,11,32,50,32,61,32,21,56,53,49,44,77,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,60.0,56.0,68.0,48.0,81.0,4.0,0.94,0.8636363636363636,0.9473684210526316,0.7857142857142857,0.9411764705882352,0.9615384615384616,0.5423728813559322,0.9384615384615383,0.8888888888888888,0.9545454545454546,0.9333333333333332,0.9464285714285714,0.7205882352941176,0.9166666666666666,0.9506172839506172,0.0,22,13,21,21,56.0,69.0,46.0,79.0,73.0,0.2784810126582278,0.2321428571428571,0.3043478260869565,0.0,0.2876712328767123,19,4.0,98.0,5.157894736842105,2.200000000000001,134.4,7.0736842105263165,11.0,3.6,0.5,-0.8,1.2,0.0513205926562164,0.594,0.832,0.126,1.0,1.7,L (-10),L (-10)
