Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with A.J. Green,Shared Games with Bobby Portis,Shared Games with Brook Lopez,Shared Games with George Hill,Shared Games with Grayson Allen,Shared Games with Jevon Carter,Shared Games with Joe Ingles,Shared Games with Jordan Nwora,Shared Games with Jrue Holiday,Shared Games with Khris Middleton,Shared Games with MarJon Beauchamp,Shared Games with Meyers Leonard,Shared Games with Pat Connaughton,Shared Games with Sandro Mamukelashvili,Shared Games with Serge Ibaka,Shared Games with Thanasis Antetokounmpo,Shared Games with Wesley Matthews,A.J. Green,Bobby Portis,Brook Lopez,George Hill,Grayson Allen,Jevon Carter,Joe Ingles,Jordan Nwora,Jrue Holiday,Khris Middleton,Lindell Wigginton,MarJon Beauchamp,Meyers Leonard,Pat Connaughton,Sandro Mamukelashvili,Serge Ibaka,Thanasis Antetokounmpo,Wesley Matthews,co_inf with A.J. Green,co_inf with Bobby Portis,co_inf with Brook Lopez,co_inf with George Hill,co_inf with Grayson Allen,co_inf with Jevon Carter,co_inf with Joe Ingles,co_inf with Jordan Nwora,co_inf with Jrue Holiday,co_inf with Khris Middleton,co_inf with Lindell Wigginton,co_inf with MarJon Beauchamp,co_inf with Meyers Leonard,co_inf with Pat Connaughton,co_inf with Sandro Mamukelashvili,co_inf with Serge Ibaka,co_inf with Thanasis Antetokounmpo,co_inf with Wesley Matthews,Shared Games with Goran Dragić,Shared Games with Jae Crowder,Goran Dragić,Jae Crowder,Tyrese Martin,co_inf with Goran Dragić,co_inf with Jae Crowder,co_inf with Tyrese Martin,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
24.0,20.0,2022-12-07,28-001,MIL,SAC,1.0,32.71666666666667,12.0,19.0,0.632,2.0,2.0,1.0,9.0,10.0,0.9,1.0,5.0,6.0,7.0,1.0,0.0,3.0,4.0,35.0,29.6,11.0,17.0,10.0,0.5882352941176471,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,17.0,84.0,4.421052631578948,26.0,88.70000000000002,4.66842105263158,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,W (+7),W (+7)
25.0,21.0,2022-12-09,28-003,MIL,DAL,1.0,35.13333333333333,10.0,20.0,0.5,1.0,1.0,1.0,7.0,10.0,0.7,4.0,6.0,10.0,3.0,1.0,0.0,7.0,6.0,28.0,15.1,-2.0,19.0,9.0,0.4736842105263157,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,5.0,62.0,3.263157894736842,12.299999999999995,67.4,3.547368421052632,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,W (+13),W (+13)
26.0,22.0,2022-12-11,28-005,MIL,HOU,1.0,36.766666666666666,7.0,17.0,0.412,0.0,2.0,0.0,2.0,6.0,0.333,1.0,17.0,18.0,4.0,1.0,2.0,3.0,5.0,16.0,11.3,-11.0,15.0,7.0,0.4666666666666667,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,15.0,33.0,1.736842105263158,10.500000000000002,46.5,2.4473684210526314,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,W (+1),W (+1)
27.0,23.0,2022-12-13,28-007,MIL,GSW,1.0,29.866666666666667,9.0,26.0,0.346,1.0,6.0,0.167,11.0,17.0,0.647,3.0,9.0,12.0,5.0,1.0,1.0,4.0,4.0,30.0,17.4,17.0,20.0,8.0,0.4,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,2.0,74.0,3.8947368421052633,13.000000000000009,82.00000000000001,4.315789473684212,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,L (-5),L (-5)
28.0,24.0,2022-12-15,28-009,MIL,MEM,1.0,25.6,5.0,13.0,0.385,1.0,3.0,0.333,8.0,13.0,0.615,1.0,5.0,6.0,5.0,1.0,0.0,1.0,2.0,19.0,14.8,-29.0,10.0,4.0,0.4,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,4.0,24.0,1.263157894736842,11.6,42.29999999999999,2.226315789473684,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,W (+17),W (+17)
29.0,,2022-12-17,28-011,MIL,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,,81.0,4.2631578947368425,0.0,93.6,4.926315789473684,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,L (-41),L (-41)
30.0,25.0,2022-12-19,28-013,MIL,NOP,1.0,33.93333333333333,12.0,17.0,0.706,1.0,3.0,0.333,17.0,22.0,0.773,1.0,9.0,10.0,1.0,0.0,1.0,2.0,4.0,42.0,34.1,1.0,14.0,11.0,0.7857142857142857,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,13.0,74.0,3.8947368421052633,27.300000000000008,73.29999999999998,3.857894736842104,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,W (+26),W (+26)
31.0,26.0,2022-12-21,28-015,MIL,CLE,1.0,39.6,17.0,27.0,0.63,0.0,1.0,0.0,11.0,16.0,0.688,4.0,10.0,14.0,4.0,1.0,2.0,5.0,4.0,45.0,35.3,3.0,26.0,17.0,0.6538461538461539,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,18.0,42.0,2.210526315789474,30.89999999999999,39.1,2.057894736842105,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,W (+9),W (+9)
32.0,27.0,2022-12-23,28-017,MIL,BRK,1.0,35.88333333333333,9.0,13.0,0.692,0.0,1.0,0.0,8.0,11.0,0.727,3.0,10.0,13.0,7.0,2.0,0.0,7.0,3.0,26.0,23.1,-20.0,12.0,9.0,0.75,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,17.0,30.0,1.5789473684210529,19.9,45.99999999999999,2.421052631578947,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,L (-8),L (-8)
33.0,28.0,2022-12-25,28-019,MIL,BOS,1.0,35.31666666666667,9.0,22.0,0.409,1.0,5.0,0.2,8.0,12.0,0.667,1.0,8.0,9.0,3.0,0.0,0.0,3.0,3.0,27.0,14.6,-27.0,17.0,8.0,0.4705882352941176,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,2.0,63.0,3.3157894736842106,11.400000000000006,77.59999999999998,4.084210526315789,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,L (-18),L (-18)
34.0,29.0,2022-12-28,28-022,MIL,CHI,1.0,42.25,17.0,39.0,0.436,0.0,3.0,0.0,11.0,17.0,0.647,7.0,15.0,22.0,7.0,1.0,0.0,5.0,5.0,45.0,30.4,-10.0,36.0,17.0,0.4722222222222222,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,14.0,34.0,1.7894736842105263,26.0,42.000000000000014,2.2105263157894743,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,L (-21),L (-21)
35.0,30.0,2022-12-30,28-024,MIL,MIN,1.0,37.833333333333336,14.0,23.0,0.609,1.0,1.0,1.0,14.0,21.0,0.667,3.0,17.0,20.0,5.0,1.0,2.0,5.0,3.0,43.0,36.6,9.0,22.0,13.0,0.5909090909090909,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,22.0,60.0,3.1578947368421053,31.000000000000007,56.80000000000001,2.9894736842105267,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,L (-6),L (-6)
36.0,,2023-01-01,28-026,MIL,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,,44.0,2.3157894736842106,0.0,55.99999999999999,2.9473684210526314,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,W (+9),W (+9)
37.0,31.0,2023-01-03,28-028,MIL,WAS,1.0,36.56666666666667,20.0,33.0,0.606,0.0,3.0,0.0,15.0,16.0,0.938,2.0,8.0,10.0,7.0,2.0,0.0,5.0,3.0,55.0,44.0,25.0,30.0,20.0,0.6666666666666666,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,20.0,64.0,3.3684210526315788,38.00000000000002,62.6,3.294736842105263,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,L (-23),L (-23)
38.0,32.0,2023-01-04,28-029,MIL,TOR,1.0,39.7,7.0,18.0,0.389,1.0,3.0,0.333,15.0,21.0,0.714,2.0,19.0,21.0,10.0,0.0,1.0,12.0,4.0,30.0,19.0,20.0,15.0,6.0,0.4,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,11.0,60.0,3.1578947368421053,13.0,52.2,2.747368421052632,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,W (+10),W (+10)
39.0,33.0,2023-01-06,28-031,MIL,CHO,1.0,21.966666666666665,2.0,7.0,0.286,0.0,2.0,0.0,5.0,11.0,0.455,2.0,2.0,4.0,0.0,0.0,0.0,3.0,2.0,9.0,0.7,-21.0,5.0,2.0,0.4,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,-8.0,60.0,3.1578947368421053,-1.2999999999999992,70.29999999999998,3.6999999999999993,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,W (+3),W (+3)
40.0,34.0,2023-01-09,28-034,MIL,NYK,1.0,36.41666666666666,6.0,15.0,0.4,1.0,3.0,0.333,9.0,12.0,0.75,4.0,6.0,10.0,5.0,0.0,2.0,4.0,2.0,22.0,17.4,9.0,12.0,5.0,0.4166666666666667,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,8.0,70.0,3.684210526315789,13.799999999999995,72.1,3.794736842105263,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,L (-29),L (-29)
41.0,35.0,2023-01-11,28-036,MIL,ATL,1.0,34.95,3.0,10.0,0.3,0.0,0.0,,1.0,4.0,0.25,2.0,16.0,18.0,10.0,0.0,1.0,1.0,5.0,7.0,10.9,15.0,10.0,3.0,0.3,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,21.0,69.0,3.631578947368421,10.499999999999998,83.1,4.373684210526315,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,W (+4),W (+4)
42.0,,2023-01-12,28-037,MIL,MIA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,,46.0,2.421052631578948,0.0,62.1,3.268421052631579,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,,
43.0,,2023-01-14,28-039,MIL,MIA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,,60.0,3.1578947368421053,0.0,71.8,3.778947368421053,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,W (+9),W (+9)
44.0,,2023-01-16,28-041,MIL,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,,73.0,3.842105263157895,0.0,87.3,4.594736842105263,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,L (-6),L (-6)
45.0,,2023-01-17,28-042,MIL,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,,87.0,4.578947368421052,0.0,98.4,5.178947368421053,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,L (-16),L (-16)
46.0,,2023-01-21,28-046,MIL,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,,51.0,2.6842105263157894,0.0,60.7,3.194736842105263,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,W (+13),W (+13)
47.0,36.0,2023-01-23,28-048,MIL,DET,1.0,26.516666666666666,8.0,15.0,0.533,2.0,4.0,0.5,11.0,17.0,0.647,1.0,11.0,12.0,4.0,0.0,0.0,4.0,1.0,29.0,21.7,26.0,11.0,6.0,0.5454545454545454,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,9.0,100.0,5.2631578947368425,17.3,105.79999999999998,5.568421052631578,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,W (+8),W (+8)
48.0,37.0,2023-01-25,28-050,MIL,DEN,1.0,30.8,9.0,15.0,0.6,0.0,0.0,,15.0,22.0,0.682,3.0,11.0,14.0,4.0,3.0,0.0,9.0,4.0,33.0,23.9,10.0,15.0,9.0,0.6,25,52,61,27,58,62,35,28,56,27,42,7,48,17,11,27,43,35.0,70.0,78.0,46.0,72.0,81.0,46.0,62.0,67.0,33.0,7.0,52.0,9.0,61.0,43.0,16.0,37.0,52.0,0.7142857142857143,0.7428571428571429,0.782051282051282,0.5869565217391305,0.8055555555555556,0.7654320987654321,0.7608695652173914,0.4516129032258064,0.835820895522388,0.8181818181818182,0.0,0.8076923076923077,0.7777777777777778,0.7868852459016393,0.3953488372093023,0.6875,0.7297297297297297,0.8269230769230769,4,10,58.0,18.0,16.0,0.0689655172413793,0.5555555555555556,0.0,19,8.0,51.0,2.6842105263157894,17.899999999999995,50.4,2.652631578947368,29.0,8.6,8.5,5.8,2.7,0.2042965898425279,0.605,0.134,0.604,5.4,4.9,L (-12),L (-12)
