Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Nesmith,Shared Games with Andrew Nembhard,Shared Games with Bennedict Mathurin,Shared Games with Buddy Hield,Shared Games with Goga Bitadze,Shared Games with Isaiah Jackson,Shared Games with Jalen Smith,Shared Games with James Johnson,Shared Games with Myles Turner,Shared Games with Oshae Brissett,Shared Games with T.J. McConnell,Shared Games with Terry Taylor,Shared Games with Trevelin Queen,Shared Games with Tyrese Haliburton,Aaron Nesmith,Andrew Nembhard,Bennedict Mathurin,Buddy Hield,Chris Duarte,Daniel Theis,Gabe York,Goga Bitadze,Isaiah Jackson,Jalen Smith,James Johnson,Myles Turner,Oshae Brissett,T.J. McConnell,Terry Taylor,Trevelin Queen,Tyrese Haliburton,co_inf with Aaron Nesmith,co_inf with Andrew Nembhard,co_inf with Bennedict Mathurin,co_inf with Buddy Hield,co_inf with Chris Duarte,co_inf with Daniel Theis,co_inf with Gabe York,co_inf with Goga Bitadze,co_inf with Isaiah Jackson,co_inf with Jalen Smith,co_inf with James Johnson,co_inf with Myles Turner,co_inf with Oshae Brissett,co_inf with T.J. McConnell,co_inf with Terry Taylor,co_inf with Trevelin Queen,co_inf with Tyrese Haliburton,George Hill,John Collins,Jordan Nwora,Serge Ibaka,co_inf with George Hill,co_inf with John Collins,co_inf with Jordan Nwora,co_inf with Serge Ibaka,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,,2022-11-09,19-182,IND,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6,4,6,6,3,5,5,1,5,6,4,4,2,4,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,62.0,65.0,75.0,31.0,7.0,56.0,0.0821917808219178,0.0533333333333333,0.0769230769230769,0.075,0.0,0.0,0.0,0.0789473684210526,0.0793650793650793,0.0735294117647058,0.0555555555555555,0.0806451612903225,0.0923076923076923,0.0533333333333333,0.1290322580645161,0.2857142857142857,0.0714285714285714,46.0,71.0,62.0,16.0,0.0,0.0,0.0,0.0,14,,101.0,7.214285714285714,0.0,86.5,6.178571428571429,9.1,0.1,-2.9,-7.0,4.0,0.0009438909281594,0.571,0.143,0.286,0.0,0.0,L (-3),L (-3)
12.0,,2022-11-12,19-185,IND,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6,4,6,6,3,5,5,1,5,6,4,4,2,4,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,62.0,65.0,75.0,31.0,7.0,56.0,0.0821917808219178,0.0533333333333333,0.0769230769230769,0.075,0.0,0.0,0.0,0.0789473684210526,0.0793650793650793,0.0735294117647058,0.0555555555555555,0.0806451612903225,0.0923076923076923,0.0533333333333333,0.1290322580645161,0.2857142857142857,0.0714285714285714,46.0,71.0,62.0,16.0,0.0,0.0,0.0,0.0,14,,96.0,6.857142857142857,0.0,88.6,6.328571428571428,9.1,0.1,-2.9,-7.0,4.0,0.0009438909281594,0.571,0.143,0.286,0.0,0.0,W (+14),W (+14)
13.0,,2022-11-16,19-189,IND,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6,4,6,6,3,5,5,1,5,6,4,4,2,4,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,62.0,65.0,75.0,31.0,7.0,56.0,0.0821917808219178,0.0533333333333333,0.0769230769230769,0.075,0.0,0.0,0.0,0.0789473684210526,0.0793650793650793,0.0735294117647058,0.0555555555555555,0.0806451612903225,0.0923076923076923,0.0533333333333333,0.1290322580645161,0.2857142857142857,0.0714285714285714,46.0,71.0,62.0,16.0,0.0,0.0,0.0,0.0,14,,103.0,7.357142857142857,0.0,102.8,7.3428571428571425,9.1,0.1,-2.9,-7.0,4.0,0.0009438909281594,0.571,0.143,0.286,0.0,0.0,W (+12),W (+12)
14.0,,2022-11-18,19-191,IND,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6,4,6,6,3,5,5,1,5,6,4,4,2,4,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,62.0,65.0,75.0,31.0,7.0,56.0,0.0821917808219178,0.0533333333333333,0.0769230769230769,0.075,0.0,0.0,0.0,0.0789473684210526,0.0793650793650793,0.0735294117647058,0.0555555555555555,0.0806451612903225,0.0923076923076923,0.0533333333333333,0.1290322580645161,0.2857142857142857,0.0714285714285714,46.0,71.0,62.0,16.0,0.0,0.0,0.0,0.0,14,,91.0,6.5,0.0,70.10000000000001,5.007142857142858,9.1,0.1,-2.9,-7.0,4.0,0.0009438909281594,0.571,0.143,0.286,0.0,0.0,W (+8),W (+8)
15.0,,2022-11-19,19-192,IND,ORL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6,4,6,6,3,5,5,1,5,6,4,4,2,4,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,62.0,65.0,75.0,31.0,7.0,56.0,0.0821917808219178,0.0533333333333333,0.0769230769230769,0.075,0.0,0.0,0.0,0.0789473684210526,0.0793650793650793,0.0735294117647058,0.0555555555555555,0.0806451612903225,0.0923076923076923,0.0533333333333333,0.1290322580645161,0.2857142857142857,0.0714285714285714,46.0,71.0,62.0,16.0,0.0,0.0,0.0,0.0,14,,82.0,5.857142857142857,0.0,80.8,5.771428571428571,9.1,0.1,-2.9,-7.0,4.0,0.0009438909281594,0.571,0.143,0.286,0.0,0.0,W (+1),W (+1)
16.0,,2022-11-21,19-194,IND,ORL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6,4,6,6,3,5,5,1,5,6,4,4,2,4,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,62.0,65.0,75.0,31.0,7.0,56.0,0.0821917808219178,0.0533333333333333,0.0769230769230769,0.075,0.0,0.0,0.0,0.0789473684210526,0.0793650793650793,0.0735294117647058,0.0555555555555555,0.0806451612903225,0.0923076923076923,0.0533333333333333,0.1290322580645161,0.2857142857142857,0.0714285714285714,46.0,71.0,62.0,16.0,0.0,0.0,0.0,0.0,14,,105.0,7.5,0.0,93.3,6.664285714285714,9.1,0.1,-2.9,-7.0,4.0,0.0009438909281594,0.571,0.143,0.286,0.0,0.0,W (+21),W (+21)
17.0,1.0,2022-11-23,19-196,IND,MIN,0,1.65,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.7,0,1.0,1.0,1.0,6,4,6,6,3,5,5,1,5,6,4,4,2,4,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,62.0,65.0,75.0,31.0,7.0,56.0,0.0821917808219178,0.0533333333333333,0.0769230769230769,0.075,0.0,0.0,0.0,0.0789473684210526,0.0793650793650793,0.0735294117647058,0.0555555555555555,0.0806451612903225,0.0923076923076923,0.0533333333333333,0.1290322580645161,0.2857142857142857,0.0714285714285714,46.0,71.0,62.0,16.0,0.0,0.0,0.0,0.0,14,2.0,49.0,3.5,2.7,64.3,4.592857142857143,9.1,0.1,-2.9,-7.0,4.0,0.0009438909281594,0.571,0.143,0.286,0.0,0.0,L (-14),L (-14)
18.0,,2022-11-25,19-198,IND,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6,4,6,6,3,5,5,1,5,6,4,4,2,4,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,62.0,65.0,75.0,31.0,7.0,56.0,0.0821917808219178,0.0533333333333333,0.0769230769230769,0.075,0.0,0.0,0.0,0.0789473684210526,0.0793650793650793,0.0735294117647058,0.0555555555555555,0.0806451612903225,0.0923076923076923,0.0533333333333333,0.1290322580645161,0.2857142857142857,0.0714285714285714,46.0,71.0,62.0,16.0,0.0,0.0,0.0,0.0,14,,82.0,5.857142857142857,0.0,106.1,7.578571428571428,9.1,0.1,-2.9,-7.0,4.0,0.0009438909281594,0.571,0.143,0.286,0.0,0.0,W (+11),W (+11)
19.0,2.0,2022-11-27,19-200,IND,LAC,0,6.25,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.9,+4,0.0,0.0,,6,4,6,6,3,5,5,1,5,6,4,4,2,4,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,62.0,65.0,75.0,31.0,7.0,56.0,0.0821917808219178,0.0533333333333333,0.0769230769230769,0.075,0.0,0.0,0.0,0.0789473684210526,0.0793650793650793,0.0735294117647058,0.0555555555555555,0.0806451612903225,0.0923076923076923,0.0533333333333333,0.1290322580645161,0.2857142857142857,0.0714285714285714,46.0,71.0,62.0,16.0,0.0,0.0,0.0,0.0,14,2.0,64.0,4.571428571428571,0.8999999999999999,60.2,4.3,9.1,0.1,-2.9,-7.0,4.0,0.0009438909281594,0.571,0.143,0.286,0.0,0.0,L (-14),L (-14)
20.0,,2022-11-28,19-201,IND,LAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,6,4,6,6,3,5,5,1,5,6,4,4,2,4,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,62.0,65.0,75.0,31.0,7.0,56.0,0.0821917808219178,0.0533333333333333,0.0769230769230769,0.075,0.0,0.0,0.0,0.0789473684210526,0.0793650793650793,0.0735294117647058,0.0555555555555555,0.0806451612903225,0.0923076923076923,0.0533333333333333,0.1290322580645161,0.2857142857142857,0.0714285714285714,46.0,71.0,62.0,16.0,0.0,0.0,0.0,0.0,14,,106.0,7.571428571428571,0.0,88.19999999999999,6.299999999999999,9.1,0.1,-2.9,-7.0,4.0,0.0009438909281594,0.571,0.143,0.286,0.0,0.0,W (+1),W (+1)
21.0,,2022-11-30,19-203,IND,SAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6,4,6,6,3,5,5,1,5,6,4,4,2,4,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,62.0,65.0,75.0,31.0,7.0,56.0,0.0821917808219178,0.0533333333333333,0.0769230769230769,0.075,0.0,0.0,0.0,0.0789473684210526,0.0793650793650793,0.0735294117647058,0.0555555555555555,0.0806451612903225,0.0923076923076923,0.0533333333333333,0.1290322580645161,0.2857142857142857,0.0714285714285714,46.0,71.0,62.0,16.0,0.0,0.0,0.0,0.0,14,,71.0,5.071428571428571,0.0,71.2,5.085714285714286,9.1,0.1,-2.9,-7.0,4.0,0.0009438909281594,0.571,0.143,0.286,0.0,0.0,,
22.0,3.0,2022-12-02,19-205,IND,UTA,0,7.3,2.0,2.0,1.000,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,4.3,+1,2.0,2.0,1.0,6,4,6,6,3,5,5,1,5,6,4,4,2,4,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,62.0,65.0,75.0,31.0,7.0,56.0,0.0821917808219178,0.0533333333333333,0.0769230769230769,0.075,0.0,0.0,0.0,0.0789473684210526,0.0793650793650793,0.0735294117647058,0.0555555555555555,0.0806451612903225,0.0923076923076923,0.0533333333333333,0.1290322580645161,0.2857142857142857,0.0714285714285714,46.0,71.0,62.0,16.0,0.0,0.0,0.0,0.0,14,4.0,69.0,4.928571428571429,4.299999999999999,69.29999999999998,4.949999999999998,9.1,0.1,-2.9,-7.0,4.0,0.0009438909281594,0.571,0.143,0.286,0.0,0.0,L (-23),L (-23)
23.0,4.0,2022-12-04,19-207,IND,POR,0,2.15,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,+1,1.0,0.0,0.0,6,4,6,6,3,5,5,1,5,6,4,4,2,4,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,62.0,65.0,75.0,31.0,7.0,56.0,0.0821917808219178,0.0533333333333333,0.0769230769230769,0.075,0.0,0.0,0.0,0.0789473684210526,0.0793650793650793,0.0735294117647058,0.0555555555555555,0.0806451612903225,0.0923076923076923,0.0533333333333333,0.1290322580645161,0.2857142857142857,0.0714285714285714,46.0,71.0,62.0,16.0,0.0,0.0,0.0,0.0,14,-1.0,71.0,5.071428571428571,-0.7,71.30000000000001,5.092857142857143,9.1,0.1,-2.9,-7.0,4.0,0.0009438909281594,0.571,0.143,0.286,0.0,0.0,L (-20),L (-20)
24.0,5.0,2022-12-05,19-208,IND,GSW,0,17.983333333333334,1.0,3.0,.333,0.0,1.0,.000,1,2.0,.500,2.0,3.0,5.0,2.0,0.0,0.0,1.0,3.0,3.0,2.4,+7,2.0,1.0,0.5,6,4,6,6,3,5,5,1,5,6,4,4,2,4,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,62.0,65.0,75.0,31.0,7.0,56.0,0.0821917808219178,0.0533333333333333,0.0769230769230769,0.075,0.0,0.0,0.0,0.0789473684210526,0.0793650793650793,0.0735294117647058,0.0555555555555555,0.0806451612903225,0.0923076923076923,0.0533333333333333,0.1290322580645161,0.2857142857142857,0.0714285714285714,46.0,71.0,62.0,16.0,0.0,0.0,0.0,0.0,14,4.0,77.0,5.5,2.0,82.49999999999999,5.8928571428571415,9.1,0.1,-2.9,-7.0,4.0,0.0009438909281594,0.571,0.143,0.286,0.0,0.0,L (-16),L (-16)
25.0,6.0,2022-12-07,19-210,IND,MIN,0,4.966666666666667,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,-1.2,-9,0.0,0.0,,6,4,6,6,3,5,5,1,5,6,4,4,2,4,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,62.0,65.0,75.0,31.0,7.0,56.0,0.0821917808219178,0.0533333333333333,0.0769230769230769,0.075,0.0,0.0,0.0,0.0789473684210526,0.0793650793650793,0.0735294117647058,0.0555555555555555,0.0806451612903225,0.0923076923076923,0.0533333333333333,0.1290322580645161,0.2857142857142857,0.0714285714285714,46.0,71.0,62.0,16.0,0.0,0.0,0.0,0.0,14,0.0,66.0,4.714285714285714,-1.2000000000000002,78.1,5.578571428571428,9.1,0.1,-2.9,-7.0,4.0,0.0009438909281594,0.571,0.143,0.286,0.0,0.0,W (+8),W (+8)
26.0,,2022-12-09,19-212,IND,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6,4,6,6,3,5,5,1,5,6,4,4,2,4,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,62.0,65.0,75.0,31.0,7.0,56.0,0.0821917808219178,0.0533333333333333,0.0769230769230769,0.075,0.0,0.0,0.0,0.0789473684210526,0.0793650793650793,0.0735294117647058,0.0555555555555555,0.0806451612903225,0.0923076923076923,0.0533333333333333,0.1290322580645161,0.2857142857142857,0.0714285714285714,46.0,71.0,62.0,16.0,0.0,0.0,0.0,0.0,14,,71.0,5.071428571428571,0.0,87.4,6.242857142857143,9.1,0.1,-2.9,-7.0,4.0,0.0009438909281594,0.571,0.143,0.286,0.0,0.0,L (-6),L (-6)
27.0,,2022-12-10,19-213,IND,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,6,4,6,6,3,5,5,1,5,6,4,4,2,4,73.0,75.0,78.0,80.0,46.0,7.0,3.0,38.0,63.0,68.0,18.0,62.0,65.0,75.0,31.0,7.0,56.0,0.0821917808219178,0.0533333333333333,0.0769230769230769,0.075,0.0,0.0,0.0,0.0789473684210526,0.0793650793650793,0.0735294117647058,0.0555555555555555,0.0806451612903225,0.0923076923076923,0.0533333333333333,0.1290322580645161,0.2857142857142857,0.0714285714285714,46.0,71.0,62.0,16.0,0.0,0.0,0.0,0.0,14,,88.0,6.285714285714286,0.0,98.79999999999998,7.057142857142856,9.1,0.1,-2.9,-7.0,4.0,0.0009438909281594,0.571,0.143,0.286,0.0,0.0,W (+10),W (+10)
