Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Edwards,Shared Games with Austin Rivers,Shared Games with Bryn Forbes,Shared Games with D'Angelo Russell,Shared Games with Jaden McDaniels,Shared Games with Jaylen Nowell,Shared Games with Jordan McLaughlin,Shared Games with Josh Minott,Shared Games with Karl-Anthony Towns,Shared Games with Kyle Anderson,Shared Games with Luka Garza,Shared Games with Nathan Knight,Shared Games with Naz Reid,Shared Games with Rudy Gobert,Shared Games with Taurean Prince,A.J. Lawson,Anthony Edwards,Austin Rivers,Bryn Forbes,D'Angelo Russell,Jaden McDaniels,Jaylen Nowell,Jordan McLaughlin,Josh Minott,Karl-Anthony Towns,Kyle Anderson,Luka Garza,Nathan Knight,Naz Reid,Rudy Gobert,Taurean Prince,co_inf with A.J. Lawson,co_inf with Anthony Edwards,co_inf with Austin Rivers,co_inf with Bryn Forbes,co_inf with D'Angelo Russell,co_inf with Jaden McDaniels,co_inf with Jaylen Nowell,co_inf with Jordan McLaughlin,co_inf with Josh Minott,co_inf with Karl-Anthony Towns,co_inf with Kyle Anderson,co_inf with Luka Garza,co_inf with Nathan Knight,co_inf with Naz Reid,co_inf with Rudy Gobert,co_inf with Taurean Prince,Shared Games with Matt Ryan,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Matt Ryan,Mike Conley,Nickeil Alexander-Walker,Vit Krejci,co_inf with Matt Ryan,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Vit Krejci,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
11.0,,2022-11-07,21-050,MIN,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,28,19,13,20,26,24,13,15,6,23,18,22,25,23,14,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,0.0,0.3544303797468354,0.3653846153846153,0.52,0.2816901408450704,0.3291139240506329,0.3692307692307692,0.3023255813953488,1.0,0.2068965517241379,0.3333333333333333,0.6428571428571429,0.5789473684210527,0.3676470588235294,0.3285714285714285,0.2592592592592592,11,6,5,34.0,67.0,59.0,29.0,0.3235294117647059,0.0895522388059701,0.0847457627118644,0.0,18,,72.0,4.0,0.0,79.69999999999999,4.427777777777777,0.0044238466399831,L (-13),L (-13)
12.0,,2022-11-09,21-052,MIN,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,28,19,13,20,26,24,13,15,6,23,18,22,25,23,14,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,0.0,0.3544303797468354,0.3653846153846153,0.52,0.2816901408450704,0.3291139240506329,0.3692307692307692,0.3023255813953488,1.0,0.2068965517241379,0.3333333333333333,0.6428571428571429,0.5789473684210527,0.3676470588235294,0.3285714285714285,0.2592592592592592,11,6,5,34.0,67.0,59.0,29.0,0.3235294117647059,0.0895522388059701,0.0847457627118644,0.0,18,,70.0,3.888888888888889,0.0,82.1,4.561111111111111,0.0044238466399831,L (-12),L (-12)
13.0,,2022-11-11,21-054,MIN,MEM,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,28,19,13,20,26,24,13,15,6,23,18,22,25,23,14,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,0.0,0.3544303797468354,0.3653846153846153,0.52,0.2816901408450704,0.3291139240506329,0.3692307692307692,0.3023255813953488,1.0,0.2068965517241379,0.3333333333333333,0.6428571428571429,0.5789473684210527,0.3676470588235294,0.3285714285714285,0.2592592592592592,11,6,5,34.0,67.0,59.0,29.0,0.3235294117647059,0.0895522388059701,0.0847457627118644,0.0,18,,73.0,4.055555555555555,0.0,84.70000000000002,4.705555555555557,0.0044238466399831,L (-11),L (-11)
14.0,,2022-11-13,21-056,MIN,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,28,19,13,20,26,24,13,15,6,23,18,22,25,23,14,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,0.0,0.3544303797468354,0.3653846153846153,0.52,0.2816901408450704,0.3291139240506329,0.3692307692307692,0.3023255813953488,1.0,0.2068965517241379,0.3333333333333333,0.6428571428571429,0.5789473684210527,0.3676470588235294,0.3285714285714285,0.2592592592592592,11,6,5,34.0,67.0,59.0,29.0,0.3235294117647059,0.0895522388059701,0.0847457627118644,0.0,18,,69.0,3.8333333333333335,0.0,73.2,4.066666666666666,0.0044238466399831,W (+5),W (+5)
15.0,,2022-11-16,21-059,MIN,ORL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,28,19,13,20,26,24,13,15,6,23,18,22,25,23,14,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,0.0,0.3544303797468354,0.3653846153846153,0.52,0.2816901408450704,0.3291139240506329,0.3692307692307692,0.3023255813953488,1.0,0.2068965517241379,0.3333333333333333,0.6428571428571429,0.5789473684210527,0.3676470588235294,0.3285714285714285,0.2592592592592592,11,6,5,34.0,67.0,59.0,29.0,0.3235294117647059,0.0895522388059701,0.0847457627118644,0.0,18,,80.0,4.444444444444445,0.0,96.4,5.355555555555556,0.0044238466399831,W (+18),W (+18)
16.0,,2022-11-19,21-062,MIN,PHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,28,19,13,20,26,24,13,15,6,23,18,22,25,23,14,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,0.0,0.3544303797468354,0.3653846153846153,0.52,0.2816901408450704,0.3291139240506329,0.3692307692307692,0.3023255813953488,1.0,0.2068965517241379,0.3333333333333333,0.6428571428571429,0.5789473684210527,0.3676470588235294,0.3285714285714285,0.2592592592592592,11,6,5,34.0,67.0,59.0,29.0,0.3235294117647059,0.0895522388059701,0.0847457627118644,0.0,18,,68.0,3.7777777777777777,0.0,73.49999999999999,4.083333333333332,0.0044238466399831,W (+3),W (+3)
17.0,,2022-11-21,21-064,MIN,MIA,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,28,19,13,20,26,24,13,15,6,23,18,22,25,23,14,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,0.0,0.3544303797468354,0.3653846153846153,0.52,0.2816901408450704,0.3291139240506329,0.3692307692307692,0.3023255813953488,1.0,0.2068965517241379,0.3333333333333333,0.6428571428571429,0.5789473684210527,0.3676470588235294,0.3285714285714285,0.2592592592592592,11,6,5,34.0,67.0,59.0,29.0,0.3235294117647059,0.0895522388059701,0.0847457627118644,0.0,18,,75.0,4.166666666666667,0.0,81.89999999999999,4.55,0.0044238466399831,W (+4),W (+4)
18.0,2.0,2022-11-23,21-066,MIN,IND,0,0.95,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-2,0.0,0.0,,28,19,13,20,26,24,13,15,6,23,18,22,25,23,14,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,0.0,0.3544303797468354,0.3653846153846153,0.52,0.2816901408450704,0.3291139240506329,0.3692307692307692,0.3023255813953488,1.0,0.2068965517241379,0.3333333333333333,0.6428571428571429,0.5789473684210527,0.3676470588235294,0.3285714285714285,0.2592592592592592,11,6,5,34.0,67.0,59.0,29.0,0.3235294117647059,0.0895522388059701,0.0847457627118644,0.0,18,-1.0,84.0,4.666666666666667,-1.0,83.7,4.65,0.0044238466399831,W (+14),W (+14)
19.0,,2022-11-25,21-068,MIN,CHO,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,28,19,13,20,26,24,13,15,6,23,18,22,25,23,14,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,0.0,0.3544303797468354,0.3653846153846153,0.52,0.2816901408450704,0.3291139240506329,0.3692307692307692,0.3023255813953488,1.0,0.2068965517241379,0.3333333333333333,0.6428571428571429,0.5789473684210527,0.3676470588235294,0.3285714285714285,0.2592592592592592,11,6,5,34.0,67.0,59.0,29.0,0.3235294117647059,0.0895522388059701,0.0847457627118644,0.0,18,,45.0,2.5,0.0,51.49999999999999,2.8611111111111107,0.0044238466399831,L (-2),L (-2)
20.0,3.0,2022-11-27,21-070,MIN,GSW,0,3.4166666666666665,0.0,1.0,.000,0.0,1.0,.000,0,1.0,.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8,-4,0.0,0.0,,28,19,13,20,26,24,13,15,6,23,18,22,25,23,14,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,0.0,0.3544303797468354,0.3653846153846153,0.52,0.2816901408450704,0.3291139240506329,0.3692307692307692,0.3023255813953488,1.0,0.2068965517241379,0.3333333333333333,0.6428571428571429,0.5789473684210527,0.3676470588235294,0.3285714285714285,0.2592592592592592,11,6,5,34.0,67.0,59.0,29.0,0.3235294117647059,0.0895522388059701,0.0847457627118644,0.0,18,-1.0,36.0,2.0,-0.8,57.89999999999999,3.2166666666666663,0.0044238466399831,L (-23),L (-23)
21.0,4.0,2022-11-28,21-071,MIN,WAS,0,4.5,0.0,2.0,.000,0.0,0.0,,2,2.0,1.000,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.8,+10,2.0,0.0,0.0,28,19,13,20,26,24,13,15,6,23,18,22,25,23,14,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,0.0,0.3544303797468354,0.3653846153846153,0.52,0.2816901408450704,0.3291139240506329,0.3692307692307692,0.3023255813953488,1.0,0.2068965517241379,0.3333333333333333,0.6428571428571429,0.5789473684210527,0.3676470588235294,0.3285714285714285,0.2592592592592592,11,6,5,34.0,67.0,59.0,29.0,0.3235294117647059,0.0895522388059701,0.0847457627118644,0.0,18,0.0,58.0,3.2222222222222223,1.1102230246251563e-16,79.8,4.433333333333334,0.0044238466399831,,
22.0,5.0,2022-11-30,21-073,MIN,MEM,1,20.33333333333333,3.0,6.0,.500,1.0,3.0,.333,0,0.0,,1.0,2.0,3.0,2.0,1.0,1.0,0.0,4.0,7.0,6.8,-4,3.0,2.0,0.6666666666666666,28,19,13,20,26,24,13,15,6,23,18,22,25,23,14,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,0.0,0.3544303797468354,0.3653846153846153,0.52,0.2816901408450704,0.3291139240506329,0.3692307692307692,0.3023255813953488,1.0,0.2068965517241379,0.3333333333333333,0.6428571428571429,0.5789473684210527,0.3676470588235294,0.3285714285714285,0.2592592592592592,11,6,5,34.0,67.0,59.0,29.0,0.3235294117647059,0.0895522388059701,0.0847457627118644,0.0,18,8.0,55.0,3.055555555555556,6.799999999999999,73.1,4.061111111111111,0.0044238466399831,L (-15),L (-15)
23.0,6.0,2022-12-03,21-076,MIN,OKC,1,16.016666666666666,4.0,6.0,.667,1.0,3.0,.333,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,9.0,4.7,-2,3.0,3.0,1.0,28,19,13,20,26,24,13,15,6,23,18,22,25,23,14,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,0.0,0.3544303797468354,0.3653846153846153,0.52,0.2816901408450704,0.3291139240506329,0.3692307692307692,0.3023255813953488,1.0,0.2068965517241379,0.3333333333333333,0.6428571428571429,0.5789473684210527,0.3676470588235294,0.3285714285714285,0.2592592592592592,11,6,5,34.0,67.0,59.0,29.0,0.3235294117647059,0.0895522388059701,0.0847457627118644,0.0,18,2.0,72.0,4.0,4.699999999999999,75.1,4.172222222222222,0.0044238466399831,W (+8),W (+8)
24.0,7.0,2022-12-07,21-080,MIN,IND,0,3.3666666666666667,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13,0.0,0.0,,28,19,13,20,26,24,13,15,6,23,18,22,25,23,14,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,0.0,0.3544303797468354,0.3653846153846153,0.52,0.2816901408450704,0.3291139240506329,0.3692307692307692,0.3023255813953488,1.0,0.2068965517241379,0.3333333333333333,0.6428571428571429,0.5789473684210527,0.3676470588235294,0.3285714285714285,0.2592592592592592,11,6,5,34.0,67.0,59.0,29.0,0.3235294117647059,0.0895522388059701,0.0847457627118644,0.0,18,0.0,70.0,3.888888888888889,0.0,79.70000000000002,4.427777777777779,0.0044238466399831,L (-7),L (-7)
25.0,8.0,2022-12-09,21-082,MIN,UTA,0,3.733333333333333,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-3,0.0,0.0,,28,19,13,20,26,24,13,15,6,23,18,22,25,23,14,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,0.0,0.3544303797468354,0.3653846153846153,0.52,0.2816901408450704,0.3291139240506329,0.3692307692307692,0.3023255813953488,1.0,0.2068965517241379,0.3333333333333333,0.6428571428571429,0.5789473684210527,0.3676470588235294,0.3285714285714285,0.2592592592592592,11,6,5,34.0,67.0,59.0,29.0,0.3235294117647059,0.0895522388059701,0.0847457627118644,0.0,18,-1.0,68.0,3.7777777777777777,-0.7,67.3,3.738888888888889,0.0044238466399831,W (+6),W (+6)
26.0,9.0,2022-12-10,21-083,MIN,POR,0,3.7,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,-1.5,-3,0.0,0.0,,28,19,13,20,26,24,13,15,6,23,18,22,25,23,14,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,0.0,0.3544303797468354,0.3653846153846153,0.52,0.2816901408450704,0.3291139240506329,0.3692307692307692,0.3023255813953488,1.0,0.2068965517241379,0.3333333333333333,0.6428571428571429,0.5789473684210527,0.3676470588235294,0.3285714285714285,0.2592592592592592,11,6,5,34.0,67.0,59.0,29.0,0.3235294117647059,0.0895522388059701,0.0847457627118644,0.0,18,0.0,57.0,3.1666666666666665,-1.5,73.50000000000001,4.083333333333334,0.0044238466399831,W (+10),W (+10)
27.0,10.0,2022-12-12,21-085,MIN,POR,0,4.05,2.0,3.0,.667,0.0,1.0,.000,0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.7,+3,2.0,2.0,1.0,28,19,13,20,26,24,13,15,6,23,18,22,25,23,14,15.0,79.0,52.0,25.0,71.0,79.0,65.0,43.0,15.0,29.0,69.0,28.0,38.0,68.0,70.0,54.0,0.0,0.3544303797468354,0.3653846153846153,0.52,0.2816901408450704,0.3291139240506329,0.3692307692307692,0.3023255813953488,1.0,0.2068965517241379,0.3333333333333333,0.6428571428571429,0.5789473684210527,0.3676470588235294,0.3285714285714285,0.2592592592592592,11,6,5,34.0,67.0,59.0,29.0,0.3235294117647059,0.0895522388059701,0.0847457627118644,0.0,18,4.0,65.0,3.611111111111111,4.7,72.5,4.027777777777778,0.0044238466399831,L (-6),L (-6)
