Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bojan Bogdanović,Shared Games with Braxton Key,Shared Games with Cade Cunningham,Shared Games with Cory Joseph,Shared Games with Hamidou Diallo,Shared Games with Isaiah Livers,Shared Games with Isaiah Stewart,Shared Games with Jaden Ivey,Shared Games with Jalen Duren,Shared Games with Kevin Knox,Shared Games with Killian Hayes,Shared Games with Marvin Bagley III,Shared Games with Rodney McGruder,Shared Games with Saddiq Bey,Alec Burks,Bojan Bogdanović,Braxton Key,Cade Cunningham,Cory Joseph,Hamidou Diallo,Isaiah Livers,Isaiah Stewart,Jaden Ivey,Jalen Duren,Jared Rhoden,Kevin Knox,Killian Hayes,Marvin Bagley III,Nerlens Noel,Rodney McGruder,Saddiq Bey,Stanley Umude,co_inf with Alec Burks,co_inf with Bojan Bogdanović,co_inf with Braxton Key,co_inf with Cade Cunningham,co_inf with Cory Joseph,co_inf with Hamidou Diallo,co_inf with Isaiah Livers,co_inf with Isaiah Stewart,co_inf with Jaden Ivey,co_inf with Jalen Duren,co_inf with Jared Rhoden,co_inf with Kevin Knox,co_inf with Killian Hayes,co_inf with Marvin Bagley III,co_inf with Nerlens Noel,co_inf with Rodney McGruder,co_inf with Saddiq Bey,co_inf with Stanley Umude,Shared Games with James Wiseman,Shared Games with Eugene Omoruyi,Shared Games with R.J. Hampton,Eugene Omoruyi,Frank Kaminsky,James Wiseman,R.J. Hampton,co_inf with James Wiseman,co_inf with Eugene Omoruyi,co_inf with Frank Kaminsky,co_inf with R.J. Hampton,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,,2022-11-07,22-361,DET,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,10,2,3,1,8,8,1,10,6,7,1,51.0,59.0,3.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.0169491525423728,0.3333333333333333,0.0833333333333333,0.1612903225806451,0.0357142857142857,0.0576923076923076,0.02,0.1081081081081081,0.1194029850746268,0.0,0.0158730158730158,0.131578947368421,0.1428571428571428,0.0,0.21875,0.0129870129870129,0.0,8,6,6,40.0,36.0,45.0,47.0,0.1777777777777777,0.15,0.0,0.1276595744680851,17,,59.0,3.4705882352941178,0.0,63.19999999999999,3.7176470588235286,0.5,-0.2,-9.5,-7.5,-2.0,0.0017689331122166,0.287,0.926,0.074,-0.2,-0.2,W (+9),W (+9)
12.0,,2022-11-09,22-363,DET,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,10,2,3,1,8,8,1,10,6,7,1,51.0,59.0,3.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.0169491525423728,0.3333333333333333,0.0833333333333333,0.1612903225806451,0.0357142857142857,0.0576923076923076,0.02,0.1081081081081081,0.1194029850746268,0.0,0.0158730158730158,0.131578947368421,0.1428571428571428,0.0,0.21875,0.0129870129870129,0.0,8,6,6,40.0,36.0,45.0,47.0,0.1777777777777777,0.15,0.0,0.1276595744680851,17,,61.0,3.588235294117647,0.0,80.3,4.723529411764706,0.5,-0.2,-9.5,-7.5,-2.0,0.0017689331122166,0.287,0.926,0.074,-0.2,-0.2,L (-16),L (-16)
13.0,,2022-11-11,23-000,DET,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,10,2,3,1,8,8,1,10,6,7,1,51.0,59.0,3.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.0169491525423728,0.3333333333333333,0.0833333333333333,0.1612903225806451,0.0357142857142857,0.0576923076923076,0.02,0.1081081081081081,0.1194029850746268,0.0,0.0158730158730158,0.131578947368421,0.1428571428571428,0.0,0.21875,0.0129870129870129,0.0,8,6,6,40.0,36.0,45.0,47.0,0.1777777777777777,0.15,0.0,0.1276595744680851,17,,64.0,3.764705882352941,0.0,80.8,4.752941176470588,0.5,-0.2,-9.5,-7.5,-2.0,0.0017689331122166,0.287,0.926,0.074,-0.2,-0.2,L (-9),L (-9)
14.0,,2022-11-12,23-001,DET,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,10,2,3,1,8,8,1,10,6,7,1,51.0,59.0,3.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.0169491525423728,0.3333333333333333,0.0833333333333333,0.1612903225806451,0.0357142857142857,0.0576923076923076,0.02,0.1081081081081081,0.1194029850746268,0.0,0.0158730158730158,0.131578947368421,0.1428571428571428,0.0,0.21875,0.0129870129870129,0.0,8,6,6,40.0,36.0,45.0,47.0,0.1777777777777777,0.15,0.0,0.1276595744680851,17,,68.0,4.0,0.0,75.89999999999998,4.46470588235294,0.5,-0.2,-9.5,-7.5,-2.0,0.0017689331122166,0.287,0.926,0.074,-0.2,-0.2,L (-9),L (-9)
15.0,,2022-11-14,23-003,DET,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,10,2,3,1,8,8,1,10,6,7,1,51.0,59.0,3.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.0169491525423728,0.3333333333333333,0.0833333333333333,0.1612903225806451,0.0357142857142857,0.0576923076923076,0.02,0.1081081081081081,0.1194029850746268,0.0,0.0158730158730158,0.131578947368421,0.1428571428571428,0.0,0.21875,0.0129870129870129,0.0,8,6,6,40.0,36.0,45.0,47.0,0.1777777777777777,0.15,0.0,0.1276595744680851,17,,41.0,2.411764705882353,0.0,65.2,3.835294117647059,0.5,-0.2,-9.5,-7.5,-2.0,0.0017689331122166,0.287,0.926,0.074,-0.2,-0.2,L (-4),L (-4)
16.0,,2022-11-17,23-006,DET,LAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,10,2,3,1,8,8,1,10,6,7,1,51.0,59.0,3.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.0169491525423728,0.3333333333333333,0.0833333333333333,0.1612903225806451,0.0357142857142857,0.0576923076923076,0.02,0.1081081081081081,0.1194029850746268,0.0,0.0158730158730158,0.131578947368421,0.1428571428571428,0.0,0.21875,0.0129870129870129,0.0,8,6,6,40.0,36.0,45.0,47.0,0.1777777777777777,0.15,0.0,0.1276595744680851,17,,28.0,1.6470588235294117,0.0,40.0,2.3529411764705883,0.5,-0.2,-9.5,-7.5,-2.0,0.0017689331122166,0.287,0.926,0.074,-0.2,-0.2,L (-5),L (-5)
17.0,,2022-11-18,23-007,DET,LAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,10,2,3,1,8,8,1,10,6,7,1,51.0,59.0,3.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.0169491525423728,0.3333333333333333,0.0833333333333333,0.1612903225806451,0.0357142857142857,0.0576923076923076,0.02,0.1081081081081081,0.1194029850746268,0.0,0.0158730158730158,0.131578947368421,0.1428571428571428,0.0,0.21875,0.0129870129870129,0.0,8,6,6,40.0,36.0,45.0,47.0,0.1777777777777777,0.15,0.0,0.1276595744680851,17,,60.0,3.5294117647058822,0.0,91.1,5.358823529411764,0.5,-0.2,-9.5,-7.5,-2.0,0.0017689331122166,0.287,0.926,0.074,-0.2,-0.2,L (-7),L (-7)
18.0,,2022-11-20,23-009,DET,SAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,10,2,3,1,8,8,1,10,6,7,1,51.0,59.0,3.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.0169491525423728,0.3333333333333333,0.0833333333333333,0.1612903225806451,0.0357142857142857,0.0576923076923076,0.02,0.1081081081081081,0.1194029850746268,0.0,0.0158730158730158,0.131578947368421,0.1428571428571428,0.0,0.21875,0.0129870129870129,0.0,8,6,6,40.0,36.0,45.0,47.0,0.1777777777777777,0.15,0.0,0.1276595744680851,17,,61.0,3.588235294117647,0.0,85.39999999999998,5.023529411764705,0.5,-0.2,-9.5,-7.5,-2.0,0.0017689331122166,0.287,0.926,0.074,-0.2,-0.2,L (-8),L (-8)
19.0,,2022-11-22,23-011,DET,DEN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,10,2,3,1,8,8,1,10,6,7,1,51.0,59.0,3.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.0169491525423728,0.3333333333333333,0.0833333333333333,0.1612903225806451,0.0357142857142857,0.0576923076923076,0.02,0.1081081081081081,0.1194029850746268,0.0,0.0158730158730158,0.131578947368421,0.1428571428571428,0.0,0.21875,0.0129870129870129,0.0,8,6,6,40.0,36.0,45.0,47.0,0.1777777777777777,0.15,0.0,0.1276595744680851,17,,61.0,3.588235294117647,0.0,73.30000000000001,4.311764705882354,0.5,-0.2,-9.5,-7.5,-2.0,0.0017689331122166,0.287,0.926,0.074,-0.2,-0.2,W (+2),W (+2)
20.0,,2022-11-23,23-012,DET,UTA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,10,2,3,1,8,8,1,10,6,7,1,51.0,59.0,3.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.0169491525423728,0.3333333333333333,0.0833333333333333,0.1612903225806451,0.0357142857142857,0.0576923076923076,0.02,0.1081081081081081,0.1194029850746268,0.0,0.0158730158730158,0.131578947368421,0.1428571428571428,0.0,0.21875,0.0129870129870129,0.0,8,6,6,40.0,36.0,45.0,47.0,0.1777777777777777,0.15,0.0,0.1276595744680851,17,,74.0,4.352941176470588,0.0,92.99999999999996,5.470588235294115,0.5,-0.2,-9.5,-7.5,-2.0,0.0017689331122166,0.287,0.926,0.074,-0.2,-0.2,W (+9),W (+9)
21.0,,2022-11-25,23-014,DET,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,10,2,3,1,8,8,1,10,6,7,1,51.0,59.0,3.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.0169491525423728,0.3333333333333333,0.0833333333333333,0.1612903225806451,0.0357142857142857,0.0576923076923076,0.02,0.1081081081081081,0.1194029850746268,0.0,0.0158730158730158,0.131578947368421,0.1428571428571428,0.0,0.21875,0.0129870129870129,0.0,8,6,6,40.0,36.0,45.0,47.0,0.1777777777777777,0.15,0.0,0.1276595744680851,17,,47.0,2.764705882352941,0.0,57.79999999999999,3.3999999999999995,0.5,-0.2,-9.5,-7.5,-2.0,0.0017689331122166,0.287,0.926,0.074,-0.2,-0.2,,
22.0,,2022-11-27,23-016,DET,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,10,2,3,1,8,8,1,10,6,7,1,51.0,59.0,3.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.0169491525423728,0.3333333333333333,0.0833333333333333,0.1612903225806451,0.0357142857142857,0.0576923076923076,0.02,0.1081081081081081,0.1194029850746268,0.0,0.0158730158730158,0.131578947368421,0.1428571428571428,0.0,0.21875,0.0129870129870129,0.0,8,6,6,40.0,36.0,45.0,47.0,0.1777777777777777,0.15,0.0,0.1276595744680851,17,,39.0,2.294117647058824,0.0,49.90000000000001,2.9352941176470595,0.5,-0.2,-9.5,-7.5,-2.0,0.0017689331122166,0.287,0.926,0.074,-0.2,-0.2,L (-6),L (-6)
23.0,,2022-11-29,23-018,DET,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,10,2,3,1,8,8,1,10,6,7,1,51.0,59.0,3.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.0169491525423728,0.3333333333333333,0.0833333333333333,0.1612903225806451,0.0357142857142857,0.0576923076923076,0.02,0.1081081081081081,0.1194029850746268,0.0,0.0158730158730158,0.131578947368421,0.1428571428571428,0.0,0.21875,0.0129870129870129,0.0,8,6,6,40.0,36.0,45.0,47.0,0.1777777777777777,0.15,0.0,0.1276595744680851,17,,58.0,3.411764705882353,0.0,70.6,4.152941176470588,0.5,-0.2,-9.5,-7.5,-2.0,0.0017689331122166,0.287,0.926,0.074,-0.2,-0.2,L (-8),L (-8)
24.0,,2022-12-01,23-020,DET,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,10,2,3,1,8,8,1,10,6,7,1,51.0,59.0,3.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.0169491525423728,0.3333333333333333,0.0833333333333333,0.1612903225806451,0.0357142857142857,0.0576923076923076,0.02,0.1081081081081081,0.1194029850746268,0.0,0.0158730158730158,0.131578947368421,0.1428571428571428,0.0,0.21875,0.0129870129870129,0.0,8,6,6,40.0,36.0,45.0,47.0,0.1777777777777777,0.15,0.0,0.1276595744680851,17,,86.0,5.0588235294117645,0.0,100.40000000000002,5.905882352941178,0.5,-0.2,-9.5,-7.5,-2.0,0.0017689331122166,0.287,0.926,0.074,-0.2,-0.2,L (-30),L (-30)
25.0,,2022-12-04,23-023,DET,MEM,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,1,1,10,2,3,1,8,8,1,10,6,7,1,51.0,59.0,3.0,12.0,62.0,56.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.0,0.0169491525423728,0.3333333333333333,0.0833333333333333,0.1612903225806451,0.0357142857142857,0.0576923076923076,0.02,0.1081081081081081,0.1194029850746268,0.0,0.0158730158730158,0.131578947368421,0.1428571428571428,0.0,0.21875,0.0129870129870129,0.0,8,6,6,40.0,36.0,45.0,47.0,0.1777777777777777,0.15,0.0,0.1276595744680851,17,,64.0,3.764705882352941,0.0,70.1,4.123529411764705,0.5,-0.2,-9.5,-7.5,-2.0,0.0017689331122166,0.287,0.926,0.074,-0.2,-0.2,W (+6),W (+6)
