Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alec Burks,Shared Games with Bojan Bogdanović,Shared Games with Braxton Key,Shared Games with Buddy Boeheim,Shared Games with Cade Cunningham,Shared Games with Cory Joseph,Shared Games with Isaiah Livers,Shared Games with Isaiah Stewart,Shared Games with Jaden Ivey,Shared Games with Jalen Duren,Shared Games with Jared Rhoden,Shared Games with Kevin Knox,Shared Games with Killian Hayes,Shared Games with Marvin Bagley III,Shared Games with Nerlens Noel,Shared Games with Rodney McGruder,Shared Games with Saddiq Bey,Alec Burks,Bojan Bogdanović,Braxton Key,Buddy Boeheim,Cade Cunningham,Cory Joseph,Isaiah Livers,Isaiah Stewart,Jaden Ivey,Jalen Duren,Jared Rhoden,Kevin Knox,Killian Hayes,Marvin Bagley III,Nerlens Noel,Rodney McGruder,Saddiq Bey,Stanley Umude,co_inf with Alec Burks,co_inf with Bojan Bogdanović,co_inf with Braxton Key,co_inf with Buddy Boeheim,co_inf with Cade Cunningham,co_inf with Cory Joseph,co_inf with Isaiah Livers,co_inf with Isaiah Stewart,co_inf with Jaden Ivey,co_inf with Jalen Duren,co_inf with Jared Rhoden,co_inf with Kevin Knox,co_inf with Killian Hayes,co_inf with Marvin Bagley III,co_inf with Nerlens Noel,co_inf with Rodney McGruder,co_inf with Saddiq Bey,co_inf with Stanley Umude,Shared Games with James Wiseman,Shared Games with Eugene Omoruyi,Shared Games with R.J. Hampton,Eugene Omoruyi,Frank Kaminsky,James Wiseman,R.J. Hampton,co_inf with James Wiseman,co_inf with Eugene Omoruyi,co_inf with Frank Kaminsky,co_inf with R.J. Hampton,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,11.0,2022-11-07,24-099,DET,OKC,0,17.816666666666666,4.0,6.0,.667,0.0,0.0,,3,4.0,.750,5.0,3.0,8.0,0.0,1.0,0.0,2.0,2.0,11.0,10.6,-10,6.0,4.0,0.6666666666666666,42,50,3,2,12,38,40,41,51,43,10,33,52,22,14,22,43,51.0,59.0,3.0,10.0,12.0,62.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.8235294117647058,0.847457627118644,1.0,0.2,1.0,0.6129032258064516,0.7692307692307693,0.82,0.6891891891891891,0.6417910447761194,0.7142857142857143,0.5238095238095238,0.6842105263157895,0.5238095238095238,0.8235294117647058,0.6875,0.5584415584415584,0.0,8,5,10,40.0,36.0,45.0,47.0,0.1777777777777777,0.125,0.0,0.2127659574468085,20,8.0,51.0,2.55,9.4,53.79999999999998,2.689999999999999,15.7,1.3,-1.4,-1.8,0.4,0.0577114427860696,0.593,0.056,0.395,0.1,0.4,W (+9),W (+9)
12.0,12.0,2022-11-09,24-101,DET,BOS,0,14.45,2.0,8.0,.250,0.0,1.0,.000,0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,2.0,4.0,4.0,-2.8,-7,7.0,2.0,0.2857142857142857,42,50,3,2,12,38,40,41,51,43,10,33,52,22,14,22,43,51.0,59.0,3.0,10.0,12.0,62.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.8235294117647058,0.847457627118644,1.0,0.2,1.0,0.6129032258064516,0.7692307692307693,0.82,0.6891891891891891,0.6417910447761194,0.7142857142857143,0.5238095238095238,0.6842105263157895,0.5238095238095238,0.8235294117647058,0.6875,0.5584415584415584,0.0,8,5,10,40.0,36.0,45.0,47.0,0.1777777777777777,0.125,0.0,0.2127659574468085,20,-3.0,64.0,3.2,-2.8000000000000003,83.1,4.154999999999999,15.7,1.3,-1.4,-1.8,0.4,0.0577114427860696,0.593,0.056,0.395,0.1,0.4,L (-16),L (-16)
13.0,13.0,2022-11-11,24-103,DET,NYK,0,15.3,4.0,5.0,.800,0.0,0.0,,5,6.0,.833,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,13.0,11.7,+3,5.0,4.0,0.8,42,50,3,2,12,38,40,41,51,43,10,33,52,22,14,22,43,51.0,59.0,3.0,10.0,12.0,62.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.8235294117647058,0.847457627118644,1.0,0.2,1.0,0.6129032258064516,0.7692307692307693,0.82,0.6891891891891891,0.6417910447761194,0.7142857142857143,0.5238095238095238,0.6842105263157895,0.5238095238095238,0.8235294117647058,0.6875,0.5584415584415584,0.0,8,5,10,40.0,36.0,45.0,47.0,0.1777777777777777,0.125,0.0,0.2127659574468085,20,5.0,59.0,2.95,9.7,71.1,3.555,15.7,1.3,-1.4,-1.8,0.4,0.0577114427860696,0.593,0.056,0.395,0.1,0.4,L (-9),L (-9)
14.0,14.0,2022-11-12,24-104,DET,BOS,0,15.166666666666666,2.0,9.0,.222,1.0,3.0,.333,0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,5.0,0.4,-6,6.0,1.0,0.1666666666666666,42,50,3,2,12,38,40,41,51,43,10,33,52,22,14,22,43,51.0,59.0,3.0,10.0,12.0,62.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.8235294117647058,0.847457627118644,1.0,0.2,1.0,0.6129032258064516,0.7692307692307693,0.82,0.6891891891891891,0.6417910447761194,0.7142857142857143,0.5238095238095238,0.6842105263157895,0.5238095238095238,0.8235294117647058,0.6875,0.5584415584415584,0.0,8,5,10,40.0,36.0,45.0,47.0,0.1777777777777777,0.125,0.0,0.2127659574468085,20,-1.0,69.0,3.45,0.4000000000000001,75.49999999999999,3.775,15.7,1.3,-1.4,-1.8,0.4,0.0577114427860696,0.593,0.056,0.395,0.1,0.4,L (-9),L (-9)
15.0,15.0,2022-11-14,24-106,DET,TOR,0,16.616666666666667,2.0,3.0,.667,0.0,0.0,,4,5.0,.800,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,8.0,6.9,+6,3.0,2.0,0.6666666666666666,42,50,3,2,12,38,40,41,51,43,10,33,52,22,14,22,43,51.0,59.0,3.0,10.0,12.0,62.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.8235294117647058,0.847457627118644,1.0,0.2,1.0,0.6129032258064516,0.7692307692307693,0.82,0.6891891891891891,0.6417910447761194,0.7142857142857143,0.5238095238095238,0.6842105263157895,0.5238095238095238,0.8235294117647058,0.6875,0.5584415584415584,0.0,8,5,10,40.0,36.0,45.0,47.0,0.1777777777777777,0.125,0.0,0.2127659574468085,20,2.0,39.0,1.95,5.3,59.9,2.995,15.7,1.3,-1.4,-1.8,0.4,0.0577114427860696,0.593,0.056,0.395,0.1,0.4,L (-4),L (-4)
16.0,16.0,2022-11-17,24-109,DET,LAC,0,16.383333333333333,2.0,4.0,.500,0.0,1.0,.000,1,2.0,.500,0.0,3.0,3.0,2.0,0.0,2.0,0.0,3.0,5.0,5.1,+3,3.0,2.0,0.6666666666666666,42,50,3,2,12,38,40,41,51,43,10,33,52,22,14,22,43,51.0,59.0,3.0,10.0,12.0,62.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.8235294117647058,0.847457627118644,1.0,0.2,1.0,0.6129032258064516,0.7692307692307693,0.82,0.6891891891891891,0.6417910447761194,0.7142857142857143,0.5238095238095238,0.6842105263157895,0.5238095238095238,0.8235294117647058,0.6875,0.5584415584415584,0.0,8,5,10,40.0,36.0,45.0,47.0,0.1777777777777777,0.125,0.0,0.2127659574468085,20,6.0,22.0,1.1,4.7,35.3,1.765,15.7,1.3,-1.4,-1.8,0.4,0.0577114427860696,0.593,0.056,0.395,0.1,0.4,L (-5),L (-5)
17.0,17.0,2022-11-18,24-110,DET,LAL,0,20.166666666666668,5.0,6.0,.833,0.0,1.0,.000,3,5.0,.600,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,13.0,11.3,+6,5.0,5.0,1.0,42,50,3,2,12,38,40,41,51,43,10,33,52,22,14,22,43,51.0,59.0,3.0,10.0,12.0,62.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.8235294117647058,0.847457627118644,1.0,0.2,1.0,0.6129032258064516,0.7692307692307693,0.82,0.6891891891891891,0.6417910447761194,0.7142857142857143,0.5238095238095238,0.6842105263157895,0.5238095238095238,0.8235294117647058,0.6875,0.5584415584415584,0.0,8,5,10,40.0,36.0,45.0,47.0,0.1777777777777777,0.125,0.0,0.2127659574468085,20,5.0,55.0,2.75,10.1,81.0,4.05,15.7,1.3,-1.4,-1.8,0.4,0.0577114427860696,0.593,0.056,0.395,0.1,0.4,L (-7),L (-7)
18.0,18.0,2022-11-20,24-112,DET,SAC,0,17.9,2.0,3.0,.667,0.0,0.0,,0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,4.0,3.3,+4,3.0,2.0,0.6666666666666666,42,50,3,2,12,38,40,41,51,43,10,33,52,22,14,22,43,51.0,59.0,3.0,10.0,12.0,62.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.8235294117647058,0.847457627118644,1.0,0.2,1.0,0.6129032258064516,0.7692307692307693,0.82,0.6891891891891891,0.6417910447761194,0.7142857142857143,0.5238095238095238,0.6842105263157895,0.5238095238095238,0.8235294117647058,0.6875,0.5584415584415584,0.0,8,5,10,40.0,36.0,45.0,47.0,0.1777777777777777,0.125,0.0,0.2127659574468085,20,3.0,58.0,2.9,3.3,82.09999999999998,4.104999999999999,15.7,1.3,-1.4,-1.8,0.4,0.0577114427860696,0.593,0.056,0.395,0.1,0.4,L (-8),L (-8)
19.0,19.0,2022-11-22,24-114,DET,DEN,0,15.566666666666666,3.0,5.0,.600,0.0,1.0,.000,0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,3.9,+12,4.0,3.0,0.75,42,50,3,2,12,38,40,41,51,43,10,33,52,22,14,22,43,51.0,59.0,3.0,10.0,12.0,62.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.8235294117647058,0.847457627118644,1.0,0.2,1.0,0.6129032258064516,0.7692307692307693,0.82,0.6891891891891891,0.6417910447761194,0.7142857142857143,0.5238095238095238,0.6842105263157895,0.5238095238095238,0.8235294117647058,0.6875,0.5584415584415584,0.0,8,5,10,40.0,36.0,45.0,47.0,0.1777777777777777,0.125,0.0,0.2127659574468085,20,3.0,58.0,2.9,3.900000000000001,69.4,3.47,15.7,1.3,-1.4,-1.8,0.4,0.0577114427860696,0.593,0.056,0.395,0.1,0.4,W (+2),W (+2)
20.0,20.0,2022-11-23,24-115,DET,UTA,0,22.566666666666663,4.0,8.0,.500,0.0,0.0,,1,1.0,1.000,1.0,4.0,5.0,2.0,2.0,0.0,1.0,4.0,9.0,7.7,+5,8.0,4.0,0.5,42,50,3,2,12,38,40,41,51,43,10,33,52,22,14,22,43,51.0,59.0,3.0,10.0,12.0,62.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.8235294117647058,0.847457627118644,1.0,0.2,1.0,0.6129032258064516,0.7692307692307693,0.82,0.6891891891891891,0.6417910447761194,0.7142857142857143,0.5238095238095238,0.6842105263157895,0.5238095238095238,0.8235294117647058,0.6875,0.5584415584415584,0.0,8,5,10,40.0,36.0,45.0,47.0,0.1777777777777777,0.125,0.0,0.2127659574468085,20,8.0,66.0,3.3,7.299999999999999,85.69999999999997,4.284999999999998,15.7,1.3,-1.4,-1.8,0.4,0.0577114427860696,0.593,0.056,0.395,0.1,0.4,W (+9),W (+9)
21.0,21.0,2022-11-25,24-117,DET,PHO,0,21.78333333333333,4.0,6.0,.667,0.0,0.0,,2,2.0,1.000,0.0,6.0,6.0,1.0,0.0,0.0,5.0,2.0,10.0,4.1,+9,6.0,4.0,0.6666666666666666,42,50,3,2,12,38,40,41,51,43,10,33,52,22,14,22,43,51.0,59.0,3.0,10.0,12.0,62.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.8235294117647058,0.847457627118644,1.0,0.2,1.0,0.6129032258064516,0.7692307692307693,0.82,0.6891891891891891,0.6417910447761194,0.7142857142857143,0.5238095238095238,0.6842105263157895,0.5238095238095238,0.8235294117647058,0.6875,0.5584415584415584,0.0,8,5,10,40.0,36.0,45.0,47.0,0.1777777777777777,0.125,0.0,0.2127659574468085,20,4.0,43.0,2.15,3.299999999999997,54.49999999999999,2.725,15.7,1.3,-1.4,-1.8,0.4,0.0577114427860696,0.593,0.056,0.395,0.1,0.4,,
22.0,22.0,2022-11-27,24-119,DET,CLE,0,19.383333333333333,1.0,3.0,.333,1.0,2.0,.500,1,4.0,.250,0.0,3.0,3.0,1.0,1.0,0.0,1.0,4.0,4.0,1.1,-6,1.0,0.0,0.0,42,50,3,2,12,38,40,41,51,43,10,33,52,22,14,22,43,51.0,59.0,3.0,10.0,12.0,62.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.8235294117647058,0.847457627118644,1.0,0.2,1.0,0.6129032258064516,0.7692307692307693,0.82,0.6891891891891891,0.6417910447761194,0.7142857142857143,0.5238095238095238,0.6842105263157895,0.5238095238095238,0.8235294117647058,0.6875,0.5584415584415584,0.0,8,5,10,40.0,36.0,45.0,47.0,0.1777777777777777,0.125,0.0,0.2127659574468085,20,1.0,38.0,1.9,0.7000000000000011,49.20000000000001,2.4600000000000004,15.7,1.3,-1.4,-1.8,0.4,0.0577114427860696,0.593,0.056,0.395,0.1,0.4,L (-6),L (-6)
23.0,23.0,2022-11-29,24-121,DET,NYK,0,14.566666666666666,4.0,5.0,.800,0.0,0.0,,1,4.0,.250,1.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,9.0,8.7,-2,5.0,4.0,0.8,42,50,3,2,12,38,40,41,51,43,10,33,52,22,14,22,43,51.0,59.0,3.0,10.0,12.0,62.0,52.0,50.0,74.0,67.0,14.0,63.0,76.0,42.0,17.0,32.0,77.0,1.0,0.8235294117647058,0.847457627118644,1.0,0.2,1.0,0.6129032258064516,0.7692307692307693,0.82,0.6891891891891891,0.6417910447761194,0.7142857142857143,0.5238095238095238,0.6842105263157895,0.5238095238095238,0.8235294117647058,0.6875,0.5584415584415584,0.0,8,5,10,40.0,36.0,45.0,47.0,0.1777777777777777,0.125,0.0,0.2127659574468085,20,5.0,53.0,2.65,8.299999999999997,62.29999999999998,3.115,15.7,1.3,-1.4,-1.8,0.4,0.0577114427860696,0.593,0.056,0.395,0.1,0.4,L (-8),L (-8)
