Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Gill,Shared Games with Bradley Beal,Shared Games with Corey Kispert,Shared Games with Daniel Gafford,Shared Games with Delon Wright,Shared Games with Deni Avdija,Shared Games with Devon Dotson,Shared Games with Isaiah Todd,Shared Games with Jay Huff,Shared Games with Jordan Goodwin,Shared Games with Kristaps Porziņģis,Shared Games with Kyle Kuzma,Shared Games with Monte Morris,Shared Games with Rui Hachimura,Shared Games with Taj Gibson,Shared Games with Vernon Carey Jr.,Shared Games with Will Barton,Anthony Gill,Bradley Beal,Corey Kispert,Daniel Gafford,Delon Wright,Deni Avdija,Devon Dotson,Isaiah Todd,Jay Huff,Jordan Goodwin,Jordan Schakel,Kristaps Porziņģis,Kyle Kuzma,Monte Morris,Quenton Jackson,Rui Hachimura,Taj Gibson,Vernon Carey Jr.,Will Barton,Xavier Cooks,co_inf with Anthony Gill,co_inf with Bradley Beal,co_inf with Corey Kispert,co_inf with Daniel Gafford,co_inf with Delon Wright,co_inf with Deni Avdija,co_inf with Devon Dotson,co_inf with Isaiah Todd,co_inf with Jay Huff,co_inf with Jordan Goodwin,co_inf with Jordan Schakel,co_inf with Kristaps Porziņģis,co_inf with Kyle Kuzma,co_inf with Monte Morris,co_inf with Quenton Jackson,co_inf with Rui Hachimura,co_inf with Taj Gibson,co_inf with Vernon Carey Jr.,co_inf with Will Barton,co_inf with Xavier Cooks,A.J. Green,A.J. Lawson,Aaron Gordon,Aaron Holiday,Aaron Nesmith,Aaron Wiggins,Admiral Schofield,AJ Griffin,Al Horford,Alec Burks,Aleksej Pokusevski,Alex Caruso,Alex Len,Alize Johnson,Alondes Williams,Alperen Şengün,Amir Coffey,Andre Drummond,Andre Iguodala,Andrew Nembhard,Andrew Wiggins,Anfernee Simons,Marcus Smart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-07,20-253,WAS,@,CHO,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,27,15,24,26,17,23,3,6,2,24,20,14,20,7,18,5,10,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.4576271186440678,0.3,0.3243243243243243,0.3333333333333333,0.34,0.3026315789473684,0.5,1.0,0.2857142857142857,0.3870967741935484,0.0,0.3076923076923077,0.21875,0.3225806451612903,0.0,0.1111111111111111,0.3673469387755102,0.4545454545454545,0.1785714285714285,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,76.0,4.470588235294118,0.0,77.39999999999999,4.552941176470588
11,12,,2022-11-10,20-256,WAS,,DAL,W (+8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,27,15,24,26,17,23,3,6,2,24,20,14,20,7,18,5,10,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.4576271186440678,0.3,0.3243243243243243,0.3333333333333333,0.34,0.3026315789473684,0.5,1.0,0.2857142857142857,0.3870967741935484,0.0,0.3076923076923077,0.21875,0.3225806451612903,0.0,0.1111111111111111,0.3673469387755102,0.4545454545454545,0.1785714285714285,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,94.0,5.529411764705882,0.0,82.30000000000001,4.841176470588236
12,13,,2022-11-12,20-258,WAS,,UTA,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,27,15,24,26,17,23,3,6,2,24,20,14,20,7,18,5,10,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.4576271186440678,0.3,0.3243243243243243,0.3333333333333333,0.34,0.3026315789473684,0.5,1.0,0.2857142857142857,0.3870967741935484,0.0,0.3076923076923077,0.21875,0.3225806451612903,0.0,0.1111111111111111,0.3673469387755102,0.4545454545454545,0.1785714285714285,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,92.0,5.411764705882353,0.0,102.09999999999998,6.005882352941176
13,14,,2022-11-13,20-259,WAS,,MEM,W (+10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,27,15,24,26,17,23,3,6,2,24,20,14,20,7,18,5,10,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.4576271186440678,0.3,0.3243243243243243,0.3333333333333333,0.34,0.3026315789473684,0.5,1.0,0.2857142857142857,0.3870967741935484,0.0,0.3076923076923077,0.21875,0.3225806451612903,0.0,0.1111111111111111,0.3673469387755102,0.4545454545454545,0.1785714285714285,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,68.0,4.0,0.0,75.89999999999999,4.46470588235294
14,15,,2022-11-16,20-262,WAS,,OKC,L (-1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,27,15,24,26,17,23,3,6,2,24,20,14,20,7,18,5,10,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.4576271186440678,0.3,0.3243243243243243,0.3333333333333333,0.34,0.3026315789473684,0.5,1.0,0.2857142857142857,0.3870967741935484,0.0,0.3076923076923077,0.21875,0.3225806451612903,0.0,0.1111111111111111,0.3673469387755102,0.4545454545454545,0.1785714285714285,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,84.0,4.941176470588236,0.0,94.20000000000002,5.541176470588236
15,16,,2022-11-18,20-264,WAS,,MIA,W (+1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,27,15,24,26,17,23,3,6,2,24,20,14,20,7,18,5,10,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.4576271186440678,0.3,0.3243243243243243,0.3333333333333333,0.34,0.3026315789473684,0.5,1.0,0.2857142857142857,0.3870967741935484,0.0,0.3076923076923077,0.21875,0.3225806451612903,0.0,0.1111111111111111,0.3673469387755102,0.4545454545454545,0.1785714285714285,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,79.0,4.647058823529412,0.0,76.90000000000002,4.523529411764707
16,17,6,2022-11-20,20-266,WAS,,CHO,W (+4),0,4:59,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.1,-7,1.0,0.0,0.0,27,15,24,26,17,23,3,6,2,24,20,14,20,7,18,5,10,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.4576271186440678,0.3,0.3243243243243243,0.3333333333333333,0.34,0.3026315789473684,0.5,1.0,0.2857142857142857,0.3870967741935484,0.0,0.3076923076923077,0.21875,0.3225806451612903,0.0,0.1111111111111111,0.3673469387755102,0.4545454545454545,0.1785714285714285,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,-1.0,70.0,4.117647058823529,-1.1,78.0,4.588235294117647
17,18,7,2022-11-23,20-269,WAS,@,MIA,L (-8),0,5:33,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-6,0.0,0.0,,27,15,24,26,17,23,3,6,2,24,20,14,20,7,18,5,10,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.4576271186440678,0.3,0.3243243243243243,0.3333333333333333,0.34,0.3026315789473684,0.5,1.0,0.2857142857142857,0.3870967741935484,0.0,0.3076923076923077,0.21875,0.3225806451612903,0.0,0.1111111111111111,0.3673469387755102,0.4545454545454545,0.1785714285714285,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,2.0,78.0,4.588235294117647,1.0,88.90000000000002,5.229411764705883
18,19,,2022-11-25,20-271,WAS,@,MIA,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,27,15,24,26,17,23,3,6,2,24,20,14,20,7,18,5,10,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.4576271186440678,0.3,0.3243243243243243,0.3333333333333333,0.34,0.3026315789473684,0.5,1.0,0.2857142857142857,0.3870967741935484,0.0,0.3076923076923077,0.21875,0.3225806451612903,0.0,0.1111111111111111,0.3673469387755102,0.4545454545454545,0.1785714285714285,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,86.0,5.0588235294117645,0.0,97.2,5.7176470588235295
19,20,,2022-11-27,20-273,WAS,@,BOS,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,27,15,24,26,17,23,3,6,2,24,20,14,20,7,18,5,10,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.4576271186440678,0.3,0.3243243243243243,0.3333333333333333,0.34,0.3026315789473684,0.5,1.0,0.2857142857142857,0.3870967741935484,0.0,0.3076923076923077,0.21875,0.3225806451612903,0.0,0.1111111111111111,0.3673469387755102,0.4545454545454545,0.1785714285714285,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,65.0,3.823529411764706,0.0,97.5,5.735294117647059
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,27,15,24,26,17,23,3,6,2,24,20,14,20,7,18,5,10,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.4576271186440678,0.3,0.3243243243243243,0.3333333333333333,0.34,0.3026315789473684,0.5,1.0,0.2857142857142857,0.3870967741935484,0.0,0.3076923076923077,0.21875,0.3225806451612903,0.0,0.1111111111111111,0.3673469387755102,0.4545454545454545,0.1785714285714285,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,0.0,0.0,0.0,0.0,0.0
21,21,8,2022-11-28,20-274,WAS,,MIN,W (+15),0,4:14,1.0,3.0,.333,0.0,1.0,.000,1,1.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.1,-11,2.0,1.0,0.5,27,15,24,26,17,23,3,6,2,24,20,14,20,7,18,5,10,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.4576271186440678,0.3,0.3243243243243243,0.3333333333333333,0.34,0.3026315789473684,0.5,1.0,0.2857142857142857,0.3870967741935484,0.0,0.3076923076923077,0.21875,0.3225806451612903,0.0,0.1111111111111111,0.3673469387755102,0.4545454545454545,0.1785714285714285,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,-1.0,101.0,5.941176470588236,-0.2999999999999999,122.5,7.205882352941177
22,22,,2022-11-30,20-276,WAS,@,BRK,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,27,15,24,26,17,23,3,6,2,24,20,14,20,7,18,5,10,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.4576271186440678,0.3,0.3243243243243243,0.3333333333333333,0.34,0.3026315789473684,0.5,1.0,0.2857142857142857,0.3870967741935484,0.0,0.3076923076923077,0.21875,0.3225806451612903,0.0,0.1111111111111111,0.3673469387755102,0.4545454545454545,0.1785714285714285,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,17,,51.0,3.0,0.0,68.0,4.0
