Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Gill,Shared Games with Bradley Beal,Shared Games with Corey Kispert,Shared Games with Daniel Gafford,Shared Games with Delon Wright,Shared Games with Deni Avdija,Shared Games with Devon Dotson,Shared Games with Isaiah Todd,Shared Games with Jay Huff,Shared Games with Johnny Davis,Shared Games with Jordan Goodwin,Shared Games with Kristaps Porziņģis,Shared Games with Kyle Kuzma,Shared Games with Monte Morris,Shared Games with Quenton Jackson,Shared Games with Taj Gibson,Shared Games with Vernon Carey Jr.,Shared Games with Will Barton,Anthony Gill,Bradley Beal,Corey Kispert,Daniel Gafford,Delon Wright,Deni Avdija,Devon Dotson,Isaiah Todd,Jay Huff,Johnny Davis,Jordan Goodwin,Jordan Schakel,Kristaps Porziņģis,Kyle Kuzma,Monte Morris,Quenton Jackson,Taj Gibson,Vernon Carey Jr.,Will Barton,Xavier Cooks,co_inf with Anthony Gill,co_inf with Bradley Beal,co_inf with Corey Kispert,co_inf with Daniel Gafford,co_inf with Delon Wright,co_inf with Deni Avdija,co_inf with Devon Dotson,co_inf with Isaiah Todd,co_inf with Jay Huff,co_inf with Johnny Davis,co_inf with Jordan Goodwin,co_inf with Jordan Schakel,co_inf with Kristaps Porziņģis,co_inf with Kyle Kuzma,co_inf with Monte Morris,co_inf with Quenton Jackson,co_inf with Taj Gibson,co_inf with Vernon Carey Jr.,co_inf with Will Barton,co_inf with Xavier Cooks,Shared Games with A.J. Green,Shared Games with A.J. Lawson,Shared Games with Aaron Gordon,Shared Games with Aaron Holiday,Shared Games with Aaron Nesmith,Shared Games with Aaron Wiggins,Shared Games with Admiral Schofield,Shared Games with AJ Griffin,Shared Games with Al Horford,Shared Games with Alec Burks,Shared Games with Aleksej Pokusevski,Shared Games with Alex Len,Shared Games with Alize Johnson,Shared Games with Alperen Şengün,Shared Games with Amir Coffey,Shared Games with Andre Iguodala,Shared Games with Andrew Nembhard,Shared Games with Andrew Wiggins,A.J. Green,A.J. Lawson,Aaron Gordon,Aaron Holiday,Aaron Nesmith,Aaron Wiggins,Admiral Schofield,AJ Griffin,Al Horford,Alec Burks,Aleksej Pokusevski,Alex Caruso,Alex Len,Alize Johnson,Alondes Williams,Alperen Şengün,Amir Coffey,Andre Iguodala,Andrew Nembhard,Andrew Wiggins,Anfernee Simons,Marcus Smart,Rui Hachimura,co_inf with A.J. Green,co_inf with A.J. Lawson,co_inf with Aaron Gordon,co_inf with Aaron Holiday,co_inf with Aaron Nesmith,co_inf with Aaron Wiggins,co_inf with Admiral Schofield,co_inf with AJ Griffin,co_inf with Al Horford,co_inf with Alec Burks,co_inf with Aleksej Pokusevski,co_inf with Alex Caruso,co_inf with Alex Len,co_inf with Alize Johnson,co_inf with Alondes Williams,co_inf with Alperen Şengün,co_inf with Amir Coffey,co_inf with Andre Iguodala,co_inf with Andrew Nembhard,co_inf with Andrew Wiggins,co_inf with Anfernee Simons,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,11,2022-11-07,24-272,WAS,@,CHO,W (+8),0,26:18,6.0,12.0,.500,0.0,0.0,,4,7.0,.571,0.0,3.0,3.0,0.0,0.0,1.0,2.0,1.0,16.0,8.0,+10,12.0,6.0,0.5,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,49.0,11.0,56.0,10.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,49.0,11.0,56.0,10.0,61.0,63.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.0,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,36,-1.0,165.0,4.583333333333333,6.399999999999997,142.0,3.9444444444444446
11,12,12,2022-11-10,24-275,WAS,,DAL,W (+8),0,25:49,9.0,14.0,.643,2.0,4.0,.500,3,3.0,1.000,0.0,8.0,8.0,0.0,0.0,0.0,4.0,2.0,23.0,14.4,+20,10.0,7.0,0.7,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,49.0,11.0,56.0,10.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,49.0,11.0,56.0,10.0,61.0,63.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.0,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,36,10.0,171.0,4.75,13.200000000000005,138.2,3.8388888888888886
12,13,13,2022-11-12,24-277,WAS,,UTA,W (+9),0,28:32,5.0,12.0,.417,1.0,4.0,.250,0,0.0,,0.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,11.0,5.8,-9,8.0,4.0,0.5,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,49.0,11.0,56.0,10.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,49.0,11.0,56.0,10.0,61.0,63.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.0,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,36,4.0,194.0,5.388888888888889,5.799999999999999,192.6,5.35
13,14,14,2022-11-13,24-278,WAS,,MEM,W (+10),0,15:27,1.0,7.0,.143,1.0,2.0,.500,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,-0.6,+5,5.0,0.0,0.0,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,49.0,11.0,56.0,10.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,49.0,11.0,56.0,10.0,61.0,63.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.0,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,36,-1.0,153.0,4.25,-0.5999999999999993,153.0,4.25
14,15,15,2022-11-16,24-281,WAS,,OKC,L (-1),0,17:41,6.0,8.0,.750,2.0,3.0,.667,0,0.0,,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,14.0,15.5,-3,5.0,4.0,0.8,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,49.0,11.0,56.0,10.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,49.0,11.0,56.0,10.0,61.0,63.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.0,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,36,12.0,144.0,4.0,15.499999999999998,157.40000000000003,4.372222222222224
15,16,16,2022-11-18,24-283,WAS,,MIA,W (+1),0,28:25,6.0,11.0,.545,1.0,3.0,.333,0,0.0,,1.0,7.0,8.0,3.0,0.0,0.0,1.0,2.0,13.0,10.8,-2,8.0,5.0,0.625,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,49.0,11.0,56.0,10.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,49.0,11.0,56.0,10.0,61.0,63.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.0,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,36,12.0,134.0,3.7222222222222223,10.800000000000004,132.20000000000002,3.6722222222222225
16,17,,2022-11-20,24-285,WAS,,CHO,W (+4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,49.0,11.0,56.0,10.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,49.0,11.0,56.0,10.0,61.0,63.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.0,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,36,,145.0,4.027777777777778,0.0,153.8,4.272222222222222
17,18,,2022-11-23,24-288,WAS,@,MIA,L (-8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,49.0,11.0,56.0,10.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,49.0,11.0,56.0,10.0,61.0,63.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.0,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,36,,174.0,4.833333333333333,0.0,179.79999999999998,4.994444444444444
18,19,,2022-11-25,24-290,WAS,@,MIA,L (-3),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,49.0,11.0,56.0,10.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,49.0,11.0,56.0,10.0,61.0,63.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.0,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,36,,173.0,4.805555555555555,0.0,197.0,5.472222222222222
19,20,,2022-11-27,24-292,WAS,@,BOS,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,49.0,11.0,56.0,10.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,49.0,11.0,56.0,10.0,61.0,63.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.0,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,36,,141.0,3.9166666666666665,0.0,195.0,5.416666666666667
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,49.0,11.0,56.0,10.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,49.0,11.0,56.0,10.0,61.0,63.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.0,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,36,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-11-28,24-293,WAS,,MIN,W (+15),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,49.0,11.0,56.0,10.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,49.0,11.0,56.0,10.0,61.0,63.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.0,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,36,,227.0,6.305555555555555,0.0,244.4,6.788888888888889
22,22,,2022-11-30,24-295,WAS,@,BRK,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,49.0,11.0,56.0,10.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,49.0,11.0,56.0,10.0,61.0,63.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.0,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,36,,115.0,3.1944444444444446,0.0,136.0,3.7777777777777777
23,23,,2022-12-02,24-297,WAS,@,CHO,L (-1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,49.0,11.0,56.0,10.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,49.0,11.0,56.0,10.0,61.0,63.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.0,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,36,,155.0,4.305555555555555,0.0,167.19999999999996,4.644444444444443
24,24,,2022-12-04,24-299,WAS,,LAL,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,49.0,11.0,56.0,10.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,49.0,11.0,56.0,10.0,61.0,63.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.0,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,36,,152.0,4.222222222222222,0.0,183.2,5.088888888888889
25,25,,2022-12-07,24-302,WAS,@,CHI,L (-4),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,49.0,11.0,56.0,10.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,49.0,11.0,56.0,10.0,61.0,63.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.0,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,36,,138.0,3.8333333333333335,0.0,174.0,4.833333333333333
26,26,,2022-12-09,24-304,WAS,@,IND,L (-10),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,49.0,11.0,56.0,10.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,22,17,22,29,17,28,5,3,3,7,19,27,30,29,3,16,6,22,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,49.0,11.0,56.0,10.0,61.0,63.0,0.3728813559322034,0.34,0.2972972972972973,0.3717948717948718,0.34,0.3684210526315789,0.8333333333333334,0.5,0.4285714285714285,0.25,0.3064516129032258,0.0,0.4153846153846154,0.46875,0.0,0.4677419354838709,0.3333333333333333,0.3265306122448979,0.5454545454545454,0.3928571428571428,0.0,36,,141.0,3.9166666666666665,0.0,174.79999999999998,4.855555555555555
