Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Gill,Shared Games with Bradley Beal,Shared Games with Corey Kispert,Shared Games with Daniel Gafford,Shared Games with Delon Wright,Shared Games with Deni Avdija,Shared Games with Devon Dotson,Shared Games with Johnny Davis,Shared Games with Jordan Goodwin,Shared Games with Kristaps Porziņģis,Shared Games with Kyle Kuzma,Shared Games with Monte Morris,Shared Games with Rui Hachimura,Shared Games with Taj Gibson,Shared Games with Vernon Carey Jr.,Shared Games with Will Barton,Anthony Gill,Bradley Beal,Corey Kispert,Daniel Gafford,Delon Wright,Deni Avdija,Devon Dotson,Jay Huff,Johnny Davis,Jordan Goodwin,Jordan Schakel,Kristaps Porziņģis,Kyle Kuzma,Monte Morris,Quenton Jackson,Rui Hachimura,Taj Gibson,Vernon Carey Jr.,Will Barton,Xavier Cooks,co_inf with Anthony Gill,co_inf with Bradley Beal,co_inf with Corey Kispert,co_inf with Daniel Gafford,co_inf with Delon Wright,co_inf with Deni Avdija,co_inf with Devon Dotson,co_inf with Jay Huff,co_inf with Johnny Davis,co_inf with Jordan Goodwin,co_inf with Jordan Schakel,co_inf with Kristaps Porziņģis,co_inf with Kyle Kuzma,co_inf with Monte Morris,co_inf with Quenton Jackson,co_inf with Rui Hachimura,co_inf with Taj Gibson,co_inf with Vernon Carey Jr.,co_inf with Will Barton,co_inf with Xavier Cooks,A.J. Green,A.J. Lawson,Aaron Gordon,Aaron Holiday,Aaron Nesmith,Aaron Wiggins,Admiral Schofield,AJ Griffin,Al Horford,Alec Burks,Aleksej Pokusevski,Alex Caruso,Alex Len,Alize Johnson,Alondes Williams,Alperen Şengün,Amir Coffey,Andre Drummond,Andre Iguodala,Andrew Nembhard,Andrew Wiggins,Anfernee Simons,Marcus Smart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-07,21-021,WAS,@,CHO,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,6,4,3,5,1,4,2,6,5,4,4,4,3,2,2,4,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.0405405405405405,0.0641025641025641,0.02,0.0526315789473684,0.3333333333333333,0.0,0.2142857142857142,0.0806451612903225,0.0,0.0615384615384615,0.0625,0.064516129032258,0.0,0.0476190476190476,0.0408163265306122,0.1818181818181818,0.0714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,16,,76.0,4.75,0.0,77.39999999999999,4.8374999999999995
11,12,,2022-11-10,21-024,WAS,,DAL,W (+8),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,6,4,3,5,1,4,2,6,5,4,4,4,3,2,2,4,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.0405405405405405,0.0641025641025641,0.02,0.0526315789473684,0.3333333333333333,0.0,0.2142857142857142,0.0806451612903225,0.0,0.0615384615384615,0.0625,0.064516129032258,0.0,0.0476190476190476,0.0408163265306122,0.1818181818181818,0.0714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,16,,94.0,5.875,0.0,80.80000000000001,5.050000000000001
12,13,,2022-11-12,21-026,WAS,,UTA,W (+9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,6,4,3,5,1,4,2,6,5,4,4,4,3,2,2,4,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.0405405405405405,0.0641025641025641,0.02,0.0526315789473684,0.3333333333333333,0.0,0.2142857142857142,0.0806451612903225,0.0,0.0615384615384615,0.0625,0.064516129032258,0.0,0.0476190476190476,0.0408163265306122,0.1818181818181818,0.0714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,16,,92.0,5.75,0.0,102.09999999999998,6.381249999999999
13,14,,2022-11-13,21-027,WAS,,MEM,W (+10),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,6,4,3,5,1,4,2,6,5,4,4,4,3,2,2,4,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.0405405405405405,0.0641025641025641,0.02,0.0526315789473684,0.3333333333333333,0.0,0.2142857142857142,0.0806451612903225,0.0,0.0615384615384615,0.0625,0.064516129032258,0.0,0.0476190476190476,0.0408163265306122,0.1818181818181818,0.0714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,16,,68.0,4.25,0.0,75.89999999999999,4.7437499999999995
14,15,,2022-11-16,21-030,WAS,,OKC,L (-1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,6,4,3,5,1,4,2,6,5,4,4,4,3,2,2,4,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.0405405405405405,0.0641025641025641,0.02,0.0526315789473684,0.3333333333333333,0.0,0.2142857142857142,0.0806451612903225,0.0,0.0615384615384615,0.0625,0.064516129032258,0.0,0.0476190476190476,0.0408163265306122,0.1818181818181818,0.0714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,16,,84.0,5.25,0.0,94.20000000000002,5.887500000000001
15,16,,2022-11-18,21-032,WAS,,MIA,W (+1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,6,4,3,5,1,4,2,6,5,4,4,4,3,2,2,4,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.0405405405405405,0.0641025641025641,0.02,0.0526315789473684,0.3333333333333333,0.0,0.2142857142857142,0.0806451612903225,0.0,0.0615384615384615,0.0625,0.064516129032258,0.0,0.0476190476190476,0.0408163265306122,0.1818181818181818,0.0714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,16,,79.0,4.9375,0.0,76.90000000000002,4.806250000000001
16,17,,2022-11-20,21-034,WAS,,CHO,W (+4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,6,4,3,5,1,4,2,6,5,4,4,4,3,2,2,4,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.0405405405405405,0.0641025641025641,0.02,0.0526315789473684,0.3333333333333333,0.0,0.2142857142857142,0.0806451612903225,0.0,0.0615384615384615,0.0625,0.064516129032258,0.0,0.0476190476190476,0.0408163265306122,0.1818181818181818,0.0714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,16,,69.0,4.3125,0.0,75.5,4.71875
17,18,,2022-11-23,21-037,WAS,@,MIA,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,6,4,3,5,1,4,2,6,5,4,4,4,3,2,2,4,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.0405405405405405,0.0641025641025641,0.02,0.0526315789473684,0.3333333333333333,0.0,0.2142857142857142,0.0806451612903225,0.0,0.0615384615384615,0.0625,0.064516129032258,0.0,0.0476190476190476,0.0408163265306122,0.1818181818181818,0.0714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,16,,80.0,5.0,0.0,75.00000000000001,4.687500000000001
18,19,,2022-11-25,21-039,WAS,@,MIA,L (-3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,6,4,3,5,1,4,2,6,5,4,4,4,3,2,2,4,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.0405405405405405,0.0641025641025641,0.02,0.0526315789473684,0.3333333333333333,0.0,0.2142857142857142,0.0806451612903225,0.0,0.0615384615384615,0.0625,0.064516129032258,0.0,0.0476190476190476,0.0408163265306122,0.1818181818181818,0.0714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,16,,86.0,5.375,0.0,81.6,5.1
19,20,,2022-11-27,21-041,WAS,@,BOS,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,6,4,3,5,1,4,2,6,5,4,4,4,3,2,2,4,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.0405405405405405,0.0641025641025641,0.02,0.0526315789473684,0.3333333333333333,0.0,0.2142857142857142,0.0806451612903225,0.0,0.0615384615384615,0.0625,0.064516129032258,0.0,0.0476190476190476,0.0408163265306122,0.1818181818181818,0.0714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,16,,65.0,4.0625,0.0,89.3,5.58125
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,6,4,3,5,1,4,2,6,5,4,4,4,3,2,2,4,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.0405405405405405,0.0641025641025641,0.02,0.0526315789473684,0.3333333333333333,0.0,0.2142857142857142,0.0806451612903225,0.0,0.0615384615384615,0.0625,0.064516129032258,0.0,0.0476190476190476,0.0408163265306122,0.1818181818181818,0.0714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,16,,0.0,0.0,0.0,0.0,0.0
21,21,4,2022-11-28,21-042,WAS,,MIN,W (+15),0,3:47,0.0,1.0,.000,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-11,0.0,0.0,,6,4,3,5,1,4,2,6,5,4,4,4,3,2,2,4,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.0405405405405405,0.0641025641025641,0.02,0.0526315789473684,0.3333333333333333,0.0,0.2142857142857142,0.0806451612903225,0.0,0.0615384615384615,0.0625,0.064516129032258,0.0,0.0476190476190476,0.0408163265306122,0.1818181818181818,0.0714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,16,-1.0,101.0,6.3125,-0.7,122.9,7.68125
22,22,,2022-11-30,21-044,WAS,@,BRK,L (-6),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,6,4,3,5,1,4,2,6,5,4,4,4,3,2,2,4,59.0,50.0,74.0,78.0,50.0,76.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,0.1016949152542373,0.08,0.0405405405405405,0.0641025641025641,0.02,0.0526315789473684,0.3333333333333333,0.0,0.2142857142857142,0.0806451612903225,0.0,0.0615384615384615,0.0625,0.064516129032258,0.0,0.0476190476190476,0.0408163265306122,0.1818181818181818,0.0714285714285714,0.0,59.0,50.0,74.0,78.0,50.0,76.0,6.0,6.0,7.0,28.0,62.0,2.0,65.0,64.0,61.0,62.0,9.0,63.0,49.0,11.0,56.0,10.0,61.0,16,,51.0,3.1875,0.0,68.0,4.25
