Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cam Reddish,Shared Games with Derrick Rose,Shared Games with Evan Fournier,Shared Games with Immanuel Quickley,Shared Games with Isaiah Hartenstein,Shared Games with Jalen Brunson,Shared Games with Julius Randle,Shared Games with Miles McBride,Shared Games with Mitchell Robinson,Shared Games with Obi Toppin,Shared Games with Quentin Grimes,Shared Games with RJ Barrett,Shared Games with Ryan Arcidiacono,Shared Games with Svi Mykhailiuk,Shared Games with Trevor Keels,Cam Reddish,DaQuan Jeffries,Derrick Rose,Evan Fournier,Feron Hunt,Immanuel Quickley,Isaiah Hartenstein,Jalen Brunson,Julius Randle,Miles McBride,Mitchell Robinson,Obi Toppin,Quentin Grimes,RJ Barrett,Ryan Arcidiacono,Svi Mykhailiuk,Trevor Keels,co_inf with Cam Reddish,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Isaiah Hartenstein,co_inf with Jalen Brunson,co_inf with Julius Randle,co_inf with Miles McBride,co_inf with Mitchell Robinson,co_inf with Obi Toppin,co_inf with Quentin Grimes,co_inf with RJ Barrett,co_inf with Ryan Arcidiacono,co_inf with Svi Mykhailiuk,co_inf with Trevor Keels,Shared Games with Moses Brown,Shared Games with Josh Hart,Blake Griffin,Duane Washington Jr.,Isaiah Roby,Josh Hart,co_inf with Blake Griffin,co_inf with Duane Washington Jr.,co_inf with Isaiah Roby,co_inf with Josh Hart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,6,2022-11-09,24-020,NYK,@,BRK,L (-27),1,26:37,3.0,3.0,1.000,0.0,0.0,,1,2.0,.500,3.0,3.0,6.0,0.0,1.0,3.0,0.0,3.0,7.0,10.6,-7,3.0,3.0,1.0,13,20,19,51,52,45,50,45,29,37,45,45,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.7407407407407407,0.7037037037037037,,0.6296296296296297,0.6341463414634146,0.6617647058823529,0.6493506493506493,0.703125,0.4915254237288136,0.5522388059701493,0.6338028169014085,0.6164383561643836,0.55,0.40625,0.6666666666666666,7,9,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.1184210526315789,17,12.0,29.0,1.7058823529411764,10.2,35.39999999999999,2.0823529411764703
11,12,7,2022-11-11,24-022,NYK,,DET,W (+9),0,8:07,1.0,1.0,1.000,0.0,0.0,,0,0.0,,2.0,2.0,4.0,0.0,0.0,1.0,1.0,4.0,2.0,1.8,+1,1.0,1.0,1.0,13,20,19,51,52,45,50,45,29,37,45,45,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.7407407407407407,0.7037037037037037,,0.6296296296296297,0.6341463414634146,0.6617647058823529,0.6493506493506493,0.703125,0.4915254237288136,0.5522388059701493,0.6338028169014085,0.6164383561643836,0.55,0.40625,0.6666666666666666,7,9,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.1184210526315789,17,5.0,71.0,4.176470588235294,1.7999999999999994,92.5,5.4411764705882355
12,13,8,2022-11-13,24-024,NYK,,OKC,L (-10),0,25:07,4.0,4.0,1.000,0.0,0.0,,0,0.0,,3.0,5.0,8.0,1.0,0.0,0.0,0.0,2.0,8.0,10.3,+9,4.0,4.0,1.0,13,20,19,51,52,45,50,45,29,37,45,45,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.7407407407407407,0.7037037037037037,,0.6296296296296297,0.6341463414634146,0.6617647058823529,0.6493506493506493,0.703125,0.4915254237288136,0.5522388059701493,0.6338028169014085,0.6164383561643836,0.55,0.40625,0.6666666666666666,7,9,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.1184210526315789,17,13.0,56.0,3.294117647058824,10.299999999999995,65.80000000000001,3.870588235294118
13,14,9,2022-11-15,24-026,NYK,@,UTA,W (+7),0,24:34,5.0,7.0,.714,0.0,0.0,,1,1.0,1.000,8.0,5.0,13.0,2.0,1.0,0.0,0.0,5.0,11.0,15.6,-3,7.0,5.0,0.7142857142857143,13,20,19,51,52,45,50,45,29,37,45,45,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.7407407407407407,0.7037037037037037,,0.6296296296296297,0.6341463414634146,0.6617647058823529,0.6493506493506493,0.703125,0.4915254237288136,0.5522388059701493,0.6338028169014085,0.6164383561643836,0.55,0.40625,0.6666666666666666,7,9,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.1184210526315789,17,19.0,65.0,3.823529411764706,15.200000000000005,70.49999999999999,4.147058823529411
14,15,10,2022-11-16,24-027,NYK,@,DEN,W (+3),0,18:48,2.0,3.0,.667,0.0,0.0,,0,0.0,,1.0,5.0,6.0,2.0,3.0,2.0,0.0,0.0,4.0,10.7,-2,3.0,2.0,0.6666666666666666,13,20,19,51,52,45,50,45,29,37,45,45,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.7407407407407407,0.7037037037037037,,0.6296296296296297,0.6341463414634146,0.6617647058823529,0.6493506493506493,0.703125,0.4915254237288136,0.5522388059701493,0.6338028169014085,0.6164383561643836,0.55,0.40625,0.6666666666666666,7,9,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.1184210526315789,17,14.0,59.0,3.4705882352941178,10.7,72.0,4.235294117647059
15,16,11,2022-11-18,24-029,NYK,@,GSW,L (-10),0,27:15,4.0,7.0,.571,0.0,0.0,,2,2.0,1.000,5.0,5.0,10.0,0.0,0.0,3.0,2.0,3.0,10.0,10.6,+3,7.0,4.0,0.5714285714285714,13,20,19,51,52,45,50,45,29,37,45,45,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.7407407407407407,0.7037037037037037,,0.6296296296296297,0.6341463414634146,0.6617647058823529,0.6493506493506493,0.703125,0.4915254237288136,0.5522388059701493,0.6338028169014085,0.6164383561643836,0.55,0.40625,0.6666666666666666,7,9,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.1184210526315789,17,12.0,45.0,2.647058823529412,9.800000000000004,56.4,3.317647058823529
16,17,12,2022-11-20,24-031,NYK,@,PHO,L (-21),0,16:00,1.0,2.0,.500,0.0,0.0,,3,4.0,.750,3.0,2.0,5.0,1.0,0.0,1.0,1.0,3.0,5.0,5.5,-10,2.0,1.0,0.5,13,20,19,51,52,45,50,45,29,37,45,45,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.7407407407407407,0.7037037037037037,,0.6296296296296297,0.6341463414634146,0.6617647058823529,0.6493506493506493,0.703125,0.4915254237288136,0.5522388059701493,0.6338028169014085,0.6164383561643836,0.55,0.40625,0.6666666666666666,7,9,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.1184210526315789,17,5.0,64.0,3.764705882352941,4.299999999999998,73.89999999999999,4.347058823529411
17,18,13,2022-11-21,24-032,NYK,@,OKC,W (+10),0,15:12,3.0,5.0,.600,0.0,0.0,,0,0.0,,3.0,4.0,7.0,0.0,0.0,1.0,1.0,3.0,6.0,5.5,-1,5.0,3.0,0.6,13,20,19,51,52,45,50,45,29,37,45,45,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.7407407407407407,0.7037037037037037,,0.6296296296296297,0.6341463414634146,0.6617647058823529,0.6493506493506493,0.703125,0.4915254237288136,0.5522388059701493,0.6338028169014085,0.6164383561643836,0.55,0.40625,0.6666666666666666,7,9,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.1184210526315789,17,8.0,93.0,5.470588235294118,5.499999999999999,98.0,5.764705882352941
18,19,14,2022-11-25,24-036,NYK,,POR,L (-3),0,12:36,2.0,3.0,.667,0.0,0.0,,1,1.0,1.000,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,5.0,5.7,-7,3.0,2.0,0.6666666666666666,13,20,19,51,52,45,50,45,29,37,45,45,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.7407407407407407,0.7037037037037037,,0.6296296296296297,0.6341463414634146,0.6617647058823529,0.6493506493506493,0.703125,0.4915254237288136,0.5522388059701493,0.6338028169014085,0.6164383561643836,0.55,0.40625,0.6666666666666666,7,9,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.1184210526315789,17,5.0,88.0,5.176470588235294,5.3,92.7,5.452941176470588
19,20,,2022-11-27,24-038,NYK,,MEM,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,13,20,19,51,52,45,50,45,29,37,45,45,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.7407407407407407,0.7037037037037037,,0.6296296296296297,0.6341463414634146,0.6617647058823529,0.6493506493506493,0.703125,0.4915254237288136,0.5522388059701493,0.6338028169014085,0.6164383561643836,0.55,0.40625,0.6666666666666666,7,9,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.1184210526315789,17,,85.0,5.0,0.0,94.9,5.582352941176471
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,13,20,19,51,52,45,50,45,29,37,45,45,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.7407407407407407,0.7037037037037037,,0.6296296296296297,0.6341463414634146,0.6617647058823529,0.6493506493506493,0.703125,0.4915254237288136,0.5522388059701493,0.6338028169014085,0.6164383561643836,0.55,0.40625,0.6666666666666666,7,9,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.1184210526315789,17,,0.0,0.0,0.0,0.0,0.0
21,21,15,2022-11-29,24-040,NYK,@,DET,W (+30),0,6:15,3.0,3.0,1.000,0.0,0.0,,0,0.0,,2.0,4.0,6.0,1.0,0.0,0.0,1.0,0.0,6.0,7.4,+1,3.0,3.0,1.0,13,20,19,51,52,45,50,45,29,37,45,45,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.7407407407407407,0.7037037037037037,,0.6296296296296297,0.6341463414634146,0.6617647058823529,0.6493506493506493,0.703125,0.4915254237288136,0.5522388059701493,0.6338028169014085,0.6164383561643836,0.55,0.40625,0.6666666666666666,7,9,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.1184210526315789,17,9.0,114.0,6.705882352941177,7.399999999999999,121.3,7.135294117647058
22,22,,2022-11-30,24-041,NYK,,MIL,L (-6),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,13,20,19,51,52,45,50,45,29,37,45,45,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.7407407407407407,0.7037037037037037,,0.6296296296296297,0.6341463414634146,0.6617647058823529,0.6493506493506493,0.703125,0.4915254237288136,0.5522388059701493,0.6338028169014085,0.6164383561643836,0.55,0.40625,0.6666666666666666,7,9,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.1184210526315789,17,,60.0,3.5294117647058822,0.0,66.39999999999999,3.905882352941176
23,23,16,2022-12-03,24-044,NYK,,DAL,L (-21),0,8:27,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,2.2,+3,1.0,1.0,1.0,13,20,19,51,52,45,50,45,29,37,45,45,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.7407407407407407,0.7037037037037037,,0.6296296296296297,0.6341463414634146,0.6617647058823529,0.6493506493506493,0.703125,0.4915254237288136,0.5522388059701493,0.6338028169014085,0.6164383561643836,0.55,0.40625,0.6666666666666666,7,9,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.1184210526315789,17,4.0,58.0,3.411764705882353,2.2,60.7,3.570588235294118
24,24,,2022-12-04,24-045,NYK,,CLE,W (+11),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,13,20,19,51,52,45,50,45,29,37,45,45,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.7407407407407407,0.7037037037037037,,0.6296296296296297,0.6341463414634146,0.6617647058823529,0.6493506493506493,0.703125,0.4915254237288136,0.5522388059701493,0.6338028169014085,0.6164383561643836,0.55,0.40625,0.6666666666666666,7,9,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.1184210526315789,17,,62.0,3.647058823529412,0.0,67.49999999999999,3.970588235294117
25,25,17,2022-12-07,24-048,NYK,,ATL,W (+24),0,5:00,2.0,2.0,1.000,0.0,0.0,,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,2.6,+1,2.0,2.0,1.0,13,20,19,51,52,45,50,45,29,37,45,45,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.7407407407407407,0.7037037037037037,,0.6296296296296297,0.6341463414634146,0.6617647058823529,0.6493506493506493,0.703125,0.4915254237288136,0.5522388059701493,0.6338028169014085,0.6164383561643836,0.55,0.40625,0.6666666666666666,7,9,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.1184210526315789,17,3.0,100.0,5.882352941176471,2.6,90.4,5.31764705882353
26,26,18,2022-12-09,24-050,NYK,@,CHO,W (+19),0,12:27,1.0,2.0,.500,0.0,0.0,,0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.3,+2,2.0,1.0,0.5,13,20,19,51,52,45,50,45,29,37,45,45,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.7407407407407407,0.7037037037037037,,0.6296296296296297,0.6341463414634146,0.6617647058823529,0.6493506493506493,0.703125,0.4915254237288136,0.5522388059701493,0.6338028169014085,0.6164383561643836,0.55,0.40625,0.6666666666666666,7,9,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.1184210526315789,17,3.0,105.0,6.176470588235294,2.3,100.59999999999998,5.917647058823528
27,27,19,2022-12-11,24-052,NYK,,SAC,W (+13),0,8:10,0.0,0.0,,0.0,0.0,,0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2,-1,0.0,0.0,,13,20,19,51,52,45,50,45,29,37,45,45,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.7407407407407407,0.7037037037037037,,0.6296296296296297,0.6341463414634146,0.6617647058823529,0.6493506493506493,0.703125,0.4915254237288136,0.5522388059701493,0.6338028169014085,0.6164383561643836,0.55,0.40625,0.6666666666666666,7,9,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.1184210526315789,17,4.0,91.0,5.352941176470588,1.1999999999999995,84.9,4.9941176470588236
28,28,20,2022-12-14,24-055,NYK,@,CHI,W (+8),0,8:11,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,+7,1.0,1.0,1.0,13,20,19,51,52,45,50,45,29,37,45,45,11,13,2,40.0,,27.0,27.0,,81.0,82.0,68.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.325,,0.7407407407407407,0.7037037037037037,,0.6296296296296297,0.6341463414634146,0.6617647058823529,0.6493506493506493,0.703125,0.4915254237288136,0.5522388059701493,0.6338028169014085,0.6164383561643836,0.55,0.40625,0.6666666666666666,7,9,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.1184210526315789,17,2.0,97.0,5.705882352941177,2.0,99.7,5.864705882352942
