Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Damian Jones,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with Kendrick Nunn,Shared Games with LeBron James,Shared Games with Lonnie Walker IV,Shared Games with Matt Ryan,Shared Games with Patrick Beverley,Shared Games with Russell Westbrook,Shared Games with Scotty Pippen Jr.,Shared Games with Thomas Bryant,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Anthony Davis,Austin Reaves,Cole Swider,Damian Jones,Dennis Schröder,Juan Toscano-Anderson,Kendrick Nunn,LeBron James,Lonnie Walker IV,Matt Ryan,Patrick Beverley,Russell Westbrook,Scotty Pippen Jr.,Sterling Brown,Thomas Bryant,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Damian Jones,co_inf with Dennis Schröder,co_inf with Juan Toscano-Anderson,co_inf with Kendrick Nunn,co_inf with LeBron James,co_inf with Lonnie Walker IV,co_inf with Matt Ryan,co_inf with Patrick Beverley,co_inf with Russell Westbrook,co_inf with Scotty Pippen Jr.,co_inf with Sterling Brown,co_inf with Thomas Bryant,co_inf with Tristan Thompson,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel,Shared Games with Davon Reed,Shared Games with D'Angelo Russell,Shared Games with Jarred Vanderbilt,Shared Games with Malik Beasley,Shared Games with Mo Bamba,D'Angelo Russell,Davon Reed,Jarred Vanderbilt,Malik Beasley,Mo Bamba,Onyeka Okongwu,Shaquille Harrison,co_inf with Davon Reed,co_inf with D'Angelo Russell,co_inf with Jarred Vanderbilt,co_inf with Malik Beasley,co_inf with Mo Bamba,co_inf with Onyeka Okongwu,co_inf with Shaquille Harrison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,6.0,2022-11-09,19-272,LAL,LAC,0,14.466666666666669,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,3.0,2.4,-8,0.0,0.0,,20,26,7,16,31,25,25,28,25,8,25,30,6,24,36,37,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.3571428571428571,0.40625,1.0,0.3902439024390244,0.4696969696969697,0.4807692307692308,0.3571428571428571,0.509090909090909,0.4464285714285714,0.2352941176470588,0.373134328358209,0.410958904109589,1.0,0.0,0.4067796610169492,,0.4736842105263157,0.5441176470588235,2,3,7,7,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0465116279069767,0.0422535211267605,0.0897435897435897,0.0864197530864197,0.0612244897959183,0.0,0.0,21,6.0,75.0,3.571428571428572,2.4000000000000004,81.99999999999999,3.904761904761904,7.4,0.6,-3.1,-3.2,0.0,0.0133222314737718,0.566,0.585,0.151,-0.1,0.1,L (-13),L (-13)
12.0,7.0,2022-11-11,19-274,LAL,SAC,0,16.716666666666665,2.0,5.0,.400,2.0,5.0,.400,1,2.0,.500,0.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,7.0,6.4,+8,0.0,0.0,,20,26,7,16,31,25,25,28,25,8,25,30,6,24,36,37,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.3571428571428571,0.40625,1.0,0.3902439024390244,0.4696969696969697,0.4807692307692308,0.3571428571428571,0.509090909090909,0.4464285714285714,0.2352941176470588,0.373134328358209,0.410958904109589,1.0,0.0,0.4067796610169492,,0.4736842105263157,0.5441176470588235,2,3,7,7,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0465116279069767,0.0422535211267605,0.0897435897435897,0.0864197530864197,0.0612244897959183,0.0,0.0,21,6.0,78.0,3.7142857142857135,5.999999999999999,87.09999999999998,4.147619047619047,7.4,0.6,-3.1,-3.2,0.0,0.0133222314737718,0.566,0.585,0.151,-0.1,0.1,L (-6),L (-6)
13.0,8.0,2022-11-13,19-276,LAL,BRK,0,20.65,0.0,1.0,.000,0.0,0.0,,0,0.0,,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,+1,1.0,0.0,0.0,20,26,7,16,31,25,25,28,25,8,25,30,6,24,36,37,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.3571428571428571,0.40625,1.0,0.3902439024390244,0.4696969696969697,0.4807692307692308,0.3571428571428571,0.509090909090909,0.4464285714285714,0.2352941176470588,0.373134328358209,0.410958904109589,1.0,0.0,0.4067796610169492,,0.4736842105263157,0.5441176470588235,2,3,7,7,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0465116279069767,0.0422535211267605,0.0897435897435897,0.0864197530864197,0.0612244897959183,0.0,0.0,21,8.0,82.0,3.9047619047619047,2.0,102.89999999999998,4.899999999999999,7.4,0.6,-3.1,-3.2,0.0,0.0133222314737718,0.566,0.585,0.151,-0.1,0.1,W (+13),W (+13)
14.0,,2022-11-18,19-281,LAL,DET,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,20,26,7,16,31,25,25,28,25,8,25,30,6,24,36,37,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.3571428571428571,0.40625,1.0,0.3902439024390244,0.4696969696969697,0.4807692307692308,0.3571428571428571,0.509090909090909,0.4464285714285714,0.2352941176470588,0.373134328358209,0.410958904109589,1.0,0.0,0.4067796610169492,,0.4736842105263157,0.5441176470588235,2,3,7,7,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0465116279069767,0.0422535211267605,0.0897435897435897,0.0864197530864197,0.0612244897959183,0.0,0.0,21,,123.0,5.857142857142857,0.0,141.6,6.742857142857143,7.4,0.6,-3.1,-3.2,0.0,0.0133222314737718,0.566,0.585,0.151,-0.1,0.1,W (+7),W (+7)
15.0,,2022-11-20,19-283,LAL,SAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,20,26,7,16,31,25,25,28,25,8,25,30,6,24,36,37,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.3571428571428571,0.40625,1.0,0.3902439024390244,0.4696969696969697,0.4807692307692308,0.3571428571428571,0.509090909090909,0.4464285714285714,0.2352941176470588,0.373134328358209,0.410958904109589,1.0,0.0,0.4067796610169492,,0.4736842105263157,0.5441176470588235,2,3,7,7,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0465116279069767,0.0422535211267605,0.0897435897435897,0.0864197530864197,0.0612244897959183,0.0,0.0,21,,113.0,5.380952380952381,0.0,109.4,5.20952380952381,7.4,0.6,-3.1,-3.2,0.0,0.0133222314737718,0.566,0.585,0.151,-0.1,0.1,W (+31),W (+31)
16.0,,2022-11-22,19-285,LAL,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,20,26,7,16,31,25,25,28,25,8,25,30,6,24,36,37,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.3571428571428571,0.40625,1.0,0.3902439024390244,0.4696969696969697,0.4807692307692308,0.3571428571428571,0.509090909090909,0.4464285714285714,0.2352941176470588,0.373134328358209,0.410958904109589,1.0,0.0,0.4067796610169492,,0.4736842105263157,0.5441176470588235,2,3,7,7,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0465116279069767,0.0422535211267605,0.0897435897435897,0.0864197530864197,0.0612244897959183,0.0,0.0,21,,75.0,3.571428571428572,0.0,92.1,4.385714285714285,7.4,0.6,-3.1,-3.2,0.0,0.0133222314737718,0.566,0.585,0.151,-0.1,0.1,L (-10),L (-10)
17.0,9.0,2022-11-25,19-288,LAL,SAS,0,1.6166666666666667,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0.0,0.0,,20,26,7,16,31,25,25,28,25,8,25,30,6,24,36,37,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.3571428571428571,0.40625,1.0,0.3902439024390244,0.4696969696969697,0.4807692307692308,0.3571428571428571,0.509090909090909,0.4464285714285714,0.2352941176470588,0.373134328358209,0.410958904109589,1.0,0.0,0.4067796610169492,,0.4736842105263157,0.5441176470588235,2,3,7,7,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0465116279069767,0.0422535211267605,0.0897435897435897,0.0864197530864197,0.0612244897959183,0.0,0.0,21,0.0,129.0,6.142857142857143,0.0,124.89999999999998,5.947619047619047,7.4,0.6,-3.1,-3.2,0.0,0.0133222314737718,0.566,0.585,0.151,-0.1,0.1,W (+11),W (+11)
18.0,,2022-11-26,19-289,LAL,SAS,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,26,7,16,31,25,25,28,25,8,25,30,6,24,36,37,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.3571428571428571,0.40625,1.0,0.3902439024390244,0.4696969696969697,0.4807692307692308,0.3571428571428571,0.509090909090909,0.4464285714285714,0.2352941176470588,0.373134328358209,0.410958904109589,1.0,0.0,0.4067796610169492,,0.4736842105263157,0.5441176470588235,2,3,7,7,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0465116279069767,0.0422535211267605,0.0897435897435897,0.0864197530864197,0.0612244897959183,0.0,0.0,21,,125.0,5.9523809523809526,0.0,142.39999999999998,6.78095238095238,7.4,0.6,-3.1,-3.2,0.0,0.0133222314737718,0.566,0.585,0.151,-0.1,0.1,W (+5),W (+5)
19.0,,2022-11-28,19-291,LAL,IND,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,26,7,16,31,25,25,28,25,8,25,30,6,24,36,37,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.3571428571428571,0.40625,1.0,0.3902439024390244,0.4696969696969697,0.4807692307692308,0.3571428571428571,0.509090909090909,0.4464285714285714,0.2352941176470588,0.373134328358209,0.410958904109589,1.0,0.0,0.4067796610169492,,0.4736842105263157,0.5441176470588235,2,3,7,7,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0465116279069767,0.0422535211267605,0.0897435897435897,0.0864197530864197,0.0612244897959183,0.0,0.0,21,,106.0,5.047619047619048,0.0,97.5,4.642857142857143,7.4,0.6,-3.1,-3.2,0.0,0.0133222314737718,0.566,0.585,0.151,-0.1,0.1,L (-1),L (-1)
20.0,10.0,2022-11-30,19-293,LAL,POR,0,18.666666666666668,1.0,6.0,.167,1.0,5.0,.200,0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,-0.2,+8,1.0,0.0,0.0,20,26,7,16,31,25,25,28,25,8,25,30,6,24,36,37,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.3571428571428571,0.40625,1.0,0.3902439024390244,0.4696969696969697,0.4807692307692308,0.3571428571428571,0.509090909090909,0.4464285714285714,0.2352941176470588,0.373134328358209,0.410958904109589,1.0,0.0,0.4067796610169492,,0.4736842105263157,0.5441176470588235,2,3,7,7,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0465116279069767,0.0422535211267605,0.0897435897435897,0.0864197530864197,0.0612244897959183,0.0,0.0,21,-1.0,114.0,5.428571428571429,-0.1999999999999998,133.1,6.338095238095238,7.4,0.6,-3.1,-3.2,0.0,0.0133222314737718,0.566,0.585,0.151,-0.1,0.1,W (+19),W (+19)
21.0,,2022-12-02,19-295,LAL,MIL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,26,7,16,31,25,25,28,25,8,25,30,6,24,36,37,56.0,64.0,7.0,41.0,66.0,52.0,70.0,55.0,56.0,34.0,67.0,73.0,6.0,4.0,59.0,,76.0,68.0,0.3571428571428571,0.40625,1.0,0.3902439024390244,0.4696969696969697,0.4807692307692308,0.3571428571428571,0.509090909090909,0.4464285714285714,0.2352941176470588,0.373134328358209,0.410958904109589,1.0,0.0,0.4067796610169492,,0.4736842105263157,0.5441176470588235,2,3,7,7,3,71.0,43.0,78.0,81.0,49.0,80.0,5.0,0.0465116279069767,0.0422535211267605,0.0897435897435897,0.0864197530864197,0.0612244897959183,0.0,0.0,21,,102.0,4.857142857142857,0.0,125.7,5.985714285714286,7.4,0.6,-3.1,-3.2,0.0,0.0133222314737718,0.566,0.585,0.151,-0.1,0.1,,
