Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Blake Wesley,Shared Games with Charles Bassey,Shared Games with Devin Vassell,Shared Games with Dominick Barlow,Shared Games with Gorgui Dieng,Shared Games with Isaiah Roby,Shared Games with Jakob Poeltl,Shared Games with Jeremy Sochan,Shared Games with Josh Richardson,Shared Games with Keita Bates-Diop,Shared Games with Keldon Johnson,Shared Games with Malaki Branham,Shared Games with Romeo Langford,Shared Games with Stanley Johnson,Shared Games with Tre Jones,Shared Games with Zach Collins,Alize Johnson,Blake Wesley,Charles Bassey,Devin Vassell,Dominick Barlow,Gorgui Dieng,Isaiah Roby,Jakob Poeltl,Jeremy Sochan,Jordan Hall,Josh Richardson,Joshua Primo,Keita Bates-Diop,Keldon Johnson,Malaki Branham,Romeo Langford,Stanley Johnson,Tre Jones,Zach Collins,co_inf with Alize Johnson,co_inf with Blake Wesley,co_inf with Charles Bassey,co_inf with Devin Vassell,co_inf with Dominick Barlow,co_inf with Gorgui Dieng,co_inf with Isaiah Roby,co_inf with Jakob Poeltl,co_inf with Jeremy Sochan,co_inf with Jordan Hall,co_inf with Josh Richardson,co_inf with Joshua Primo,co_inf with Keita Bates-Diop,co_inf with Keldon Johnson,co_inf with Malaki Branham,co_inf with Romeo Langford,co_inf with Stanley Johnson,co_inf with Tre Jones,co_inf with Zach Collins,Shared Games with Devonte' Graham,Shared Games with Julian Champagnie,Shared Games with Sandro Mamukelashvili,Devonte' Graham,Julian Champagnie,Justin Jackson,Khem Birch,Sandro Mamukelashvili,co_inf with Devonte' Graham,co_inf with Julian Champagnie,co_inf with Justin Jackson,co_inf with Khem Birch,co_inf with Sandro Mamukelashvili,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,11.0,2022-11-07,30-308,SAS,DEN,0,19.066666666666663,3.0,7.0,.429,1.0,4.0,.250,2,3.0,.667,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,5.5,-1,3.0,2.0,0.6666666666666666,24,27,29,17,26,35,42,47,39,51,51,50,32,26,53,50,4.0,37.0,35.0,38.0,28.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.7714285714285715,0.7631578947368421,0.6071428571428571,0.8387096774193549,0.8333333333333334,0.5833333333333334,0.8392857142857143,0.0,0.6,0.0,0.7611940298507462,0.8095238095238095,0.7575757575757576,0.7441860465116279,0.8666666666666667,0.7794117647058824,0.7936507936507936,11,9,11,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.5294117647058824,0.0,0.0,0.2558139534883721,19,1.0,69.0,3.631578947368421,4.699999999999999,72.0,3.789473684210526,11.2,1.0,-3.2,-0.7,-2.5,0.0705577732225698,0.59,0.57,0.134,-0.4,1.0,L (-6),L (-6)
12.0,12.0,2022-11-09,30-310,SAS,MEM,0,23.53333333333333,4.0,9.0,.444,1.0,5.0,.200,0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,9.0,5.1,+10,4.0,3.0,0.75,24,27,29,17,26,35,42,47,39,51,51,50,32,26,53,50,4.0,37.0,35.0,38.0,28.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.7714285714285715,0.7631578947368421,0.6071428571428571,0.8387096774193549,0.8333333333333334,0.5833333333333334,0.8392857142857143,0.0,0.6,0.0,0.7611940298507462,0.8095238095238095,0.7575757575757576,0.7441860465116279,0.8666666666666667,0.7794117647058824,0.7936507936507936,11,9,11,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.5294117647058824,0.0,0.0,0.2558139534883721,19,4.0,51.0,2.6842105263157894,5.1,60.6,3.1894736842105265,11.2,1.0,-3.2,-0.7,-2.5,0.0705577732225698,0.59,0.57,0.134,-0.4,1.0,L (-2),L (-2)
13.0,13.0,2022-11-11,30-312,SAS,MIL,0,23.78333333333333,4.0,7.0,.571,2.0,3.0,.667,0,0.0,,1.0,2.0,3.0,1.0,0.0,0.0,3.0,2.0,10.0,4.9,+6,4.0,2.0,0.5,24,27,29,17,26,35,42,47,39,51,51,50,32,26,53,50,4.0,37.0,35.0,38.0,28.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.7714285714285715,0.7631578947368421,0.6071428571428571,0.8387096774193549,0.8333333333333334,0.5833333333333334,0.8392857142857143,0.0,0.6,0.0,0.7611940298507462,0.8095238095238095,0.7575757575757576,0.7441860465116279,0.8666666666666667,0.7794117647058824,0.7936507936507936,11,9,11,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.5294117647058824,0.0,0.0,0.2558139534883721,19,4.0,58.0,3.0526315789473686,4.9,66.2,3.4842105263157896,11.2,1.0,-3.2,-0.7,-2.5,0.0705577732225698,0.59,0.57,0.134,-0.4,1.0,W (+18),W (+18)
14.0,14.0,2022-11-14,30-315,SAS,GSW,0,22.6,2.0,6.0,.333,2.0,5.0,.400,1,2.0,.500,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,7.0,2.9,-22,1.0,0.0,0.0,24,27,29,17,26,35,42,47,39,51,51,50,32,26,53,50,4.0,37.0,35.0,38.0,28.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.7714285714285715,0.7631578947368421,0.6071428571428571,0.8387096774193549,0.8333333333333334,0.5833333333333334,0.8392857142857143,0.0,0.6,0.0,0.7611940298507462,0.8095238095238095,0.7575757575757576,0.7441860465116279,0.8666666666666667,0.7794117647058824,0.7936507936507936,11,9,11,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.5294117647058824,0.0,0.0,0.2558139534883721,19,-1.0,18.0,0.9473684210526316,2.500000000000001,36.0,1.894736842105263,11.2,1.0,-3.2,-0.7,-2.5,0.0705577732225698,0.59,0.57,0.134,-0.4,1.0,L (-37),L (-37)
15.0,15.0,2022-11-15,30-316,SAS,POR,0,17.233333333333334,2.0,8.0,.250,1.0,5.0,.200,1,1.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,-2.0,-12,3.0,1.0,0.3333333333333333,24,27,29,17,26,35,42,47,39,51,51,50,32,26,53,50,4.0,37.0,35.0,38.0,28.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.7714285714285715,0.7631578947368421,0.6071428571428571,0.8387096774193549,0.8333333333333334,0.5833333333333334,0.8392857142857143,0.0,0.6,0.0,0.7611940298507462,0.8095238095238095,0.7575757575757576,0.7441860465116279,0.8666666666666667,0.7794117647058824,0.7936507936507936,11,9,11,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.5294117647058824,0.0,0.0,0.2558139534883721,19,-5.0,68.0,3.5789473684210527,-2.4,71.2,3.747368421052632,11.2,1.0,-3.2,-0.7,-2.5,0.0705577732225698,0.59,0.57,0.134,-0.4,1.0,L (-7),L (-7)
16.0,,2022-11-17,30-318,SAS,SAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,24,27,29,17,26,35,42,47,39,51,51,50,32,26,53,50,4.0,37.0,35.0,38.0,28.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.7714285714285715,0.7631578947368421,0.6071428571428571,0.8387096774193549,0.8333333333333334,0.5833333333333334,0.8392857142857143,0.0,0.6,0.0,0.7611940298507462,0.8095238095238095,0.7575757575757576,0.7441860465116279,0.8666666666666667,0.7794117647058824,0.7936507936507936,11,9,11,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.5294117647058824,0.0,0.0,0.2558139534883721,19,,57.0,3.0,0.0,66.60000000000001,3.505263157894737,11.2,1.0,-3.2,-0.7,-2.5,0.0705577732225698,0.59,0.57,0.134,-0.4,1.0,L (-18),L (-18)
17.0,16.0,2022-11-19,30-320,SAS,LAC,0,17.016666666666666,5.0,6.0,.833,3.0,4.0,.750,0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,13.0,10.4,-10,2.0,2.0,1.0,24,27,29,17,26,35,42,47,39,51,51,50,32,26,53,50,4.0,37.0,35.0,38.0,28.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.7714285714285715,0.7631578947368421,0.6071428571428571,0.8387096774193549,0.8333333333333334,0.5833333333333334,0.8392857142857143,0.0,0.6,0.0,0.7611940298507462,0.8095238095238095,0.7575757575757576,0.7441860465116279,0.8666666666666667,0.7794117647058824,0.7936507936507936,11,9,11,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.5294117647058824,0.0,0.0,0.2558139534883721,19,8.0,42.0,2.210526315789474,10.4,46.8,2.4631578947368418,11.2,1.0,-3.2,-0.7,-2.5,0.0705577732225698,0.59,0.57,0.134,-0.4,1.0,L (-22),L (-22)
18.0,17.0,2022-11-20,30-321,SAS,LAL,0,18.766666666666666,4.0,7.0,.571,0.0,2.0,.000,0,1.0,.000,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,8.0,5.9,-16,5.0,4.0,0.8,24,27,29,17,26,35,42,47,39,51,51,50,32,26,53,50,4.0,37.0,35.0,38.0,28.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.7714285714285715,0.7631578947368421,0.6071428571428571,0.8387096774193549,0.8333333333333334,0.5833333333333334,0.8392857142857143,0.0,0.6,0.0,0.7611940298507462,0.8095238095238095,0.7575757575757576,0.7441860465116279,0.8666666666666667,0.7794117647058824,0.7936507936507936,11,9,11,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.5294117647058824,0.0,0.0,0.2558139534883721,19,4.0,33.0,1.736842105263158,5.9,48.3,2.5421052631578944,11.2,1.0,-3.2,-0.7,-2.5,0.0705577732225698,0.59,0.57,0.134,-0.4,1.0,L (-31),L (-31)
19.0,18.0,2022-11-23,30-324,SAS,NOP,0,22.9,9.0,12.0,.750,3.0,6.0,.500,0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,21.0,15.7,-13,6.0,6.0,1.0,24,27,29,17,26,35,42,47,39,51,51,50,32,26,53,50,4.0,37.0,35.0,38.0,28.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.7714285714285715,0.7631578947368421,0.6071428571428571,0.8387096774193549,0.8333333333333334,0.5833333333333334,0.8392857142857143,0.0,0.6,0.0,0.7611940298507462,0.8095238095238095,0.7575757575757576,0.7441860465116279,0.8666666666666667,0.7794117647058824,0.7936507936507936,11,9,11,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.5294117647058824,0.0,0.0,0.2558139534883721,19,11.0,37.0,1.947368421052632,15.700000000000005,51.70000000000001,2.721052631578948,11.2,1.0,-3.2,-0.7,-2.5,0.0705577732225698,0.59,0.57,0.134,-0.4,1.0,L (-19),L (-19)
20.0,,2022-11-25,30-326,SAS,LAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,24,27,29,17,26,35,42,47,39,51,51,50,32,26,53,50,4.0,37.0,35.0,38.0,28.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.7714285714285715,0.7631578947368421,0.6071428571428571,0.8387096774193549,0.8333333333333334,0.5833333333333334,0.8392857142857143,0.0,0.6,0.0,0.7611940298507462,0.8095238095238095,0.7575757575757576,0.7441860465116279,0.8666666666666667,0.7794117647058824,0.7936507936507936,11,9,11,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.5294117647058824,0.0,0.0,0.2558139534883721,19,,56.0,2.9473684210526314,0.0,66.2,3.4842105263157896,11.2,1.0,-3.2,-0.7,-2.5,0.0705577732225698,0.59,0.57,0.134,-0.4,1.0,L (-11),L (-11)
21.0,19.0,2022-11-26,30-327,SAS,LAL,0,25.9,6.0,14.0,.429,3.0,7.0,.429,0,0.0,,0.0,2.0,2.0,3.0,1.0,0.0,1.0,3.0,15.0,9.1,-4,7.0,3.0,0.4285714285714285,24,27,29,17,26,35,42,47,39,51,51,50,32,26,53,50,4.0,37.0,35.0,38.0,28.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.7714285714285715,0.7631578947368421,0.6071428571428571,0.8387096774193549,0.8333333333333334,0.5833333333333334,0.8392857142857143,0.0,0.6,0.0,0.7611940298507462,0.8095238095238095,0.7575757575757576,0.7441860465116279,0.8666666666666667,0.7794117647058824,0.7936507936507936,11,9,11,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.5294117647058824,0.0,0.0,0.2558139534883721,19,6.0,84.0,4.421052631578948,9.1,88.2,4.642105263157895,11.2,1.0,-3.2,-0.7,-2.5,0.0705577732225698,0.59,0.57,0.134,-0.4,1.0,,
22.0,20.0,2022-11-30,30-331,SAS,OKC,0,15.566666666666666,2.0,5.0,.400,1.0,4.0,.250,0,0.0,,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,5.0,5.0,+7,1.0,1.0,1.0,24,27,29,17,26,35,42,47,39,51,51,50,32,26,53,50,4.0,37.0,35.0,38.0,28.0,31.0,42.0,72.0,56.0,9.0,65.0,4.0,67.0,63.0,66.0,43.0,30.0,68.0,63.0,0.0,0.6486486486486487,0.7714285714285715,0.7631578947368421,0.6071428571428571,0.8387096774193549,0.8333333333333334,0.5833333333333334,0.8392857142857143,0.0,0.6,0.0,0.7611940298507462,0.8095238095238095,0.7575757575757576,0.7441860465116279,0.8666666666666667,0.7794117647058824,0.7936507936507936,11,9,11,73.0,17.0,23.0,20.0,43.0,0.1506849315068493,0.5294117647058824,0.0,0.0,0.2558139534883721,19,5.0,67.0,3.526315789473684,4.999999999999998,83.19999999999997,4.378947368421051,11.2,1.0,-3.2,-0.7,-2.5,0.0705577732225698,0.59,0.57,0.134,-0.4,1.0,L (-5),L (-5)
