Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Christian Wood,Shared Games with Dorian Finney-Smith,Shared Games with Dwight Powell,Shared Games with Frank Ntilikina,Shared Games with Jaden Hardy,Shared Games with JaVale McGee,Shared Games with Josh Green,Shared Games with Luka Dončić,Shared Games with Maxi Kleber,Shared Games with McKinley Wright IV,Shared Games with Reggie Bullock,Shared Games with Spencer Dinwiddie,Shared Games with Theo Pinson,Shared Games with Tim Hardaway Jr.,Shared Games with Tyler Dorsey,Chris Silva,Christian Wood,Dorian Finney-Smith,Dwight Powell,Facundo Campazzo,Frank Ntilikina,Jaden Hardy,JaVale McGee,Josh Green,Kemba Walker,Luka Dončić,Maxi Kleber,McKinley Wright IV,Reggie Bullock,Spencer Dinwiddie,Theo Pinson,Tim Hardaway Jr.,Tyler Dorsey,co_inf with Chris Silva,co_inf with Christian Wood,co_inf with Dorian Finney-Smith,co_inf with Dwight Powell,co_inf with Facundo Campazzo,co_inf with Frank Ntilikina,co_inf with Jaden Hardy,co_inf with JaVale McGee,co_inf with Josh Green,co_inf with Kemba Walker,co_inf with Luka Dončić,co_inf with Maxi Kleber,co_inf with McKinley Wright IV,co_inf with Reggie Bullock,co_inf with Spencer Dinwiddie,co_inf with Theo Pinson,co_inf with Tim Hardaway Jr.,co_inf with Tyler Dorsey,Shared Games with Justin Holiday,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with A.J. Lawson,A.J. Lawson,Derrick Favors,Justin Holiday,Kyrie Irving,Markieff Morris,co_inf with Justin Holiday,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with A.J. Lawson,co_inf with Derrick Favors,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
11.0,,2022-11-10,29-363,DAL,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,33,20,43,33,30,21,26,34,12,21,41,34,27,38,2,1.0,67.0,66.0,76.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.303030303030303,0.5657894736842105,0.0,0.7021276595744681,0.625,0.5,0.4333333333333333,0.0,0.5151515151515151,0.3243243243243243,0.7777777777777778,0.5256410256410257,0.430379746835443,0.675,0.5352112676056338,0.6666666666666666,7,5,2,8,15.0,,46.0,60.0,35.0,0.1521739130434782,0.0833333333333333,0.0571428571428571,0.5333333333333333,,19,,43.0,2.263157894736842,0.0,66.29999999999998,3.4894736842105254,0.0219944480034166,L (-8),L (-8)
12.0,,2022-11-12,30-000,DAL,POR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,33,20,43,33,30,21,26,34,12,21,41,34,27,38,2,1.0,67.0,66.0,76.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.303030303030303,0.5657894736842105,0.0,0.7021276595744681,0.625,0.5,0.4333333333333333,0.0,0.5151515151515151,0.3243243243243243,0.7777777777777778,0.5256410256410257,0.430379746835443,0.675,0.5352112676056338,0.6666666666666666,7,5,2,8,15.0,,46.0,60.0,35.0,0.1521739130434782,0.0833333333333333,0.0571428571428571,0.5333333333333333,,19,,53.0,2.789473684210526,0.0,71.6,3.768421052631578,0.0219944480034166,W (+5),W (+5)
13.0,,2022-11-15,30-003,DAL,LAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,33,20,43,33,30,21,26,34,12,21,41,34,27,38,2,1.0,67.0,66.0,76.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.303030303030303,0.5657894736842105,0.0,0.7021276595744681,0.625,0.5,0.4333333333333333,0.0,0.5151515151515151,0.3243243243243243,0.7777777777777778,0.5256410256410257,0.430379746835443,0.675,0.5352112676056338,0.6666666666666666,7,5,2,8,15.0,,46.0,60.0,35.0,0.1521739130434782,0.0833333333333333,0.0571428571428571,0.5333333333333333,,19,,38.0,2.0,0.0,43.6,2.294736842105263,0.0219944480034166,W (+2),W (+2)
14.0,1.0,2022-11-16,30-004,DAL,HOU,0,3.466666666666667,1.0,3.0,.333,1.0,2.0,.500,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.1,+1,1.0,0.0,0.0,33,20,43,33,30,21,26,34,12,21,41,34,27,38,2,1.0,67.0,66.0,76.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.303030303030303,0.5657894736842105,0.0,0.7021276595744681,0.625,0.5,0.4333333333333333,0.0,0.5151515151515151,0.3243243243243243,0.7777777777777778,0.5256410256410257,0.430379746835443,0.675,0.5352112676056338,0.6666666666666666,7,5,2,8,15.0,,46.0,60.0,35.0,0.1521739130434782,0.0833333333333333,0.0571428571428571,0.5333333333333333,,19,0.0,35.0,1.8421052631578947,0.1,48.60000000000001,2.5578947368421057,0.0219944480034166,L (-9),L (-9)
15.0,2.0,2022-11-18,30-006,DAL,DEN,0,4.366666666666666,0.0,2.0,.000,0.0,2.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.5,-1,0.0,0.0,,33,20,43,33,30,21,26,34,12,21,41,34,27,38,2,1.0,67.0,66.0,76.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.303030303030303,0.5657894736842105,0.0,0.7021276595744681,0.625,0.5,0.4333333333333333,0.0,0.5151515151515151,0.3243243243243243,0.7777777777777778,0.5256410256410257,0.430379746835443,0.675,0.5352112676056338,0.6666666666666666,7,5,2,8,15.0,,46.0,60.0,35.0,0.1521739130434782,0.0833333333333333,0.0571428571428571,0.5333333333333333,,19,-1.0,77.0,4.052631578947368,-1.5,85.99999999999999,4.526315789473683,0.0219944480034166,W (+28),W (+28)
16.0,3.0,2022-11-20,30-008,DAL,DEN,0,14.416666666666666,5.0,7.0,.714,4.0,5.0,.800,1,1.0,1.000,0.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,15.0,11.2,+21,2.0,1.0,0.5,33,20,43,33,30,21,26,34,12,21,41,34,27,38,2,1.0,67.0,66.0,76.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.303030303030303,0.5657894736842105,0.0,0.7021276595744681,0.625,0.5,0.4333333333333333,0.0,0.5151515151515151,0.3243243243243243,0.7777777777777778,0.5256410256410257,0.430379746835443,0.675,0.5352112676056338,0.6666666666666666,7,5,2,8,15.0,,46.0,60.0,35.0,0.1521739130434782,0.0833333333333333,0.0571428571428571,0.5333333333333333,,19,9.0,36.0,1.894736842105263,10.8,48.8,2.568421052631579,0.0219944480034166,L (-1),L (-1)
17.0,4.0,2022-11-23,30-011,DAL,BOS,0,5.133333333333334,0.0,3.0,.000,0.0,1.0,.000,0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.7,-6,2.0,0.0,0.0,33,20,43,33,30,21,26,34,12,21,41,34,27,38,2,1.0,67.0,66.0,76.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.303030303030303,0.5657894736842105,0.0,0.7021276595744681,0.625,0.5,0.4333333333333333,0.0,0.5151515151515151,0.3243243243243243,0.7777777777777778,0.5256410256410257,0.430379746835443,0.675,0.5352112676056338,0.6666666666666666,7,5,2,8,15.0,,46.0,60.0,35.0,0.1521739130434782,0.0833333333333333,0.0571428571428571,0.5333333333333333,,19,-1.0,52.0,2.736842105263158,-0.6999999999999997,66.69999999999999,3.5105263157894733,0.0219944480034166,L (-13),L (-13)
18.0,,2022-11-26,30-014,DAL,TOR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,33,20,43,33,30,21,26,34,12,21,41,34,27,38,2,1.0,67.0,66.0,76.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.303030303030303,0.5657894736842105,0.0,0.7021276595744681,0.625,0.5,0.4333333333333333,0.0,0.5151515151515151,0.3243243243243243,0.7777777777777778,0.5256410256410257,0.430379746835443,0.675,0.5352112676056338,0.6666666666666666,7,5,2,8,15.0,,46.0,60.0,35.0,0.1521739130434782,0.0833333333333333,0.0571428571428571,0.5333333333333333,,19,,54.0,2.8421052631578947,0.0,63.49999999999999,3.3421052631578942,0.0219944480034166,L (-5),L (-5)
19.0,5.0,2022-11-27,30-015,DAL,MIL,0,16.85,1.0,3.0,.333,1.0,3.0,.333,0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,1.8,-1,0.0,0.0,,33,20,43,33,30,21,26,34,12,21,41,34,27,38,2,1.0,67.0,66.0,76.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.303030303030303,0.5657894736842105,0.0,0.7021276595744681,0.625,0.5,0.4333333333333333,0.0,0.5151515151515151,0.3243243243243243,0.7777777777777778,0.5256410256410257,0.430379746835443,0.675,0.5352112676056338,0.6666666666666666,7,5,2,8,15.0,,46.0,60.0,35.0,0.1521739130434782,0.0833333333333333,0.0571428571428571,0.5333333333333333,,19,3.0,59.0,3.1052631578947367,1.8000000000000005,82.5,4.342105263157895,0.0219944480034166,L (-9),L (-9)
20.0,6.0,2022-11-29,30-017,DAL,GSW,0,7.266666666666667,2.0,2.0,1.000,2.0,2.0,1.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,4.0,-6,0.0,0.0,,33,20,43,33,30,21,26,34,12,21,41,34,27,38,2,1.0,67.0,66.0,76.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.303030303030303,0.5657894736842105,0.0,0.7021276595744681,0.625,0.5,0.4333333333333333,0.0,0.5151515151515151,0.3243243243243243,0.7777777777777778,0.5256410256410257,0.430379746835443,0.675,0.5352112676056338,0.6666666666666666,7,5,2,8,15.0,,46.0,60.0,35.0,0.1521739130434782,0.0833333333333333,0.0571428571428571,0.5333333333333333,,19,3.0,57.0,3.0,4.0,75.89999999999998,3.994736842105262,0.0219944480034166,W (+3),W (+3)
21.0,7.0,2022-12-01,30-019,DAL,DET,0,2.5,0.0,1.0,.000,0.0,1.0,.000,2,3.0,.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9,-3,0.0,0.0,,33,20,43,33,30,21,26,34,12,21,41,34,27,38,2,1.0,67.0,66.0,76.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.303030303030303,0.5657894736842105,0.0,0.7021276595744681,0.625,0.5,0.4333333333333333,0.0,0.5151515151515151,0.3243243243243243,0.7777777777777778,0.5256410256410257,0.430379746835443,0.675,0.5352112676056338,0.6666666666666666,7,5,2,8,15.0,,46.0,60.0,35.0,0.1521739130434782,0.0833333333333333,0.0571428571428571,0.5333333333333333,,19,-2.0,88.0,4.631578947368421,0.0999999999999998,116.4,6.126315789473685,0.0219944480034166,,
22.0,8.0,2022-12-03,30-021,DAL,NYK,0,7.783333333333333,0.0,3.0,.000,0.0,3.0,.000,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.9,-11,0.0,0.0,,33,20,43,33,30,21,26,34,12,21,41,34,27,38,2,1.0,67.0,66.0,76.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.303030303030303,0.5657894736842105,0.0,0.7021276595744681,0.625,0.5,0.4333333333333333,0.0,0.5151515151515151,0.3243243243243243,0.7777777777777778,0.5256410256410257,0.430379746835443,0.675,0.5352112676056338,0.6666666666666666,7,5,2,8,15.0,,46.0,60.0,35.0,0.1521739130434782,0.0833333333333333,0.0571428571428571,0.5333333333333333,,19,-3.0,76.0,4.0,-2.8999999999999995,89.9,4.731578947368422,0.0219944480034166,L (-6),L (-6)
23.0,9.0,2022-12-05,30-023,DAL,PHO,0,2.4166666666666665,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0.0,0.0,,33,20,43,33,30,21,26,34,12,21,41,34,27,38,2,1.0,67.0,66.0,76.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.303030303030303,0.5657894736842105,0.0,0.7021276595744681,0.625,0.5,0.4333333333333333,0.0,0.5151515151515151,0.3243243243243243,0.7777777777777778,0.5256410256410257,0.430379746835443,0.675,0.5352112676056338,0.6666666666666666,7,5,2,8,15.0,,46.0,60.0,35.0,0.1521739130434782,0.0833333333333333,0.0571428571428571,0.5333333333333333,,19,0.0,82.0,4.315789473684211,0.0,106.2,5.589473684210526,0.0219944480034166,W (+21),W (+21)
24.0,,2022-12-06,30-024,DAL,DEN,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,33,20,43,33,30,21,26,34,12,21,41,34,27,38,2,1.0,67.0,66.0,76.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.303030303030303,0.5657894736842105,0.0,0.7021276595744681,0.625,0.5,0.4333333333333333,0.0,0.5151515151515151,0.3243243243243243,0.7777777777777778,0.5256410256410257,0.430379746835443,0.675,0.5352112676056338,0.6666666666666666,7,5,2,8,15.0,,46.0,60.0,35.0,0.1521739130434782,0.0833333333333333,0.0571428571428571,0.5333333333333333,,19,,67.0,3.526315789473684,0.0,79.1,4.163157894736842,0.0219944480034166,W (+19),W (+19)
25.0,,2022-12-09,30-027,DAL,MIL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,33,20,43,33,30,21,26,34,12,21,41,34,27,38,2,1.0,67.0,66.0,76.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.303030303030303,0.5657894736842105,0.0,0.7021276595744681,0.625,0.5,0.4333333333333333,0.0,0.5151515151515151,0.3243243243243243,0.7777777777777778,0.5256410256410257,0.430379746835443,0.675,0.5352112676056338,0.6666666666666666,7,5,2,8,15.0,,46.0,60.0,35.0,0.1521739130434782,0.0833333333333333,0.0571428571428571,0.5333333333333333,,19,,51.0,2.6842105263157894,0.0,70.10000000000001,3.689473684210527,0.0219944480034166,W (+1),W (+1)
26.0,10.0,2022-12-10,30-028,DAL,CHI,0,11.416666666666666,1.0,4.0,.250,1.0,4.0,.250,2,2.0,1.000,1.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,5.0,3.9,-15,0.0,0.0,,33,20,43,33,30,21,26,34,12,21,41,34,27,38,2,1.0,67.0,66.0,76.0,8.0,47.0,48.0,42.0,60.0,9.0,66.0,37.0,27.0,78.0,79.0,40.0,71.0,3.0,0.0,0.4925373134328358,0.303030303030303,0.5657894736842105,0.0,0.7021276595744681,0.625,0.5,0.4333333333333333,0.0,0.5151515151515151,0.3243243243243243,0.7777777777777778,0.5256410256410257,0.430379746835443,0.675,0.5352112676056338,0.6666666666666666,7,5,2,8,15.0,,46.0,60.0,35.0,0.1521739130434782,0.0833333333333333,0.0571428571428571,0.5333333333333333,,19,2.0,67.0,3.526315789473684,3.1000000000000005,84.19999999999999,4.43157894736842,0.0219944480034166,L (-1),L (-1)
