Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Len,Shared Games with Chimezie Metu,Shared Games with Davion Mitchell,Shared Games with De'Aaron Fox,Shared Games with Domantas Sabonis,Shared Games with Harrison Barnes,Shared Games with Keegan Murray,Shared Games with Keon Ellis,Shared Games with Kevin Huerter,Shared Games with KZ Okpala,Shared Games with Malik Monk,Shared Games with Matthew Dellavedova,Shared Games with PJ Dozier,Shared Games with Richaun Holmes,Shared Games with Terence Davis,Shared Games with Trey Lyles,Alex Len,Chimezie Metu,Davion Mitchell,De'Aaron Fox,Deonte Burton,Domantas Sabonis,Harrison Barnes,Keegan Murray,Keon Ellis,Kevin Huerter,KZ Okpala,Malik Monk,Matthew Dellavedova,Neemias Queta,PJ Dozier,Richaun Holmes,Terence Davis,Trey Lyles,co_inf with Alex Len,co_inf with Chimezie Metu,co_inf with Davion Mitchell,co_inf with De'Aaron Fox,co_inf with Deonte Burton,co_inf with Domantas Sabonis,co_inf with Harrison Barnes,co_inf with Keegan Murray,co_inf with Keon Ellis,co_inf with Kevin Huerter,co_inf with KZ Okpala,co_inf with Malik Monk,co_inf with Matthew Dellavedova,co_inf with Neemias Queta,co_inf with PJ Dozier,co_inf with Richaun Holmes,co_inf with Terence Davis,co_inf with Trey Lyles,JD Davison,Kessler Edwards,co_inf with Kessler Edwards,co_inf with JD Davison,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,,2022-11-11,26-322,SAC,LAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,26.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.0769230769230769,0.0303030303030303,0.025,0.0273972602739726,0.0,0.0253164556962025,0.024390243902439,0.0125,0.0625,0.0266666666666666,0.0571428571428571,0.0259740259740259,0.0625,0.0,0.0625,0.0238095238095238,0.03125,0.0135135135135135,12.0,36.0,0.0,0.0,16,,78.0,4.875,0.0,94.60000000000002,5.912500000000001,-3.5,0.0,-20.7,-12.7,-8.0,0.0002020610224287,0.347,0.0,1.0,0.0,0.0,W (+6),W (+6)
12.0,,2022-11-13,26-324,SAC,GSW,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,26.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.0769230769230769,0.0303030303030303,0.025,0.0273972602739726,0.0,0.0253164556962025,0.024390243902439,0.0125,0.0625,0.0266666666666666,0.0571428571428571,0.0259740259740259,0.0625,0.0,0.0625,0.0238095238095238,0.03125,0.0135135135135135,12.0,36.0,0.0,0.0,16,,83.0,5.1875,0.0,95.20000000000002,5.950000000000001,-3.5,0.0,-20.7,-12.7,-8.0,0.0002020610224287,0.347,0.0,1.0,0.0,0.0,W (+7),W (+7)
13.0,,2022-11-15,26-326,SAC,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,26.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.0769230769230769,0.0303030303030303,0.025,0.0273972602739726,0.0,0.0253164556962025,0.024390243902439,0.0125,0.0625,0.0266666666666666,0.0571428571428571,0.0259740259740259,0.0625,0.0,0.0625,0.0238095238095238,0.03125,0.0135135135135135,12.0,36.0,0.0,0.0,16,,112.0,7.0,0.0,129.6,8.1,-3.5,0.0,-20.7,-12.7,-8.0,0.0002020610224287,0.347,0.0,1.0,0.0,0.0,W (+32),W (+32)
14.0,2.0,2022-11-17,26-328,SAC,SAS,0,1.6166666666666667,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,-0.3,0,1.0,1.0,1.0,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,26.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.0769230769230769,0.0303030303030303,0.025,0.0273972602739726,0.0,0.0253164556962025,0.024390243902439,0.0125,0.0625,0.0266666666666666,0.0571428571428571,0.0259740259740259,0.0625,0.0,0.0625,0.0238095238095238,0.03125,0.0135135135135135,12.0,36.0,0.0,0.0,16,-1.0,84.0,5.25,-0.3,103.1,6.44375,-3.5,0.0,-20.7,-12.7,-8.0,0.0002020610224287,0.347,0.0,1.0,0.0,0.0,W (+18),W (+18)
15.0,,2022-11-20,26-331,SAC,DET,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,26.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.0769230769230769,0.0303030303030303,0.025,0.0273972602739726,0.0,0.0253164556962025,0.024390243902439,0.0125,0.0625,0.0266666666666666,0.0571428571428571,0.0259740259740259,0.0625,0.0,0.0625,0.0238095238095238,0.03125,0.0135135135135135,12.0,36.0,0.0,0.0,16,,82.0,5.125,0.0,103.90000000000002,6.493750000000001,-3.5,0.0,-20.7,-12.7,-8.0,0.0002020610224287,0.347,0.0,1.0,0.0,0.0,W (+8),W (+8)
16.0,,2022-11-22,26-333,SAC,MEM,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,26.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.0769230769230769,0.0303030303030303,0.025,0.0273972602739726,0.0,0.0253164556962025,0.024390243902439,0.0125,0.0625,0.0266666666666666,0.0571428571428571,0.0259740259740259,0.0625,0.0,0.0625,0.0238095238095238,0.03125,0.0135135135135135,12.0,36.0,0.0,0.0,16,,63.0,3.9375,0.0,75.2,4.7,-3.5,0.0,-20.7,-12.7,-8.0,0.0002020610224287,0.347,0.0,1.0,0.0,0.0,W (+4),W (+4)
17.0,,2022-11-23,26-334,SAC,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,26.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.0769230769230769,0.0303030303030303,0.025,0.0273972602739726,0.0,0.0253164556962025,0.024390243902439,0.0125,0.0625,0.0266666666666666,0.0571428571428571,0.0259740259740259,0.0625,0.0,0.0625,0.0238095238095238,0.03125,0.0135135135135135,12.0,36.0,0.0,0.0,16,,60.0,3.75,0.0,69.19999999999999,4.324999999999999,-3.5,0.0,-20.7,-12.7,-8.0,0.0002020610224287,0.347,0.0,1.0,0.0,0.0,L (-9),L (-9)
18.0,,2022-11-25,26-336,SAC,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,26.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.0769230769230769,0.0303030303030303,0.025,0.0273972602739726,0.0,0.0253164556962025,0.024390243902439,0.0125,0.0625,0.0266666666666666,0.0571428571428571,0.0259740259740259,0.0625,0.0,0.0625,0.0238095238095238,0.03125,0.0135135135135135,12.0,36.0,0.0,0.0,16,,44.0,2.75,0.0,57.99999999999999,3.625,-3.5,0.0,-20.7,-12.7,-8.0,0.0002020610224287,0.347,0.0,1.0,0.0,0.0,L (-18),L (-18)
19.0,,2022-11-28,26-339,SAC,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,26.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.0769230769230769,0.0303030303030303,0.025,0.0273972602739726,0.0,0.0253164556962025,0.024390243902439,0.0125,0.0625,0.0266666666666666,0.0571428571428571,0.0259740259740259,0.0625,0.0,0.0625,0.0238095238095238,0.03125,0.0135135135135135,12.0,36.0,0.0,0.0,16,,81.0,5.0625,0.0,96.20000000000002,6.012500000000001,-3.5,0.0,-20.7,-12.7,-8.0,0.0002020610224287,0.347,0.0,1.0,0.0,0.0,L (-5),L (-5)
20.0,,2022-11-30,26-341,SAC,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,26.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.0769230769230769,0.0303030303030303,0.025,0.0273972602739726,0.0,0.0253164556962025,0.024390243902439,0.0125,0.0625,0.0266666666666666,0.0571428571428571,0.0259740259740259,0.0625,0.0,0.0625,0.0238095238095238,0.03125,0.0135135135135135,12.0,36.0,0.0,0.0,16,,93.0,5.8125,0.0,103.0,6.4375,-3.5,0.0,-20.7,-12.7,-8.0,0.0002020610224287,0.347,0.0,1.0,0.0,0.0,W (+23),W (+23)
21.0,,2022-12-03,26-344,SAC,LAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,26.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.0769230769230769,0.0303030303030303,0.025,0.0273972602739726,0.0,0.0253164556962025,0.024390243902439,0.0125,0.0625,0.0266666666666666,0.0571428571428571,0.0259740259740259,0.0625,0.0,0.0625,0.0238095238095238,0.03125,0.0135135135135135,12.0,36.0,0.0,0.0,16,,86.0,5.375,0.0,99.39999999999998,6.212499999999999,-3.5,0.0,-20.7,-12.7,-8.0,0.0002020610224287,0.347,0.0,1.0,0.0,0.0,,
22.0,,2022-12-04,26-345,SAC,CHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,26.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.0769230769230769,0.0303030303030303,0.025,0.0273972602739726,0.0,0.0253164556962025,0.024390243902439,0.0125,0.0625,0.0266666666666666,0.0571428571428571,0.0259740259740259,0.0625,0.0,0.0625,0.0238095238095238,0.03125,0.0135135135135135,12.0,36.0,0.0,0.0,16,,75.0,4.6875,0.0,81.60000000000001,5.1000000000000005,-3.5,0.0,-20.7,-12.7,-8.0,0.0002020610224287,0.347,0.0,1.0,0.0,0.0,W (+27),W (+27)
23.0,,2022-12-07,26-348,SAC,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,26.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.0769230769230769,0.0303030303030303,0.025,0.0273972602739726,0.0,0.0253164556962025,0.024390243902439,0.0125,0.0625,0.0266666666666666,0.0571428571428571,0.0259740259740259,0.0625,0.0,0.0625,0.0238095238095238,0.03125,0.0135135135135135,12.0,36.0,0.0,0.0,16,,62.0,3.875,0.0,77.19999999999997,4.824999999999998,-3.5,0.0,-20.7,-12.7,-8.0,0.0002020610224287,0.347,0.0,1.0,0.0,0.0,W (+9),W (+9)
24.0,,2022-12-09,26-350,SAC,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,26.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.0769230769230769,0.0303030303030303,0.025,0.0273972602739726,0.0,0.0253164556962025,0.024390243902439,0.0125,0.0625,0.0266666666666666,0.0571428571428571,0.0259740259740259,0.0625,0.0,0.0625,0.0238095238095238,0.03125,0.0135135135135135,12.0,36.0,0.0,0.0,16,,66.0,4.125,0.0,77.79999999999997,4.862499999999998,-3.5,0.0,-20.7,-12.7,-8.0,0.0002020610224287,0.347,0.0,1.0,0.0,0.0,L (-13),L (-13)
25.0,,2022-12-11,26-352,SAC,NYK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,26.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.0769230769230769,0.0303030303030303,0.025,0.0273972602739726,0.0,0.0253164556962025,0.024390243902439,0.0125,0.0625,0.0266666666666666,0.0571428571428571,0.0259740259740259,0.0625,0.0,0.0625,0.0238095238095238,0.03125,0.0135135135135135,12.0,36.0,0.0,0.0,16,,32.0,2.0,0.0,53.39999999999999,3.3374999999999995,-3.5,0.0,-20.7,-12.7,-8.0,0.0002020610224287,0.347,0.0,1.0,0.0,0.0,W (+11),W (+11)
26.0,,2022-12-13,26-354,SAC,PHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,26.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.0769230769230769,0.0303030303030303,0.025,0.0273972602739726,0.0,0.0253164556962025,0.024390243902439,0.0125,0.0625,0.0266666666666666,0.0571428571428571,0.0259740259740259,0.0625,0.0,0.0625,0.0238095238095238,0.03125,0.0135135135135135,12.0,36.0,0.0,0.0,16,,52.0,3.25,0.0,61.899999999999984,3.868749999999999,-3.5,0.0,-20.7,-12.7,-8.0,0.0002020610224287,0.347,0.0,1.0,0.0,0.0,L (-13),L (-13)
27.0,,2022-12-14,26-355,SAC,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,26.0,66.0,80.0,73.0,2.0,79.0,82.0,80.0,16.0,75.0,35.0,77.0,32.0,5.0,16.0,42.0,64.0,74.0,0.0769230769230769,0.0303030303030303,0.025,0.0273972602739726,0.0,0.0253164556962025,0.024390243902439,0.0125,0.0625,0.0266666666666666,0.0571428571428571,0.0259740259740259,0.0625,0.0,0.0625,0.0238095238095238,0.03125,0.0135135135135135,12.0,36.0,0.0,0.0,16,,81.0,5.0625,0.0,93.7,5.85625,-3.5,0.0,-20.7,-12.7,-8.0,0.0002020610224287,0.347,0.0,1.0,0.0,0.0,L (-20),L (-20)
