Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Admiral Schofield,Shared Games with Bol Bol,Shared Games with Caleb Houstan,Shared Games with Cole Anthony,Shared Games with Franz Wagner,Shared Games with Gary Harris,Shared Games with Jalen Suggs,Shared Games with Kevon Harris,Shared Games with Markelle Fultz,Shared Games with Mo Bamba,Shared Games with Moritz Wagner,Shared Games with Paolo Banchero,Shared Games with Wendell Carter Jr.,Admiral Schofield,Bol Bol,Caleb Houstan,Chuma Okeke,Cole Anthony,Franz Wagner,Gary Harris,Jalen Suggs,Jay Scrubb,Kevon Harris,Markelle Fultz,Michael Carter-Williams,Mo Bamba,Moritz Wagner,Paolo Banchero,R.J. Hampton,Terrence Ross,Wendell Carter Jr.,co_inf with Admiral Schofield,co_inf with Bol Bol,co_inf with Caleb Houstan,co_inf with Chuma Okeke,co_inf with Cole Anthony,co_inf with Franz Wagner,co_inf with Gary Harris,co_inf with Jalen Suggs,co_inf with Jay Scrubb,co_inf with Kevon Harris,co_inf with Markelle Fultz,co_inf with Michael Carter-Williams,co_inf with Mo Bamba,co_inf with Moritz Wagner,co_inf with Paolo Banchero,co_inf with R.J. Hampton,co_inf with Terrence Ross,co_inf with Wendell Carter Jr.,Shared Games with Goga Bitadze,Derrick White,Goga Bitadze,co_inf with Goga Bitadze,co_inf with Derrick White,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
11.0,,2022-11-07,25-035,ORL,HOU,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,59.0,4.214285714285714,0.0,57.4,4.1,0.0060201401050788,L (-7),L (-7)
12.0,,2022-11-09,25-037,ORL,DAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,53.0,3.7857142857142856,0.0,45.2,3.2285714285714286,0.0060201401050788,W (+7),W (+7)
13.0,,2022-11-11,25-039,ORL,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,64.0,4.571428571428571,0.0,51.5,3.678571428571429,0.0060201401050788,W (+17),W (+17)
14.0,,2022-11-14,25-042,ORL,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,54.0,3.857142857142857,0.0,42.6,3.042857142857143,0.0060201401050788,L (-7),L (-7)
15.0,,2022-11-16,25-044,ORL,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,71.0,5.071428571428571,0.0,62.1,4.435714285714286,0.0060201401050788,L (-18),L (-18)
16.0,,2022-11-18,25-046,ORL,CHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,77.0,5.5,0.0,56.19999999999999,4.014285714285713,0.0060201401050788,W (+1),W (+1)
17.0,,2022-11-19,25-047,ORL,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,55.0,3.928571428571429,0.0,55.1,3.935714285714286,0.0060201401050788,L (-1),L (-1)
18.0,,2022-11-21,25-049,ORL,IND,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,30.0,2.142857142857143,0.0,41.9,2.992857142857143,0.0060201401050788,L (-21),L (-21)
19.0,,2022-11-25,25-053,ORL,PHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,51.0,3.642857142857143,0.0,55.400000000000006,3.9571428571428577,0.0060201401050788,L (-8),L (-8)
20.0,,2022-11-27,25-055,ORL,PHI,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,52.0,3.7142857142857135,0.0,54.1,3.8642857142857134,0.0060201401050788,L (-30),L (-30)
21.0,,2022-11-28,25-056,ORL,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,66.0,4.714285714285714,0.0,73.1,5.221428571428571,0.0060201401050788,,
22.0,,2022-11-30,25-058,ORL,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,58.0,4.142857142857143,0.0,60.8,4.342857142857143,0.0060201401050788,L (-7),L (-7)
23.0,,2022-12-02,25-060,ORL,CLE,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,62.0,4.428571428571429,0.0,66.6,4.757142857142857,0.0060201401050788,L (-17),L (-17)
24.0,,2022-12-03,25-061,ORL,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,32.0,2.2857142857142856,0.0,50.400000000000006,3.6000000000000005,0.0060201401050788,L (-11),L (-11)
25.0,,2022-12-05,25-063,ORL,MIL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,60.0,4.285714285714286,0.0,63.6,4.542857142857143,0.0060201401050788,L (-13),L (-13)
26.0,,2022-12-07,25-065,ORL,LAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,73.0,5.214285714285714,0.0,81.89999999999999,5.85,0.0060201401050788,L (-7),L (-7)
27.0,,2022-12-09,25-067,ORL,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,62.0,4.428571428571429,0.0,78.39999999999999,5.6,0.0060201401050788,W (+5),W (+5)
28.0,,2022-12-11,25-069,ORL,TOR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,44.0,3.142857142857143,0.0,52.60000000000001,3.7571428571428576,0.0060201401050788,W (+4),W (+4)
29.0,,2022-12-14,25-072,ORL,ATL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,78.0,5.571428571428571,0.0,93.4,6.671428571428572,0.0060201401050788,W (+12),W (+12)
30.0,,2022-12-16,25-074,ORL,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,45.0,3.2142857142857144,0.0,59.3,4.235714285714286,0.0060201401050788,W (+11),W (+11)
31.0,,2022-12-18,25-076,ORL,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,11,3,10,11,10,10,1,11,3,11,11,10,37.0,70.0,51.0,27.0,60.0,80.0,48.0,53.0,2.0,34.0,60.0,4.0,49.0,57.0,72.0,47.0,63.0,57.0,0.027027027027027,0.1571428571428571,0.0588235294117647,0.0,0.1666666666666666,0.1375,0.2083333333333333,0.1886792452830188,0.0,0.0294117647058823,0.1833333333333333,0.0,0.0612244897959183,0.1929824561403508,0.1527777777777778,0.0,0.0,0.175438596491228,1,82.0,38.0,0.0263157894736842,0.0,14,,51.0,3.642857142857143,0.0,59.2,4.228571428571429,0.0060201401050788,W (+8),W (+8)
