Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Bryce McGowens,Shared Games with Cody Martin,Shared Games with Gordon Hayward,Shared Games with Jalen McDaniels,Shared Games with James Bouknight,Shared Games with JT Thor,Shared Games with Kai Jones,Shared Games with Kelly Oubre Jr.,Shared Games with Kobi Simmons,Shared Games with LaMelo Ball,Shared Games with Mark Williams,Shared Games with Mason Plumlee,Shared Games with Nick Richards,Shared Games with P.J. Washington,Shared Games with Terry Rozier,Shared Games with Théo Maledon,Bryce McGowens,Cody Martin,Gordon Hayward,Jalen McDaniels,James Bouknight,JT Thor,Kai Jones,Kelly Oubre Jr.,Kobi Simmons,LaMelo Ball,Mark Williams,Mason Plumlee,Nick Richards,P.J. Washington,Terry Rozier,Théo Maledon,Xavier Sneed,co_inf with Bryce McGowens,co_inf with Cody Martin,co_inf with Gordon Hayward,co_inf with Jalen McDaniels,co_inf with James Bouknight,co_inf with JT Thor,co_inf with Kai Jones,co_inf with Kelly Oubre Jr.,co_inf with Kobi Simmons,co_inf with LaMelo Ball,co_inf with Mark Williams,co_inf with Mason Plumlee,co_inf with Nick Richards,co_inf with P.J. Washington,co_inf with Terry Rozier,co_inf with Théo Maledon,co_inf with Xavier Sneed,Shared Games with Reggie Jackson,Shared Games with Svi Mykhailiuk,De'Andre Hunter,Svi Mykhailiuk,co_inf with De'Andre Hunter,co_inf with Svi Mykhailiuk,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,Co_Points_Share,New Column,Result
31.0,,2022-12-19,25-024,CHO,SAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,81.0,4.5,0.0,91.6,5.088888888888889,0.0520993624972521,L (-4),L (-4)
32.0,,2022-12-21,25-026,CHO,LAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,50.0,2.7777777777777777,0.0,60.7,3.3722222222222222,0.0520993624972521,W (+6),W (+6)
33.0,,2022-12-23,25-028,CHO,LAL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,77.0,4.277777777777778,0.0,93.5,5.194444444444445,0.0520993624972521,L (-21),L (-21)
34.0,,2022-12-26,25-031,CHO,POR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,39.0,2.1666666666666665,0.0,56.1,3.1166666666666667,0.0520993624972521,W (+4),W (+4)
35.0,,2022-12-27,25-032,CHO,GSW,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,26.0,1.4444444444444444,0.0,46.5,2.583333333333333,0.0520993624972521,L (-11),L (-11)
36.0,,2022-12-29,25-034,CHO,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,74.0,4.111111111111111,0.0,81.19999999999999,4.51111111111111,0.0520993624972521,L (-5),L (-5)
37.0,,2022-12-31,25-036,CHO,BRK,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,,41.0,2.2777777777777777,0.0,57.19999999999999,3.177777777777777,0.0520993624972521,W (+8),W (+8)
38.0,16.0,2023-01-02,25-038,CHO,LAL,0.0,17.983333333333334,3.0,10.0,0.3,1.0,3.0,0.333,1.0,2.0,0.5,1.0,2.0,3.0,1.0,1.0,0.0,1.0,3.0,8.0,2.6,-5.0,7.0,2.0,0.2857142857142857,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,0.0,47.0,2.611111111111111,2.199999999999997,63.0,3.5,0.0520993624972521,L (-17),L (-17)
39.0,17.0,2023-01-04,25-040,CHO,MEM,0.0,22.58333333333333,3.0,8.0,0.375,0.0,1.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,3.0,2.0,0.0,2.0,2.0,7.0,4.1,-15.0,7.0,3.0,0.4285714285714285,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,2.0,44.0,2.4444444444444446,3.6999999999999993,59.8,3.322222222222222,0.0520993624972521,L (-6),L (-6)
40.0,18.0,2023-01-06,25-042,CHO,MIL,0.0,20.316666666666663,2.0,3.0,0.667,0.0,0.0,,2.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,6.0,5.9,19.0,3.0,2.0,0.6666666666666666,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,5.0,77.0,4.277777777777778,5.099999999999998,104.0,5.777777777777778,0.0520993624972521,L (-24),L (-24)
41.0,19.0,2023-01-08,25-044,CHO,IND,0.0,23.4,2.0,5.0,0.4,0.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,5.0,7.0,5.1,9.0,4.0,2.0,0.5,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,4.0,41.0,2.2777777777777777,3.8999999999999977,51.69999999999999,2.872222222222222,0.0520993624972521,W (+29),W (+29)
42.0,20.0,2023-01-10,25-046,CHO,TOR,0.0,23.83333333333333,1.0,7.0,0.143,0.0,3.0,0.0,0.0,0.0,,0.0,2.0,2.0,6.0,3.0,0.0,1.0,0.0,2.0,4.3,-9.0,4.0,1.0,0.25,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,5.0,67.0,3.7222222222222223,4.3,84.50000000000001,4.6944444444444455,0.0520993624972521,,
43.0,21.0,2023-01-12,25-048,CHO,TOR,0.0,19.883333333333333,2.0,5.0,0.4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,7.0,0.0,0.0,1.0,3.0,5.0,5.9,2.0,4.0,2.0,0.5,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,8.0,44.0,2.4444444444444446,5.499999999999997,55.900000000000006,3.105555555555556,0.0520993624972521,L (-5),L (-5)
44.0,22.0,2023-01-14,25-050,CHO,BOS,0.0,17.05,1.0,4.0,0.25,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,2.0,0.6,-1.0,4.0,1.0,0.25,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,1.0,54.0,3.0,0.5999999999999992,72.1,4.005555555555556,0.0520993624972521,L (-12),L (-12)
45.0,23.0,2023-01-16,25-052,CHO,BOS,0.0,24.933333333333334,3.0,10.0,0.3,0.0,4.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,8.0,2.6,-7.0,6.0,3.0,0.5,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,-1.0,37.0,2.055555555555556,1.7999999999999994,50.59999999999998,2.81111111111111,0.0520993624972521,L (-10),L (-10)
46.0,24.0,2023-01-18,25-054,CHO,HOU,0.0,28.98333333333333,2.0,8.0,0.25,0.0,2.0,0.0,5.0,6.0,0.833,1.0,1.0,2.0,7.0,1.0,0.0,1.0,3.0,9.0,8.5,-14.0,6.0,2.0,0.3333333333333333,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,4.0,59.0,3.2777777777777777,6.499999999999999,80.4,4.466666666666667,0.0520993624972521,L (-16),L (-16)
47.0,25.0,2023-01-21,25-057,CHO,ATL,0.0,27.08333333333333,2.0,7.0,0.286,0.0,4.0,0.0,4.0,4.0,1.0,0.0,1.0,1.0,8.0,1.0,0.0,4.0,4.0,8.0,5.2,-2.0,3.0,2.0,0.6666666666666666,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,3.0,59.0,3.2777777777777777,3.6000000000000014,78.6,4.366666666666666,0.0520993624972521,L (-12),L (-12)
48.0,26.0,2023-01-23,25-059,CHO,UTA,0.0,28.966666666666665,6.0,11.0,0.545,0.0,1.0,0.0,3.0,4.0,0.75,0.0,3.0,3.0,9.0,0.0,0.0,0.0,3.0,15.0,15.3,-15.0,10.0,6.0,0.6,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,12.0,14.0,0.7777777777777778,14.099999999999998,28.700000000000003,1.5944444444444446,0.0520993624972521,W (+5),W (+5)
49.0,27.0,2023-01-24,25-060,CHO,PHO,0.0,27.133333333333333,4.0,13.0,0.308,0.0,2.0,0.0,0.0,0.0,,0.0,3.0,3.0,3.0,1.0,0.0,2.0,3.0,8.0,1.3,-26.0,11.0,4.0,0.3636363636363636,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,0.0,24.0,1.3333333333333333,1.2999999999999998,35.89999999999999,1.994444444444444,0.0520993624972521,W (+4),W (+4)
50.0,28.0,2023-01-26,25-062,CHO,CHI,0.0,20.73333333333333,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,,1.0,5.0,6.0,1.0,0.0,0.0,1.0,2.0,4.0,2.4,-6.0,4.0,2.0,0.5,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,5.0,46.0,2.555555555555556,2.4000000000000004,61.5,3.4166666666666665,0.0520993624972521,L (-18),L (-18)
51.0,29.0,2023-01-29,25-065,CHO,MIA,0.0,19.816666666666663,1.0,5.0,0.2,0.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,4.0,1.9,19.0,4.0,1.0,0.25,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,0.0,68.0,3.7777777777777777,1.100000000000001,86.9,4.827777777777778,0.0520993624972521,L (-31),L (-31)
52.0,30.0,2023-01-31,25-067,CHO,MIL,0.0,17.483333333333334,1.0,8.0,0.125,0.0,2.0,0.0,0.0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,-2.4,-6.0,6.0,1.0,0.1666666666666666,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,-2.0,58.0,3.2222222222222223,-2.3999999999999995,71.3,3.961111111111111,0.0520993624972521,W (+15),W (+15)
53.0,31.0,2023-02-02,25-069,CHO,CHI,0.0,20.0,3.0,6.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,4.0,-3.0,4.0,2.0,0.5,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,2.0,44.0,2.4444444444444446,4.0,67.00000000000001,3.722222222222223,0.0520993624972521,W (+5),W (+5)
54.0,32.0,2023-02-03,25-070,CHO,DET,0.0,19.933333333333334,4.0,6.0,0.667,0.0,0.0,,1.0,1.0,1.0,0.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,9.0,8.7,4.0,6.0,4.0,0.6666666666666666,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,8.0,40.0,2.2222222222222223,8.3,59.8,3.322222222222222,0.0520993624972521,L (-9),L (-9)
55.0,33.0,2023-02-05,25-072,CHO,ORL,0.0,22.05,5.0,8.0,0.625,0.0,2.0,0.0,4.0,6.0,0.667,0.0,4.0,4.0,3.0,0.0,0.0,3.0,1.0,14.0,9.5,3.0,6.0,5.0,0.8333333333333334,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,4.0,44.0,2.4444444444444446,7.899999999999997,56.1,3.1166666666666667,0.0520993624972521,L (-16),L (-16)
56.0,34.0,2023-02-08,25-075,CHO,WAS,0.0,24.766666666666666,4.0,6.0,0.667,0.0,0.0,,1.0,2.0,0.5,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,9.0,9.3,-19.0,6.0,4.0,0.6666666666666666,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,6.0,48.0,2.6666666666666665,8.899999999999999,61.5,3.4166666666666665,0.0520993624972521,L (-6),L (-6)
57.0,35.0,2023-02-10,25-077,CHO,BOS,0.0,22.716666666666665,3.0,9.0,0.333,1.0,3.0,0.333,2.0,4.0,0.5,0.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,9.0,6.1,3.0,6.0,2.0,0.3333333333333333,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,2.0,80.0,4.444444444444445,5.299999999999997,101.2,5.622222222222223,0.0520993624972521,L (-6),L (-6)
58.0,36.0,2023-02-11,25-078,CHO,DEN,0.0,27.25,6.0,10.0,0.6,2.0,5.0,0.4,1.0,2.0,0.5,0.0,4.0,4.0,3.0,1.0,2.0,1.0,2.0,15.0,13.9,-3.0,5.0,4.0,0.8,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,12.0,52.0,2.888888888888889,13.499999999999991,73.49999999999999,4.083333333333332,0.0520993624972521,L (-14),L (-14)
59.0,37.0,2023-02-13,25-080,CHO,ATL,0.0,23.816666666666663,5.0,8.0,0.625,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,12.0,6.6,5.0,6.0,5.0,0.8333333333333334,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,3.0,111.0,6.166666666666667,5.799999999999997,128.4,7.133333333333334,0.0520993624972521,L (-11),L (-11)
60.0,38.0,2023-02-15,25-082,CHO,SAS,1.0,31.416666666666668,3.0,8.0,0.375,0.0,2.0,0.0,4.0,4.0,1.0,2.0,3.0,5.0,9.0,3.0,0.0,2.0,3.0,10.0,14.0,14.0,6.0,3.0,0.5,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,13.0,74.0,4.111111111111111,12.400000000000002,86.30000000000001,4.794444444444445,0.0520993624972521,L (-14),L (-14)
61.0,39.0,2023-02-24,25-091,CHO,MIN,0.0,25.7,3.0,8.0,0.375,1.0,3.0,0.333,0.0,0.0,,0.0,2.0,2.0,4.0,2.0,0.0,1.0,0.0,7.0,7.0,1.0,5.0,2.0,0.4,32,7,40,34,17,51,24,28,5,23,35,34,41,50,44,16,46.0,7.0,50.0,80.0,34.0,69.0,46.0,48.0,5,36.0,43.0,79.0,65.0,73.0,63.0,44.0,4.0,0.6956521739130435,1.0,0.8,0.425,0.5,0.7391304347826086,0.5217391304347826,0.5833333333333334,1.0,0.6388888888888888,0.813953488372093,0.430379746835443,0.6307692307692307,0.684931506849315,0.6984126984126984,0.3636363636363636,0.0,21,13,67.0,32.0,0.0,0.40625,18,6.0,82.0,4.555555555555555,6.999999999999998,95.0,5.277777777777778,0.0520993624972521,W (+6),W (+6)
