Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alex Caruso,Shared Games with Andre Drummond,Shared Games with Ayo Dosunmu,Shared Games with Carlik Jones,Shared Games with Coby White,Shared Games with Dalen Terry,Shared Games with DeMar DeRozan,Shared Games with Derrick Jones Jr.,Shared Games with Goran Dragić,Shared Games with Javonte Green,Shared Games with Malcolm Hill,Shared Games with Marko Simonovic,Shared Games with Nikola Vučević,Shared Games with Patrick Williams,Shared Games with Zach LaVine,Alex Caruso,Andre Drummond,Ayo Dosunmu,Carlik Jones,Coby White,Dalen Terry,DeMar DeRozan,Derrick Jones Jr.,Goran Dragić,Javonte Green,Kostas Antetokounmpo,Lonzo Ball,Malcolm Hill,Marko Simonovic,Nikola Vučević,Patrick Williams,Zach LaVine,co_inf with Alex Caruso,co_inf with Andre Drummond,co_inf with Ayo Dosunmu,co_inf with Carlik Jones,co_inf with Coby White,co_inf with Dalen Terry,co_inf with DeMar DeRozan,co_inf with Derrick Jones Jr.,co_inf with Goran Dragić,co_inf with Javonte Green,co_inf with Kostas Antetokounmpo,co_inf with Lonzo Ball,co_inf with Malcolm Hill,co_inf with Marko Simonovic,co_inf with Nikola Vučević,co_inf with Patrick Williams,co_inf with Zach LaVine,Shared Games with Patrick Beverley,Clint Capela,Patrick Beverley,Robert Williams,Terry Taylor,co_inf with Terry Taylor,co_inf with Clint Capela,co_inf with Patrick Beverley,co_inf with Robert Williams,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,,2022-11-06,24-302,CHI,@,TOR,L (-9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,,90.0,5.625,0.0,88.99999999999999,5.562499999999999
11,12,3,2022-11-07,24-303,CHI,,TOR,W (+14),0,0:13,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0,0.0,0.0,,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,1.0,101.0,6.3125,0.3,100.5,6.28125
12,13,,2022-11-09,24-305,CHI,,NOP,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,,75.0,4.6875,0.0,76.3,4.76875
13,14,4,2022-11-13,24-309,CHI,,DEN,L (-23),0,3:25,0.0,0.0,,0.0,0.0,,2,2.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.3,+1,0.0,0.0,,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,1.0,68.0,4.25,1.4999999999999998,68.69999999999999,4.293749999999999
14,15,5,2022-11-16,24-312,CHI,@,NOP,L (-14),0,1:54,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,+3,0.0,0.0,,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,3.0,64.0,4.0,3.0,72.7,4.54375
15,16,,2022-11-18,24-314,CHI,,ORL,L (-1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,,98.0,6.125,0.0,96.7,6.04375
16,17,,2022-11-21,24-317,CHI,,BOS,W (+14),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,,107.0,6.6875,0.0,101.3,6.33125
17,18,,2022-11-23,24-319,CHI,@,MIL,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,,105.0,6.5625,0.0,107.7,6.73125
18,19,,2022-11-25,24-321,CHI,@,OKC,L (-4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,,67.0,4.1875,0.0,78.3,4.89375
19,20,,2022-11-28,24-324,CHI,@,UTA,W (+7),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,,69.0,4.3125,0.0,72.69999999999999,4.543749999999999
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,,0.0,0.0,0.0,0.0,0.0
21,21,6,2022-11-30,24-326,CHI,@,PHO,L (-19),0,3:16,1.0,2.0,.500,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.3,0,2.0,1.0,0.5,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,2.0,74.0,4.625,2.3,78.19999999999999,4.887499999999999
22,22,,2022-12-02,24-328,CHI,@,GSW,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,,73.0,4.5625,0.0,82.9,5.18125
23,23,,2022-12-04,24-330,CHI,@,SAC,L (-9),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,,62.0,3.875,0.0,78.29999999999998,4.893749999999999
24,24,,2022-12-07,24-333,CHI,,WAS,W (+4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,,92.0,5.75,0.0,96.8,6.05
25,25,7,2022-12-10,24-336,CHI,,DAL,W (+29),0,3:31,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,+7,0.0,0.0,,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,2.0,136.0,8.5,2.0,135.1,8.44375
26,26,,2022-12-11,24-337,CHI,@,ATL,L (-1),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,,99.0,6.1875,0.0,94.9,5.93125
27,27,,2022-12-14,24-340,CHI,,NYK,L (-8),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,,93.0,5.8125,0.0,105.3,6.58125
28,28,8,2022-12-16,24-342,CHI,,NYK,L (-23),0,4:28,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.6,+7,1.0,1.0,1.0,10,9,12,1,9,10,11,11,11,7,4,3,12,12,12,67.0,67.0,80.0,7.0,74.0,38.0,74.0,64.0,58.0,32.0,,,5.0,7.0,82.0,82.0,77.0,0.1492537313432835,0.1343283582089552,0.15,0.1428571428571428,0.1216216216216216,0.2631578947368421,0.1486486486486486,0.171875,0.1896551724137931,0.21875,,,0.8,0.4285714285714285,0.1463414634146341,0.1463414634146341,0.1558441558441558,1,65.0,67.0,35.0,31.0,0.0,0.0,0.0149253731343283,0.0,16,4.0,61.0,3.8125,2.6,57.49999999999999,3.5937499999999996
