Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Gordon,Shared Games with Bones Hyland,Shared Games with Bruce Brown,Shared Games with Christian Braun,Shared Games with Davon Reed,Shared Games with Ish Smith,Shared Games with Jack White,Shared Games with Jamal Murray,Shared Games with Jeff Green,Shared Games with Kentavious Caldwell-Pope,Shared Games with Michael Porter Jr.,Shared Games with Nikola Jokić,Shared Games with Peyton Watson,Shared Games with Vlatko Čančar,Shared Games with Zeke Nnaji,Aaron Gordon,Bones Hyland,Bruce Brown,Christian Braun,Collin Gillespie,Davon Reed,Ish Smith,Jack White,Jamal Murray,Jeff Green,Kentavious Caldwell-Pope,Michael Porter Jr.,Nikola Jokić,Peyton Watson,Vlatko Čančar,Zeke Nnaji,co_inf with Aaron Gordon,co_inf with Bones Hyland,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with Collin Gillespie,co_inf with Davon Reed,co_inf with Ish Smith,co_inf with Jack White,co_inf with Jamal Murray,co_inf with Jeff Green,co_inf with Kentavious Caldwell-Pope,co_inf with Michael Porter Jr.,co_inf with Nikola Jokić,co_inf with Peyton Watson,co_inf with Vlatko Čančar,co_inf with Zeke Nnaji,Shared Games with Reggie Jackson,Shared Games with Thomas Bryant,Donovan Williams,Reggie Jackson,Thomas Bryant,co_inf with Reggie Jackson,co_inf with Donovan Williams,co_inf with Thomas Bryant,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,9.0,2022-11-09,34-111,DEN,IND,0,17.6,3.0,3.0,1.000,0.0,0.0,,2,2.0,1.000,0.0,2.0,2.0,1.0,0.0,1.0,3.0,0.0,8.0,6.1,-1,3.0,3.0,1.0,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,4.0,80.0,4.705882352941177,5.299999999999997,91.1,5.358823529411764,14.7,1.4,-1.8,-2.4,0.7,0.0209583991574512,0.731,0.009,0.417,0.0,0.5,W (+3),W (+3)
12.0,10.0,2022-11-11,34-113,DEN,BOS,0,9.183333333333334,1.0,2.0,.500,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.7,-5,2.0,1.0,0.5,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,1.0,61.0,3.588235294117647,1.6999999999999995,83.39999999999999,4.905882352941176,14.7,1.4,-1.8,-2.4,0.7,0.0209583991574512,0.731,0.009,0.417,0.0,0.5,L (-19),L (-19)
13.0,11.0,2022-11-13,34-115,DEN,CHI,0,16.983333333333334,2.0,2.0,1.000,0.0,0.0,,0,1.0,.000,1.0,2.0,3.0,2.0,0.0,1.0,2.0,1.0,4.0,4.0,-5,2.0,2.0,1.0,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,5.0,98.0,5.764705882352941,3.9999999999999982,108.6,6.388235294117647,14.7,1.4,-1.8,-2.4,0.7,0.0209583991574512,0.731,0.009,0.417,0.0,0.5,W (+23),W (+23)
14.0,12.0,2022-11-16,34-118,DEN,NYK,1,26.0,2.0,4.0,.500,0.0,0.0,,0,2.0,.000,2.0,6.0,8.0,2.0,0.0,1.0,1.0,2.0,4.0,4.7,+10,4.0,2.0,0.5,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,8.0,53.0,3.117647058823529,4.699999999999998,62.5,3.676470588235294,14.7,1.4,-1.8,-2.4,0.7,0.0209583991574512,0.731,0.009,0.417,0.0,0.5,L (-3),L (-3)
15.0,13.0,2022-11-18,34-120,DEN,DAL,1,20.35,3.0,3.0,1.000,0.0,0.0,,0,1.0,.000,4.0,3.0,7.0,2.0,1.0,1.0,3.0,2.0,6.0,7.7,-6,3.0,3.0,1.0,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,10.0,46.0,2.7058823529411766,7.699999999999999,62.7,3.6882352941176473,14.7,1.4,-1.8,-2.4,0.7,0.0209583991574512,0.731,0.009,0.417,0.0,0.5,L (-28),L (-28)
16.0,14.0,2022-11-20,34-122,DEN,DAL,1,33.81666666666667,4.0,5.0,.800,0.0,0.0,,0,1.0,.000,2.0,15.0,17.0,1.0,1.0,0.0,1.0,2.0,8.0,11.5,+4,5.0,4.0,0.8,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,20.0,43.0,2.5294117647058822,11.499999999999998,52.89999999999999,3.1117647058823525,14.7,1.4,-1.8,-2.4,0.7,0.0209583991574512,0.731,0.009,0.417,0.0,0.5,W (+1),W (+1)
17.0,15.0,2022-11-22,34-124,DEN,DET,0,11.266666666666667,0.0,2.0,.000,0.0,0.0,,1,2.0,.500,1.0,3.0,4.0,2.0,0.0,1.0,1.0,3.0,1.0,0.7,-15,2.0,0.0,0.0,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,3.0,79.0,4.647058823529412,0.2999999999999989,101.1,5.947058823529411,14.7,1.4,-1.8,-2.4,0.7,0.0209583991574512,0.731,0.009,0.417,0.0,0.5,L (-2),L (-2)
18.0,,2022-11-23,34-125,DEN,OKC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,104.0,6.117647058823529,0.0,129.79999999999998,7.6352941176470575,14.7,1.4,-1.8,-2.4,0.7,0.0209583991574512,0.731,0.009,0.417,0.0,0.5,W (+5),W (+5)
19.0,,2022-11-25,34-127,DEN,LAC,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,78.0,4.588235294117647,0.0,96.0,5.647058823529412,14.7,1.4,-1.8,-2.4,0.7,0.0209583991574512,0.731,0.009,0.417,0.0,0.5,W (+10),W (+10)
20.0,16.0,2022-11-28,34-130,DEN,HOU,0,18.53333333333333,4.0,5.0,.800,0.0,0.0,,0,0.0,,2.0,8.0,10.0,1.0,0.0,0.0,1.0,2.0,8.0,8.8,+11,5.0,4.0,0.8,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,13.0,96.0,5.647058823529412,8.799999999999999,111.70000000000002,6.570588235294118,14.7,1.4,-1.8,-2.4,0.7,0.0209583991574512,0.731,0.009,0.417,0.0,0.5,W (+16),W (+16)
21.0,17.0,2022-11-30,34-132,DEN,HOU,0,18.616666666666667,3.0,4.0,.750,0.0,0.0,,2,3.0,.667,2.0,4.0,6.0,1.0,0.0,2.0,2.0,3.0,8.0,7.5,+14,4.0,3.0,0.75,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,8.0,85.0,5.0,6.699999999999999,95.2,5.6000000000000005,14.7,1.4,-1.8,-2.4,0.7,0.0209583991574512,0.731,0.009,0.417,0.0,0.5,,
22.0,18.0,2022-12-02,34-134,DEN,ATL,0,12.933333333333334,0.0,1.0,.000,0.0,0.0,,1,2.0,.500,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,3.3,0,1.0,0.0,0.0,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,4.0,73.0,4.294117647058823,2.9000000000000004,92.3,5.429411764705883,14.7,1.4,-1.8,-2.4,0.7,0.0209583991574512,0.731,0.009,0.417,0.0,0.5,W (+20),W (+20)
23.0,19.0,2022-12-04,34-136,DEN,NOP,0,8.666666666666666,2.0,2.0,1.000,0.0,0.0,,1,2.0,.500,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,5.0,3.6,-19,2.0,2.0,1.0,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,2.0,75.0,4.411764705882353,3.2,90.1,5.3,14.7,1.4,-1.8,-2.4,0.7,0.0209583991574512,0.731,0.009,0.417,0.0,0.5,L (-8),L (-8)
24.0,,2022-12-06,34-138,DEN,DAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,,53.0,3.117647058823529,0.0,73.20000000000002,4.305882352941177,14.7,1.4,-1.8,-2.4,0.7,0.0209583991574512,0.731,0.009,0.417,0.0,0.5,L (-15),L (-15)
25.0,20.0,2022-12-08,34-140,DEN,POR,0,13.65,2.0,2.0,1.000,0.0,0.0,,1,2.0,.500,1.0,5.0,6.0,0.0,0.0,3.0,0.0,1.0,5.0,7.9,+9,2.0,2.0,1.0,30,27,38,36,23,22,8,29,26,33,25,29,11,29,26,68.0,56.0,80.0,76.0,,43.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4411764705882353,0.4821428571428571,0.475,0.4736842105263157,,0.5348837209302325,0.5116279069767442,0.4705882352941176,0.4461538461538462,0.4642857142857143,0.4342105263157895,0.4032258064516129,0.4202898550724637,0.4782608695652174,0.4833333333333333,0.490566037735849,4,2,2.0,68.0,59.0,0.0588235294117647,0.0,0.0338983050847457,17,10.0,63.0,3.7058823529411766,7.499999999999999,84.39999999999999,4.96470588235294,14.7,1.4,-1.8,-2.4,0.7,0.0209583991574512,0.731,0.009,0.417,0.0,0.5,L (-1),L (-1)
