Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Alondes Williams,Shared Games with Ben Simmons,Shared Games with Cam Thomas,Shared Games with David Duke Jr.,Shared Games with Edmond Sumner,Shared Games with Joe Harris,Shared Games with Kessler Edwards,Shared Games with Kevin Durant,Shared Games with Kyrie Irving,Shared Games with Markieff Morris,Shared Games with Nic Claxton,Shared Games with Patty Mills,Shared Games with RaiQuan Gray,Shared Games with Royce O'Neale,Shared Games with Seth Curry,Shared Games with T.J. Warren,Shared Games with Yuta Watanabe,Alondes Williams,Ben Simmons,Cam Thomas,David Duke Jr.,Edmond Sumner,Joe Harris,Kessler Edwards,Kevin Durant,Kyrie Irving,Markieff Morris,Nic Claxton,Patty Mills,RaiQuan Gray,Royce O'Neale,Seth Curry,T.J. Warren,Yuta Watanabe,co_inf with Alondes Williams,co_inf with Ben Simmons,co_inf with Cam Thomas,co_inf with David Duke Jr.,co_inf with Edmond Sumner,co_inf with Joe Harris,co_inf with Kessler Edwards,co_inf with Kevin Durant,co_inf with Kyrie Irving,co_inf with Markieff Morris,co_inf with Nic Claxton,co_inf with Patty Mills,co_inf with RaiQuan Gray,co_inf with Royce O'Neale,co_inf with Seth Curry,co_inf with T.J. Warren,co_inf with Yuta Watanabe,Shared Games with Dorian Finney-Smith,Shared Games with Spencer Dinwiddie,Shared Games with Nerlens Noel,Shared Games with Moses Brown,Shared Games with Cameron Johnson,Shared Games with Dru Smith,Shared Games with Mikal Bridges,Bogdan Bogdanović,Cameron Johnson,Dorian Finney-Smith,Dru Smith,Mikal Bridges,Moses Brown,Nerlens Noel,Payton Pritchard,Spencer Dinwiddie,co_inf with Dorian Finney-Smith,co_inf with Spencer Dinwiddie,co_inf with Nerlens Noel,co_inf with Moses Brown,co_inf with Bogdan Bogdanović,co_inf with Cameron Johnson,co_inf with Dru Smith,co_inf with Mikal Bridges,co_inf with Payton Pritchard,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,7.0,2022-11-07,21-001,BRK,DAL,0,0.0833333333333333,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,1,21,37,19,31,43,12,19,18,16,42,30,1,43,31,10,37,1.0,42.0,57.0,23.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.5,0.6491228070175439,0.8260869565217391,0.5849056603773585,0.581081081081081,0.3333333333333333,0.4042553191489361,0.3,0.4571428571428571,0.5526315789473685,0.75,1.0,0.5657894736842105,0.5081967213114754,0.238095238095238,0.6379310344827587,16,17,1,1,16,6,16,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2424242424242424,0.2151898734177215,0.0588235294117647,0.0277777777777777,0.0,0.3809523809523809,0.4,0.1927710843373494,0.0,24,0.0,98.0,4.083333333333333,0.0,112.4,4.683333333333334,17.8,1.6,-2.3,-1.8,-0.6,0.0244217321140398,0.581,0.064,0.322,0.0,0.8,L (-2),L (-2)
12.0,8.0,2022-11-09,21-003,BRK,NYK,0,4.6,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.8,-5,0.0,0.0,,1,21,37,19,31,43,12,19,18,16,42,30,1,43,31,10,37,1.0,42.0,57.0,23.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.5,0.6491228070175439,0.8260869565217391,0.5849056603773585,0.581081081081081,0.3333333333333333,0.4042553191489361,0.3,0.4571428571428571,0.5526315789473685,0.75,1.0,0.5657894736842105,0.5081967213114754,0.238095238095238,0.6379310344827587,16,17,1,1,16,6,16,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2424242424242424,0.2151898734177215,0.0588235294117647,0.0277777777777777,0.0,0.3809523809523809,0.4,0.1927710843373494,0.0,24,1.0,106.0,4.416666666666667,-0.8,106.19999999999996,4.424999999999998,17.8,1.6,-2.3,-1.8,-0.6,0.0244217321140398,0.581,0.064,0.322,0.0,0.8,W (+27),W (+27)
13.0,9.0,2022-11-12,21-006,BRK,LAC,0,1.9166666666666663,1.0,1.0,1.000,0.0,0.0,,2,2.0,1.000,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.7,+2,1.0,1.0,1.0,1,21,37,19,31,43,12,19,18,16,42,30,1,43,31,10,37,1.0,42.0,57.0,23.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.5,0.6491228070175439,0.8260869565217391,0.5849056603773585,0.581081081081081,0.3333333333333333,0.4042553191489361,0.3,0.4571428571428571,0.5526315789473685,0.75,1.0,0.5657894736842105,0.5081967213114754,0.238095238095238,0.6379310344827587,16,17,1,1,16,6,16,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2424242424242424,0.2151898734177215,0.0588235294117647,0.0277777777777777,0.0,0.3809523809523809,0.4,0.1927710843373494,0.0,24,3.0,87.0,3.625,3.9,104.8,4.366666666666666,17.8,1.6,-2.3,-1.8,-0.6,0.0244217321140398,0.581,0.064,0.322,0.0,0.8,W (+15),W (+15)
14.0,10.0,2022-11-13,21-007,BRK,LAL,0,3.65,0.0,1.0,.000,0.0,0.0,,0,0.0,,1.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.1,+5,1.0,0.0,0.0,1,21,37,19,31,43,12,19,18,16,42,30,1,43,31,10,37,1.0,42.0,57.0,23.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.5,0.6491228070175439,0.8260869565217391,0.5849056603773585,0.581081081081081,0.3333333333333333,0.4042553191489361,0.3,0.4571428571428571,0.5526315789473685,0.75,1.0,0.5657894736842105,0.5081967213114754,0.238095238095238,0.6379310344827587,16,17,1,1,16,6,16,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2424242424242424,0.2151898734177215,0.0588235294117647,0.0277777777777777,0.0,0.3809523809523809,0.4,0.1927710843373494,0.0,24,2.0,78.0,3.25,-0.1,93.59999999999998,3.899999999999999,17.8,1.6,-2.3,-1.8,-0.6,0.0244217321140398,0.581,0.064,0.322,0.0,0.8,L (-13),L (-13)
15.0,11.0,2022-11-15,21-009,BRK,SAC,0,12.0,2.0,4.0,.500,1.0,1.0,1.000,2,2.0,1.000,0.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,7.0,8.3,+1,3.0,1.0,0.3333333333333333,1,21,37,19,31,43,12,19,18,16,42,30,1,43,31,10,37,1.0,42.0,57.0,23.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.5,0.6491228070175439,0.8260869565217391,0.5849056603773585,0.581081081081081,0.3333333333333333,0.4042553191489361,0.3,0.4571428571428571,0.5526315789473685,0.75,1.0,0.5657894736842105,0.5081967213114754,0.238095238095238,0.6379310344827587,16,17,1,1,16,6,16,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2424242424242424,0.2151898734177215,0.0588235294117647,0.0277777777777777,0.0,0.3809523809523809,0.4,0.1927710843373494,0.0,24,8.0,76.0,3.1666666666666665,7.499999999999999,95.8,3.991666666666666,17.8,1.6,-2.3,-1.8,-0.6,0.0244217321140398,0.581,0.064,0.322,0.0,0.8,L (-32),L (-32)
16.0,,2022-11-17,21-011,BRK,POR,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,21,37,19,31,43,12,19,18,16,42,30,1,43,31,10,37,1.0,42.0,57.0,23.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.5,0.6491228070175439,0.8260869565217391,0.5849056603773585,0.581081081081081,0.3333333333333333,0.4042553191489361,0.3,0.4571428571428571,0.5526315789473685,0.75,1.0,0.5657894736842105,0.5081967213114754,0.238095238095238,0.6379310344827587,16,17,1,1,16,6,16,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2424242424242424,0.2151898734177215,0.0588235294117647,0.0277777777777777,0.0,0.3809523809523809,0.4,0.1927710843373494,0.0,24,,91.0,3.7916666666666665,0.0,84.59999999999998,3.524999999999999,17.8,1.6,-2.3,-1.8,-0.6,0.0244217321140398,0.581,0.064,0.322,0.0,0.8,W (+2),W (+2)
17.0,12.0,2022-11-20,21-014,BRK,MEM,0,2.65,1.0,2.0,.500,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.3,-5,2.0,1.0,0.5,1,21,37,19,31,43,12,19,18,16,42,30,1,43,31,10,37,1.0,42.0,57.0,23.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.5,0.6491228070175439,0.8260869565217391,0.5849056603773585,0.581081081081081,0.3333333333333333,0.4042553191489361,0.3,0.4571428571428571,0.5526315789473685,0.75,1.0,0.5657894736842105,0.5081967213114754,0.238095238095238,0.6379310344827587,16,17,1,1,16,6,16,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2424242424242424,0.2151898734177215,0.0588235294117647,0.0277777777777777,0.0,0.3809523809523809,0.4,0.1927710843373494,0.0,24,1.0,117.0,4.875,1.2999999999999998,116.29999999999998,4.845833333333332,17.8,1.6,-2.3,-1.8,-0.6,0.0244217321140398,0.581,0.064,0.322,0.0,0.8,W (+12),W (+12)
18.0,13.0,2022-11-22,21-016,BRK,PHI,0,3.1333333333333333,0.0,0.0,,0.0,0.0,,0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.1,+5,0.0,0.0,,1,21,37,19,31,43,12,19,18,16,42,30,1,43,31,10,37,1.0,42.0,57.0,23.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.5,0.6491228070175439,0.8260869565217391,0.5849056603773585,0.581081081081081,0.3333333333333333,0.4042553191489361,0.3,0.4571428571428571,0.5526315789473685,0.75,1.0,0.5657894736842105,0.5081967213114754,0.238095238095238,0.6379310344827587,16,17,1,1,16,6,16,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2424242424242424,0.2151898734177215,0.0588235294117647,0.0277777777777777,0.0,0.3809523809523809,0.4,0.1927710843373494,0.0,24,1.0,79.0,3.2916666666666665,-0.1,85.89999999999999,3.579166666666666,17.8,1.6,-2.3,-1.8,-0.6,0.0244217321140398,0.581,0.064,0.322,0.0,0.8,L (-9),L (-9)
19.0,14.0,2022-11-23,21-017,BRK,TOR,0,3.9,2.0,3.0,.667,1.0,1.0,1.000,0,0.0,,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,5.0,5.7,-5,2.0,1.0,0.5,1,21,37,19,31,43,12,19,18,16,42,30,1,43,31,10,37,1.0,42.0,57.0,23.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.5,0.6491228070175439,0.8260869565217391,0.5849056603773585,0.581081081081081,0.3333333333333333,0.4042553191489361,0.3,0.4571428571428571,0.5526315789473685,0.75,1.0,0.5657894736842105,0.5081967213114754,0.238095238095238,0.6379310344827587,16,17,1,1,16,6,16,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2424242424242424,0.2151898734177215,0.0588235294117647,0.0277777777777777,0.0,0.3809523809523809,0.4,0.1927710843373494,0.0,24,6.0,94.0,3.9166666666666665,5.7,107.50000000000004,4.479166666666669,17.8,1.6,-2.3,-1.8,-0.6,0.0244217321140398,0.581,0.064,0.322,0.0,0.8,W (+14),W (+14)
20.0,,2022-11-25,21-019,BRK,IND,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,1,21,37,19,31,43,12,19,18,16,42,30,1,43,31,10,37,1.0,42.0,57.0,23.0,53.0,74.0,36.0,47.0,60.0,35.0,76.0,40.0,1,76.0,61.0,42.0,58.0,1.0,0.5,0.6491228070175439,0.8260869565217391,0.5849056603773585,0.581081081081081,0.3333333333333333,0.4042553191489361,0.3,0.4571428571428571,0.5526315789473685,0.75,1.0,0.5657894736842105,0.5081967213114754,0.238095238095238,0.6379310344827587,16,17,1,1,16,6,16,54.0,42.0,66.0,15.0,83.0,36.0,17.0,48.0,79.0,0.2424242424242424,0.2151898734177215,0.0588235294117647,0.0277777777777777,0.0,0.3809523809523809,0.4,0.1927710843373494,0.0,24,,77.0,3.208333333333333,0.0,77.6,3.233333333333333,17.8,1.6,-2.3,-1.8,-0.6,0.0244217321140398,0.581,0.064,0.322,0.0,0.8,L (-11),L (-11)
