Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Collin Sexton,Shared Games with Jarred Vanderbilt,Shared Games with Johnny Juzang,Shared Games with Jordan Clarkson,Shared Games with Kelly Olynyk,Shared Games with Kris Dunn,Shared Games with Lauri Markkanen,Shared Games with Leandro Bolmaro,Shared Games with Luka Šamanić,Shared Games with Malik Beasley,Shared Games with Micah Potter,Shared Games with Mike Conley,Shared Games with Nickeil Alexander-Walker,Shared Games with Ochai Agbaji,Shared Games with Simone Fontecchio,Shared Games with Talen Horton-Tucker,Shared Games with Udoka Azubuike,Shared Games with Walker Kessler,Collin Sexton,Frank Jackson,Jarred Vanderbilt,Jarrell Brantley,Johnny Juzang,Jordan Clarkson,Kelly Olynyk,Kris Dunn,Lauri Markkanen,Leandro Bolmaro,Luka Šamanić,Malik Beasley,Micah Potter,Mike Conley,Nickeil Alexander-Walker,Ochai Agbaji,Simone Fontecchio,Talen Horton-Tucker,Udoka Azubuike,Walker Kessler,co_inf with Collin Sexton,co_inf with Frank Jackson,co_inf with Jarred Vanderbilt,co_inf with Jarrell Brantley,co_inf with Johnny Juzang,co_inf with Jordan Clarkson,co_inf with Kelly Olynyk,co_inf with Kris Dunn,co_inf with Lauri Markkanen,co_inf with Leandro Bolmaro,co_inf with Luka Šamanić,co_inf with Malik Beasley,co_inf with Micah Potter,co_inf with Mike Conley,co_inf with Nickeil Alexander-Walker,co_inf with Ochai Agbaji,co_inf with Simone Fontecchio,co_inf with Talen Horton-Tucker,co_inf with Udoka Azubuike,co_inf with Walker Kessler,Shared Games with Damian Jones,Shared Games with Juan Toscano-Anderson,Damian Jones,Juan Toscano-Anderson,Malcolm Brogdon,co_inf with Damian Jones,co_inf with Juan Toscano-Anderson,co_inf with Malcolm Brogdon,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
10,11,8,2022-11-06,36-081,UTA,@,LAC,W (+8),0,16:03,1.0,4.0,.250,0.0,3.0,.000,0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,-1.9,+1,1.0,1.0,1.0,32,37,10,45,45,12,50,12,5,40,1,37,26,42,33,43,21,55,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,52.0,65.0,36.0,74.0,0.6666666666666666,0.0,0.4743589743589743,0.0,0.5555555555555556,0.7377049180327869,0.6617647058823529,0.5454545454545454,0.7575757575757576,0.8571428571428571,0.7142857142857143,0.4938271604938271,0.1428571428571428,0.5522388059701493,0.4406779661016949,0.711864406779661,0.6346153846153846,0.6615384615384615,0.5833333333333334,0.7432432432432432,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,-1.0,64.0,3.2,-1.9,74.6,3.7299999999999995
11,12,9,2022-11-07,36-082,UTA,,LAL,W (+23),0,16:26,3.0,7.0,.429,1.0,5.0,.200,1,2.0,.500,1.0,4.0,5.0,0.0,0.0,1.0,1.0,0.0,8.0,5.5,+16,2.0,2.0,1.0,32,37,10,45,45,12,50,12,5,40,1,37,26,42,33,43,21,55,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,52.0,65.0,36.0,74.0,0.6666666666666666,0.0,0.4743589743589743,0.0,0.5555555555555556,0.7377049180327869,0.6617647058823529,0.5454545454545454,0.7575757575757576,0.8571428571428571,0.7142857142857143,0.4938271604938271,0.1428571428571428,0.5522388059701493,0.4406779661016949,0.711864406779661,0.6346153846153846,0.6615384615384615,0.5833333333333334,0.7432432432432432,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,4.0,85.0,4.25,5.099999999999998,101.7,5.085
12,13,10,2022-11-09,36-084,UTA,@,ATL,W (+6),0,18:08,1.0,7.0,.143,0.0,4.0,.000,0,0.0,,1.0,5.0,6.0,0.0,1.0,1.0,1.0,2.0,2.0,-0.4,+18,3.0,1.0,0.3333333333333333,32,37,10,45,45,12,50,12,5,40,1,37,26,42,33,43,21,55,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,52.0,65.0,36.0,74.0,0.6666666666666666,0.0,0.4743589743589743,0.0,0.5555555555555556,0.7377049180327869,0.6617647058823529,0.5454545454545454,0.7575757575757576,0.8571428571428571,0.7142857142857143,0.4938271604938271,0.1428571428571428,0.5522388059701493,0.4406779661016949,0.711864406779661,0.6346153846153846,0.6615384615384615,0.5833333333333334,0.7432432432432432,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,2.0,44.0,2.2,-0.3999999999999997,62.59999999999998,3.129999999999999
13,14,11,2022-11-12,36-087,UTA,@,WAS,L (-9),0,17:17,3.0,6.0,.500,2.0,4.0,.500,0,0.0,,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,8.0,7.2,+8,2.0,1.0,0.5,32,37,10,45,45,12,50,12,5,40,1,37,26,42,33,43,21,55,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,52.0,65.0,36.0,74.0,0.6666666666666666,0.0,0.4743589743589743,0.0,0.5555555555555556,0.7377049180327869,0.6617647058823529,0.5454545454545454,0.7575757575757576,0.8571428571428571,0.7142857142857143,0.4938271604938271,0.1428571428571428,0.5522388059701493,0.4406779661016949,0.711864406779661,0.6346153846153846,0.6615384615384615,0.5833333333333334,0.7432432432432432,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,7.0,45.0,2.25,7.199999999999999,59.19999999999999,2.9599999999999995
14,15,12,2022-11-13,36-088,UTA,@,PHI,L (-7),0,13:35,1.0,1.0,1.000,1.0,1.0,1.000,0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,2.9,+12,0.0,0.0,,32,37,10,45,45,12,50,12,5,40,1,37,26,42,33,43,21,55,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,52.0,65.0,36.0,74.0,0.6666666666666666,0.0,0.4743589743589743,0.0,0.5555555555555556,0.7377049180327869,0.6617647058823529,0.5454545454545454,0.7575757575757576,0.8571428571428571,0.7142857142857143,0.4938271604938271,0.1428571428571428,0.5522388059701493,0.4406779661016949,0.711864406779661,0.6346153846153846,0.6615384615384615,0.5833333333333334,0.7432432432432432,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,4.0,29.0,1.45,2.9,45.2,2.2600000000000002
15,16,,2022-11-15,36-090,UTA,,NYK,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,37,10,45,45,12,50,12,5,40,1,37,26,42,33,43,21,55,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,52.0,65.0,36.0,74.0,0.6666666666666666,0.0,0.4743589743589743,0.0,0.5555555555555556,0.7377049180327869,0.6617647058823529,0.5454545454545454,0.7575757575757576,0.8571428571428571,0.7142857142857143,0.4938271604938271,0.1428571428571428,0.5522388059701493,0.4406779661016949,0.711864406779661,0.6346153846153846,0.6615384615384615,0.5833333333333334,0.7432432432432432,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,,56.0,2.8,0.0,68.69999999999999,3.4349999999999996
16,17,,2022-11-18,36-093,UTA,,PHO,W (+1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,37,10,45,45,12,50,12,5,40,1,37,26,42,33,43,21,55,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,52.0,65.0,36.0,74.0,0.6666666666666666,0.0,0.4743589743589743,0.0,0.5555555555555556,0.7377049180327869,0.6617647058823529,0.5454545454545454,0.7575757575757576,0.8571428571428571,0.7142857142857143,0.4938271604938271,0.1428571428571428,0.5522388059701493,0.4406779661016949,0.711864406779661,0.6346153846153846,0.6615384615384615,0.5833333333333334,0.7432432432432432,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,,59.0,2.95,0.0,69.2,3.46
17,18,,2022-11-19,36-094,UTA,@,POR,W (+5),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,37,10,45,45,12,50,12,5,40,1,37,26,42,33,43,21,55,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,52.0,65.0,36.0,74.0,0.6666666666666666,0.0,0.4743589743589743,0.0,0.5555555555555556,0.7377049180327869,0.6617647058823529,0.5454545454545454,0.7575757575757576,0.8571428571428571,0.7142857142857143,0.4938271604938271,0.1428571428571428,0.5522388059701493,0.4406779661016949,0.711864406779661,0.6346153846153846,0.6615384615384615,0.5833333333333334,0.7432432432432432,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,,58.0,2.9,0.0,66.89999999999999,3.3449999999999998
18,19,,2022-11-21,36-096,UTA,@,LAC,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,37,10,45,45,12,50,12,5,40,1,37,26,42,33,43,21,55,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,52.0,65.0,36.0,74.0,0.6666666666666666,0.0,0.4743589743589743,0.0,0.5555555555555556,0.7377049180327869,0.6617647058823529,0.5454545454545454,0.7575757575757576,0.8571428571428571,0.7142857142857143,0.4938271604938271,0.1428571428571428,0.5522388059701493,0.4406779661016949,0.711864406779661,0.6346153846153846,0.6615384615384615,0.5833333333333334,0.7432432432432432,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,,69.0,3.45,0.0,81.99999999999997,4.099999999999999
19,20,,2022-11-23,36-098,UTA,,DET,L (-9),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,37,10,45,45,12,50,12,5,40,1,37,26,42,33,43,21,55,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,52.0,65.0,36.0,74.0,0.6666666666666666,0.0,0.4743589743589743,0.0,0.5555555555555556,0.7377049180327869,0.6617647058823529,0.5454545454545454,0.7575757575757576,0.8571428571428571,0.7142857142857143,0.4938271604938271,0.1428571428571428,0.5522388059701493,0.4406779661016949,0.711864406779661,0.6346153846153846,0.6615384615384615,0.5833333333333334,0.7432432432432432,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,,86.0,4.3,0.0,79.8,3.9899999999999998
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,32,37,10,45,45,12,50,12,5,40,1,37,26,42,33,43,21,55,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,52.0,65.0,36.0,74.0,0.6666666666666666,0.0,0.4743589743589743,0.0,0.5555555555555556,0.7377049180327869,0.6617647058823529,0.5454545454545454,0.7575757575757576,0.8571428571428571,0.7142857142857143,0.4938271604938271,0.1428571428571428,0.5522388059701493,0.4406779661016949,0.711864406779661,0.6346153846153846,0.6615384615384615,0.5833333333333334,0.7432432432432432,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,,0.0,0.0,0.0,0.0,0.0
21,21,,2022-11-25,36-100,UTA,@,GSW,L (-11),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,37,10,45,45,12,50,12,5,40,1,37,26,42,33,43,21,55,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,52.0,65.0,36.0,74.0,0.6666666666666666,0.0,0.4743589743589743,0.0,0.5555555555555556,0.7377049180327869,0.6617647058823529,0.5454545454545454,0.7575757575757576,0.8571428571428571,0.7142857142857143,0.4938271604938271,0.1428571428571428,0.5522388059701493,0.4406779661016949,0.711864406779661,0.6346153846153846,0.6615384615384615,0.5833333333333334,0.7432432432432432,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,,90.0,4.5,0.0,89.60000000000002,4.480000000000001
22,22,,2022-11-26,36-101,UTA,@,PHO,L (-1),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,37,10,45,45,12,50,12,5,40,1,37,26,42,33,43,21,55,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,52.0,65.0,36.0,74.0,0.6666666666666666,0.0,0.4743589743589743,0.0,0.5555555555555556,0.7377049180327869,0.6617647058823529,0.5454545454545454,0.7575757575757576,0.8571428571428571,0.7142857142857143,0.4938271604938271,0.1428571428571428,0.5522388059701493,0.4406779661016949,0.711864406779661,0.6346153846153846,0.6615384615384615,0.5833333333333334,0.7432432432432432,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,,72.0,3.6,0.0,76.60000000000001,3.8300000000000005
23,23,,2022-11-28,36-103,UTA,,CHI,L (-7),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,37,10,45,45,12,50,12,5,40,1,37,26,42,33,43,21,55,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,52.0,65.0,36.0,74.0,0.6666666666666666,0.0,0.4743589743589743,0.0,0.5555555555555556,0.7377049180327869,0.6617647058823529,0.5454545454545454,0.7575757575757576,0.8571428571428571,0.7142857142857143,0.4938271604938271,0.1428571428571428,0.5522388059701493,0.4406779661016949,0.711864406779661,0.6346153846153846,0.6615384615384615,0.5833333333333334,0.7432432432432432,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,,60.0,3.0,0.0,66.7,3.335
24,24,,2022-11-30,36-105,UTA,,LAC,W (+13),Inactive,Inactive,0.0,0.0,Inactive,,,Inactive,Inactive,0.0,Inactive,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Inactive,Inactive,,,,32,37,10,45,45,12,50,12,5,40,1,37,26,42,33,43,21,55,48.0,1.0,78.0,4.0,18.0,61.0,68.0,22.0,66.0,14.0,7,81.0,7.0,67.0,59.0,59.0,52.0,65.0,36.0,74.0,0.6666666666666666,0.0,0.4743589743589743,0.0,0.5555555555555556,0.7377049180327869,0.6617647058823529,0.5454545454545454,0.7575757575757576,0.8571428571428571,0.7142857142857143,0.4938271604938271,0.1428571428571428,0.5522388059701493,0.4406779661016949,0.711864406779661,0.6346153846153846,0.6615384615384615,0.5833333333333334,0.7432432432432432,10,12,41.0,52.0,67.0,0.2439024390243902,0.2307692307692307,0.0,20,,90.0,4.5,0.0,83.2,4.16
