Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Anfernee Simons,Shared Games with Chance Comanche,Shared Games with Damian Lillard,Shared Games with Drew Eubanks,Shared Games with Gary Payton II,Shared Games with Greg Brown III,Shared Games with Jabari Walker,Shared Games with Jeenathan Williams,Shared Games with Jerami Grant,Shared Games with John Butler,Shared Games with Josh Hart,Shared Games with Justin Minaya,Shared Games with Justise Winslow,Shared Games with Keon Johnson,Shared Games with Nassir Little,Shared Games with Shaedon Sharpe,Shared Games with Skylar Mays,Shared Games with Trendon Watford,Anfernee Simons,Chance Comanche,Damian Lillard,Drew Eubanks,Gary Payton II,Greg Brown III,Jabari Walker,Jeenathan Williams,Jerami Grant,John Butler,Josh Hart,Justin Minaya,Justise Winslow,Keon Johnson,Nassir Little,Olivier Sarr,Shaedon Sharpe,Shaquille Harrison,Skylar Mays,Trendon Watford,co_inf with Anfernee Simons,co_inf with Chance Comanche,co_inf with Damian Lillard,co_inf with Drew Eubanks,co_inf with Gary Payton II,co_inf with Greg Brown III,co_inf with Jabari Walker,co_inf with Jeenathan Williams,co_inf with Jerami Grant,co_inf with John Butler,co_inf with Josh Hart,co_inf with Justin Minaya,co_inf with Justise Winslow,co_inf with Keon Johnson,co_inf with Nassir Little,co_inf with Olivier Sarr,co_inf with Shaedon Sharpe,co_inf with Shaquille Harrison,co_inf with Skylar Mays,co_inf with Trendon Watford,Shared Games with Kevin Knox,Shared Games with Cam Reddish,Shared Games with Matisse Thybulle,Shared Games with Ryan Arcidiacono,Cam Reddish,Jayson Tatum,Kevin Knox,Matisse Thybulle,Ryan Arcidiacono,co_inf with Kevin Knox,co_inf with Cam Reddish,co_inf with Jayson Tatum,co_inf with Matisse Thybulle,co_inf with Ryan Arcidiacono,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,,2022-11-09,28-078,POR,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,48,1,40,50,11,15,31,5,47,8,43,4,26,27,31,52,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7741935483870968,1.0,0.6896551724137931,0.6410256410256411,0.5,0.9375,0.5535714285714286,1.0,0.746031746031746,0.4210526315789473,0.5657894736842105,1.0,0.896551724137931,0.675,0.5740740740740741,0.0,0.65,0.0,1.0,0.5645161290322581,4,7,7,2,40.0,74.0,63.0,71.0,20.0,0.0634920634920634,0.175,0.0,0.0985915492957746,0.1,22,,73.0,3.3181818181818183,0.0,72.8,3.309090909090909,17.3,2.7,0.1,-0.6,0.7,0.0746316808258952,0.589,0.236,0.38,0.7,1.2,W (+10),W (+10)
12.0,,2022-11-10,28-079,POR,NOP,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,48,1,40,50,11,15,31,5,47,8,43,4,26,27,31,52,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7741935483870968,1.0,0.6896551724137931,0.6410256410256411,0.5,0.9375,0.5535714285714286,1.0,0.746031746031746,0.4210526315789473,0.5657894736842105,1.0,0.896551724137931,0.675,0.5740740740740741,0.0,0.65,0.0,1.0,0.5645161290322581,4,7,7,2,40.0,74.0,63.0,71.0,20.0,0.0634920634920634,0.175,0.0,0.0985915492957746,0.1,22,,69.0,3.136363636363636,0.0,66.89999999999999,3.0409090909090906,17.3,2.7,0.1,-0.6,0.7,0.0746316808258952,0.589,0.236,0.38,0.7,1.2,W (+11),W (+11)
13.0,,2022-11-12,28-081,POR,DAL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,48,1,40,50,11,15,31,5,47,8,43,4,26,27,31,52,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7741935483870968,1.0,0.6896551724137931,0.6410256410256411,0.5,0.9375,0.5535714285714286,1.0,0.746031746031746,0.4210526315789473,0.5657894736842105,1.0,0.896551724137931,0.675,0.5740740740740741,0.0,0.65,0.0,1.0,0.5645161290322581,4,7,7,2,40.0,74.0,63.0,71.0,20.0,0.0634920634920634,0.175,0.0,0.0985915492957746,0.1,22,,90.0,4.090909090909091,0.0,100.5,4.568181818181818,17.3,2.7,0.1,-0.6,0.7,0.0746316808258952,0.589,0.236,0.38,0.7,1.2,L (-5),L (-5)
14.0,11.0,2022-11-15,28-084,POR,SAS,1,15.0,4.0,9.0,.444,0.0,0.0,,1,2.0,.500,2.0,3.0,5.0,1.0,0.0,0.0,1.0,2.0,9.0,5.1,-21,9.0,4.0,0.4444444444444444,48,1,40,50,11,15,31,5,47,8,43,4,26,27,31,52,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7741935483870968,1.0,0.6896551724137931,0.6410256410256411,0.5,0.9375,0.5535714285714286,1.0,0.746031746031746,0.4210526315789473,0.5657894736842105,1.0,0.896551724137931,0.675,0.5740740740740741,0.0,0.65,0.0,1.0,0.5645161290322581,4,7,7,2,40.0,74.0,63.0,71.0,20.0,0.0634920634920634,0.175,0.0,0.0985915492957746,0.1,22,3.0,78.0,3.5454545454545454,4.7,90.7,4.122727272727273,17.3,2.7,0.1,-0.6,0.7,0.0746316808258952,0.589,0.236,0.38,0.7,1.2,W (+7),W (+7)
15.0,12.0,2022-11-17,28-086,POR,BRK,1,25.2,5.0,9.0,.556,0.0,1.0,.000,7,11.0,.636,2.0,6.0,8.0,0.0,0.0,1.0,2.0,3.0,17.0,11.8,+5,8.0,5.0,0.625,48,1,40,50,11,15,31,5,47,8,43,4,26,27,31,52,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7741935483870968,1.0,0.6896551724137931,0.6410256410256411,0.5,0.9375,0.5535714285714286,1.0,0.746031746031746,0.4210526315789473,0.5657894736842105,1.0,0.896551724137931,0.675,0.5740740740740741,0.0,0.65,0.0,1.0,0.5645161290322581,4,7,7,2,40.0,74.0,63.0,71.0,20.0,0.0634920634920634,0.175,0.0,0.0985915492957746,0.1,22,4.0,54.0,2.4545454545454546,8.999999999999996,60.50000000000001,2.7500000000000004,17.3,2.7,0.1,-0.6,0.7,0.0746316808258952,0.589,0.236,0.38,0.7,1.2,L (-2),L (-2)
16.0,13.0,2022-11-19,28-088,POR,UTA,1,27.133333333333333,8.0,10.0,.800,1.0,1.0,1.000,1,3.0,.333,2.0,5.0,7.0,2.0,1.0,0.0,5.0,4.0,18.0,12.1,-7,9.0,7.0,0.7777777777777778,48,1,40,50,11,15,31,5,47,8,43,4,26,27,31,52,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7741935483870968,1.0,0.6896551724137931,0.6410256410256411,0.5,0.9375,0.5535714285714286,1.0,0.746031746031746,0.4210526315789473,0.5657894736842105,1.0,0.896551724137931,0.675,0.5740740740740741,0.0,0.65,0.0,1.0,0.5645161290322581,4,7,7,2,40.0,74.0,63.0,71.0,20.0,0.0634920634920634,0.175,0.0,0.0985915492957746,0.1,22,10.0,67.0,3.0454545454545454,11.699999999999996,70.2,3.190909090909091,17.3,2.7,0.1,-0.6,0.7,0.0746316808258952,0.589,0.236,0.38,0.7,1.2,L (-5),L (-5)
17.0,14.0,2022-11-21,28-090,POR,MIL,1,31.616666666666667,7.0,15.0,.467,1.0,4.0,.250,1,2.0,.500,4.0,6.0,10.0,3.0,0.0,0.0,0.0,3.0,16.0,13.4,-5,11.0,6.0,0.5454545454545454,48,1,40,50,11,15,31,5,47,8,43,4,26,27,31,52,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7741935483870968,1.0,0.6896551724137931,0.6410256410256411,0.5,0.9375,0.5535714285714286,1.0,0.746031746031746,0.4210526315789473,0.5657894736842105,1.0,0.896551724137931,0.675,0.5740740740740741,0.0,0.65,0.0,1.0,0.5645161290322581,4,7,7,2,40.0,74.0,63.0,71.0,20.0,0.0634920634920634,0.175,0.0,0.0985915492957746,0.1,22,12.0,38.0,1.7272727272727273,13.0,42.6,1.9363636363636365,17.3,2.7,0.1,-0.6,0.7,0.0746316808258952,0.589,0.236,0.38,0.7,1.2,L (-8),L (-8)
18.0,15.0,2022-11-23,28-092,POR,CLE,1,28.25,9.0,14.0,.643,2.0,3.0,.667,2,2.0,1.000,3.0,3.0,6.0,1.0,3.0,0.0,3.0,5.0,22.0,17.5,-9,11.0,7.0,0.6363636363636364,48,1,40,50,11,15,31,5,47,8,43,4,26,27,31,52,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7741935483870968,1.0,0.6896551724137931,0.6410256410256411,0.5,0.9375,0.5535714285714286,1.0,0.746031746031746,0.4210526315789473,0.5657894736842105,1.0,0.896551724137931,0.675,0.5740740740740741,0.0,0.65,0.0,1.0,0.5645161290322581,4,7,7,2,40.0,74.0,63.0,71.0,20.0,0.0634920634920634,0.175,0.0,0.0985915492957746,0.1,22,13.0,63.0,2.863636363636364,16.700000000000006,53.99999999999999,2.454545454545454,17.3,2.7,0.1,-0.6,0.7,0.0746316808258952,0.589,0.236,0.38,0.7,1.2,L (-18),L (-18)
19.0,16.0,2022-11-25,28-094,POR,NYK,1,37.766666666666666,7.0,12.0,.583,2.0,5.0,.400,4,5.0,.800,2.0,6.0,8.0,7.0,0.0,2.0,5.0,5.0,20.0,16.5,+16,7.0,5.0,0.7142857142857143,48,1,40,50,11,15,31,5,47,8,43,4,26,27,31,52,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7741935483870968,1.0,0.6896551724137931,0.6410256410256411,0.5,0.9375,0.5535714285714286,1.0,0.746031746031746,0.4210526315789473,0.5657894736842105,1.0,0.896551724137931,0.675,0.5740740740740741,0.0,0.65,0.0,1.0,0.5645161290322581,4,7,7,2,40.0,74.0,63.0,71.0,20.0,0.0634920634920634,0.175,0.0,0.0985915492957746,0.1,22,15.0,56.0,2.5454545454545454,14.9,76.8,3.4909090909090907,17.3,2.7,0.1,-0.6,0.7,0.0746316808258952,0.589,0.236,0.38,0.7,1.2,W (+3),W (+3)
20.0,17.0,2022-11-27,28-096,POR,BRK,1,33.75,6.0,12.0,.500,0.0,2.0,.000,5,8.0,.625,4.0,10.0,14.0,4.0,0.0,1.0,4.0,4.0,17.0,13.5,-6,10.0,6.0,0.6,48,1,40,50,11,15,31,5,47,8,43,4,26,27,31,52,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7741935483870968,1.0,0.6896551724137931,0.6410256410256411,0.5,0.9375,0.5535714285714286,1.0,0.746031746031746,0.4210526315789473,0.5657894736842105,1.0,0.896551724137931,0.675,0.5740740740740741,0.0,0.65,0.0,1.0,0.5645161290322581,4,7,7,2,40.0,74.0,63.0,71.0,20.0,0.0634920634920634,0.175,0.0,0.0985915492957746,0.1,22,12.0,54.0,2.4545454545454546,11.500000000000002,72.89999999999999,3.313636363636363,17.3,2.7,0.1,-0.6,0.7,0.0746316808258952,0.589,0.236,0.38,0.7,1.2,L (-14),L (-14)
21.0,18.0,2022-11-29,28-098,POR,LAC,1,31.78333333333333,6.0,15.0,.400,1.0,3.0,.333,0,0.0,,2.0,8.0,10.0,7.0,0.0,3.0,2.0,3.0,13.0,12.5,-2,12.0,5.0,0.4166666666666667,48,1,40,50,11,15,31,5,47,8,43,4,26,27,31,52,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7741935483870968,1.0,0.6896551724137931,0.6410256410256411,0.5,0.9375,0.5535714285714286,1.0,0.746031746031746,0.4210526315789473,0.5657894736842105,1.0,0.896551724137931,0.675,0.5740740740740741,0.0,0.65,0.0,1.0,0.5645161290322581,4,7,7,2,40.0,74.0,63.0,71.0,20.0,0.0634920634920634,0.175,0.0,0.0985915492957746,0.1,22,16.0,71.0,3.227272727272727,12.499999999999996,72.8,3.309090909090909,17.3,2.7,0.1,-0.6,0.7,0.0746316808258952,0.589,0.236,0.38,0.7,1.2,,
22.0,19.0,2022-11-30,28-099,POR,LAL,1,31.65,2.0,8.0,.250,0.0,1.0,.000,4,6.0,.667,1.0,9.0,10.0,1.0,1.0,1.0,2.0,3.0,8.0,5.0,-5,7.0,2.0,0.2857142857142857,48,1,40,50,11,15,31,5,47,8,43,4,26,27,31,52,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7741935483870968,1.0,0.6896551724137931,0.6410256410256411,0.5,0.9375,0.5535714285714286,1.0,0.746031746031746,0.4210526315789473,0.5657894736842105,1.0,0.896551724137931,0.675,0.5740740740740741,0.0,0.65,0.0,1.0,0.5645161290322581,4,7,7,2,40.0,74.0,63.0,71.0,20.0,0.0634920634920634,0.175,0.0,0.0985915492957746,0.1,22,5.0,87.0,3.954545454545455,3.3999999999999977,73.60000000000001,3.3454545454545457,17.3,2.7,0.1,-0.6,0.7,0.0746316808258952,0.589,0.236,0.38,0.7,1.2,L (-6),L (-6)
23.0,20.0,2022-12-03,28-102,POR,UTA,1,38.88333333333333,6.0,12.0,.500,0.0,1.0,.000,3,6.0,.500,5.0,9.0,14.0,4.0,0.0,1.0,1.0,4.0,15.0,14.9,-1,11.0,6.0,0.5454545454545454,48,1,40,50,11,15,31,5,47,8,43,4,26,27,31,52,6,35,62.0,1,58.0,78.0,22.0,16.0,56.0,5,63.0,19.0,76.0,4,29.0,40.0,54.0,9.0,80.0,5.0,6,62.0,0.7741935483870968,1.0,0.6896551724137931,0.6410256410256411,0.5,0.9375,0.5535714285714286,1.0,0.746031746031746,0.4210526315789473,0.5657894736842105,1.0,0.896551724137931,0.675,0.5740740740740741,0.0,0.65,0.0,1.0,0.5645161290322581,4,7,7,2,40.0,74.0,63.0,71.0,20.0,0.0634920634920634,0.175,0.0,0.0985915492957746,0.1,22,15.0,48.0,2.1818181818181817,13.699999999999998,66.4,3.0181818181818185,17.3,2.7,0.1,-0.6,0.7,0.0746316808258952,0.589,0.236,0.38,0.7,1.2,L (-19),L (-19)
