Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cam Reddish,Shared Games with Evan Fournier,Shared Games with Immanuel Quickley,Shared Games with Isaiah Hartenstein,Shared Games with Jalen Brunson,Shared Games with Jericho Sims,Shared Games with Julius Randle,Shared Games with Miles McBride,Shared Games with Mitchell Robinson,Shared Games with Obi Toppin,Shared Games with Quentin Grimes,Shared Games with RJ Barrett,Shared Games with Ryan Arcidiacono,Shared Games with Svi Mykhailiuk,Shared Games with Trevor Keels,Cam Reddish,DaQuan Jeffries,Evan Fournier,Feron Hunt,Immanuel Quickley,Isaiah Hartenstein,Jalen Brunson,Jericho Sims,Julius Randle,Miles McBride,Mitchell Robinson,Obi Toppin,Quentin Grimes,RJ Barrett,Ryan Arcidiacono,Svi Mykhailiuk,Trevor Keels,co_inf with Cam Reddish,co_inf with DaQuan Jeffries,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Isaiah Hartenstein,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Julius Randle,co_inf with Miles McBride,co_inf with Mitchell Robinson,co_inf with Obi Toppin,co_inf with Quentin Grimes,co_inf with RJ Barrett,co_inf with Ryan Arcidiacono,co_inf with Svi Mykhailiuk,co_inf with Trevor Keels,Shared Games with Moses Brown,Shared Games with Josh Hart,Blake Griffin,Duane Washington Jr.,Isaiah Roby,Josh Hart,co_inf with Blake Griffin,co_inf with Duane Washington Jr.,co_inf with Isaiah Roby,co_inf with Josh Hart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,11.0,2022-11-09,34-036,NYK,BRK,0,10.933333333333334,0.0,4.0,.000,0.0,3.0,.000,0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.8,-8,1.0,0.0,0.0,20,15,27,27,24,20,27,15,19,22,16,25,8,8,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.5555555555555556,,0.3333333333333333,0.3292682926829268,0.3529411764705882,0.3846153846153846,0.3506493506493506,0.234375,0.3220338983050847,0.3283582089552239,0.2253521126760563,0.3424657534246575,0.4,0.25,0.3333333333333333,7,1,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0131578947368421,17,0.0,41.0,2.411764705882353,-0.7999999999999998,46.39999999999999,2.729411764705882,10.1,0.0,-3.7,-2.2,-1.5,0.0159764557494219,0.463,0.396,0.075,-0.1,-0.3,L (-27),L (-27)
12.0,12.0,2022-11-11,34-038,NYK,DET,0,15.316666666666666,2.0,7.0,.286,0.0,1.0,.000,4,4.0,1.000,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,8.0,3.9,+1,6.0,2.0,0.3333333333333333,20,15,27,27,24,20,27,15,19,22,16,25,8,8,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.5555555555555556,,0.3333333333333333,0.3292682926829268,0.3529411764705882,0.3846153846153846,0.3506493506493506,0.234375,0.3220338983050847,0.3283582089552239,0.2253521126760563,0.3424657534246575,0.4,0.25,0.3333333333333333,7,1,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0131578947368421,17,-2.0,78.0,4.588235294117647,2.3000000000000016,92.0,5.411764705882353,10.1,0.0,-3.7,-2.2,-1.5,0.0159764557494219,0.463,0.396,0.075,-0.1,-0.3,W (+9),W (+9)
13.0,13.0,2022-11-13,34-040,NYK,OKC,0,16.733333333333334,3.0,6.0,.500,1.0,2.0,.500,0,0.0,,0.0,2.0,2.0,4.0,0.0,0.0,2.0,1.0,7.0,5.0,+3,4.0,2.0,0.5,20,15,27,27,24,20,27,15,19,22,16,25,8,8,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.5555555555555556,,0.3333333333333333,0.3292682926829268,0.3529411764705882,0.3846153846153846,0.3506493506493506,0.234375,0.3220338983050847,0.3283582089552239,0.2253521126760563,0.3424657534246575,0.4,0.25,0.3333333333333333,7,1,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0131578947368421,17,5.0,64.0,3.764705882352941,4.999999999999998,71.10000000000001,4.182352941176471,10.1,0.0,-3.7,-2.2,-1.5,0.0159764557494219,0.463,0.396,0.075,-0.1,-0.3,L (-10),L (-10)
14.0,14.0,2022-11-15,34-042,NYK,UTA,0,13.6,3.0,6.0,.500,0.0,1.0,.000,0,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,6.0,4.1,-2,5.0,3.0,0.6,20,15,27,27,24,20,27,15,19,22,16,25,8,8,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.5555555555555556,,0.3333333333333333,0.3292682926829268,0.3529411764705882,0.3846153846153846,0.3506493506493506,0.234375,0.3220338983050847,0.3283582089552239,0.2253521126760563,0.3424657534246575,0.4,0.25,0.3333333333333333,7,1,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0131578947368421,17,2.0,82.0,4.823529411764706,4.100000000000001,81.6,4.8,10.1,0.0,-3.7,-2.2,-1.5,0.0159764557494219,0.463,0.396,0.075,-0.1,-0.3,W (+7),W (+7)
15.0,15.0,2022-11-16,34-043,NYK,DEN,0,16.883333333333333,5.0,10.0,.500,2.0,3.0,.667,1,1.0,1.000,1.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,13.0,10.7,+2,7.0,3.0,0.4285714285714285,20,15,27,27,24,20,27,15,19,22,16,25,8,8,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.5555555555555556,,0.3333333333333333,0.3292682926829268,0.3529411764705882,0.3846153846153846,0.3506493506493506,0.234375,0.3220338983050847,0.3283582089552239,0.2253521126760563,0.3424657534246575,0.4,0.25,0.3333333333333333,7,1,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0131578947368421,17,7.0,66.0,3.882352941176471,10.299999999999995,72.4,4.258823529411765,10.1,0.0,-3.7,-2.2,-1.5,0.0159764557494219,0.463,0.396,0.075,-0.1,-0.3,W (+3),W (+3)
16.0,16.0,2022-11-18,34-045,NYK,GSW,0,13.8,3.0,7.0,.429,1.0,3.0,.333,2,2.0,1.000,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,9.0,8.1,-10,4.0,2.0,0.5,20,15,27,27,24,20,27,15,19,22,16,25,8,8,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.5555555555555556,,0.3333333333333333,0.3292682926829268,0.3529411764705882,0.3846153846153846,0.3506493506493506,0.234375,0.3220338983050847,0.3283582089552239,0.2253521126760563,0.3424657534246575,0.4,0.25,0.3333333333333333,7,1,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0131578947368421,17,4.0,53.0,3.117647058823529,7.300000000000002,58.900000000000006,3.4647058823529413,10.1,0.0,-3.7,-2.2,-1.5,0.0159764557494219,0.463,0.396,0.075,-0.1,-0.3,L (-10),L (-10)
17.0,17.0,2022-11-20,34-047,NYK,PHO,0,7.85,3.0,5.0,.600,1.0,2.0,.500,0,0.0,,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,6.7,+3,3.0,2.0,0.6666666666666666,20,15,27,27,24,20,27,15,19,22,16,25,8,8,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.5555555555555556,,0.3333333333333333,0.3292682926829268,0.3529411764705882,0.3846153846153846,0.3506493506493506,0.234375,0.3220338983050847,0.3283582089552239,0.2253521126760563,0.3424657534246575,0.4,0.25,0.3333333333333333,7,1,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0131578947368421,17,6.0,63.0,3.7058823529411766,6.699999999999999,71.49999999999999,4.205882352941176,10.1,0.0,-3.7,-2.2,-1.5,0.0159764557494219,0.463,0.396,0.075,-0.1,-0.3,L (-21),L (-21)
18.0,,2022-11-21,34-048,NYK,OKC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,20,15,27,27,24,20,27,15,19,22,16,25,8,8,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.5555555555555556,,0.3333333333333333,0.3292682926829268,0.3529411764705882,0.3846153846153846,0.3506493506493506,0.234375,0.3220338983050847,0.3283582089552239,0.2253521126760563,0.3424657534246575,0.4,0.25,0.3333333333333333,7,1,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0131578947368421,17,,101.0,5.941176470588236,0.0,103.5,6.088235294117647,10.1,0.0,-3.7,-2.2,-1.5,0.0159764557494219,0.463,0.396,0.075,-0.1,-0.3,W (+10),W (+10)
19.0,,2022-11-25,34-052,NYK,POR,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,20,15,27,27,24,20,27,15,19,22,16,25,8,8,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.5555555555555556,,0.3333333333333333,0.3292682926829268,0.3529411764705882,0.3846153846153846,0.3506493506493506,0.234375,0.3220338983050847,0.3283582089552239,0.2253521126760563,0.3424657534246575,0.4,0.25,0.3333333333333333,7,1,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0131578947368421,17,,93.0,5.470588235294118,0.0,98.0,5.764705882352941,10.1,0.0,-3.7,-2.2,-1.5,0.0159764557494219,0.463,0.396,0.075,-0.1,-0.3,L (-3),L (-3)
20.0,18.0,2022-11-27,34-054,NYK,MEM,0,11.7,3.0,7.0,.429,0.0,2.0,.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,1.8,-3,5.0,3.0,0.6,20,15,27,27,24,20,27,15,19,22,16,25,8,8,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.5555555555555556,,0.3333333333333333,0.3292682926829268,0.3529411764705882,0.3846153846153846,0.3506493506493506,0.234375,0.3220338983050847,0.3283582089552239,0.2253521126760563,0.3424657534246575,0.4,0.25,0.3333333333333333,7,1,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0131578947368421,17,0.0,85.0,5.0,1.8000000000000005,93.1,5.476470588235294,10.1,0.0,-3.7,-2.2,-1.5,0.0159764557494219,0.463,0.396,0.075,-0.1,-0.3,L (-4),L (-4)
21.0,19.0,2022-11-29,34-056,NYK,DET,0,24.516666666666666,2.0,7.0,.286,1.0,2.0,.500,0,0.0,,1.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,5.0,3.2,+17,5.0,1.0,0.2,20,15,27,27,24,20,27,15,19,22,16,25,8,8,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.5555555555555556,,0.3333333333333333,0.3292682926829268,0.3529411764705882,0.3846153846153846,0.3506493506493506,0.234375,0.3220338983050847,0.3283582089552239,0.2253521126760563,0.3424657534246575,0.4,0.25,0.3333333333333333,7,1,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0131578947368421,17,3.0,120.0,7.0588235294117645,3.2,125.5,7.382352941176471,10.1,0.0,-3.7,-2.2,-1.5,0.0159764557494219,0.463,0.396,0.075,-0.1,-0.3,,
22.0,20.0,2022-11-30,34-057,NYK,MIL,0,10.633333333333333,2.0,6.0,.333,0.0,0.0,,0,0.0,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,2.6,-3,6.0,2.0,0.3333333333333333,20,15,27,27,24,20,27,15,19,22,16,25,8,8,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.5555555555555556,,0.3333333333333333,0.3292682926829268,0.3529411764705882,0.3846153846153846,0.3506493506493506,0.234375,0.3220338983050847,0.3283582089552239,0.2253521126760563,0.3424657534246575,0.4,0.25,0.3333333333333333,7,1,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0131578947368421,17,1.0,59.0,3.4705882352941178,2.6000000000000005,63.8,3.752941176470588,10.1,0.0,-3.7,-2.2,-1.5,0.0159764557494219,0.463,0.396,0.075,-0.1,-0.3,W (+30),W (+30)
23.0,21.0,2022-12-03,34-060,NYK,DAL,0,13.3,2.0,6.0,.333,0.0,2.0,.000,0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,4.0,2.9,-4,4.0,2.0,0.5,20,15,27,27,24,20,27,15,19,22,16,25,8,8,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.5555555555555556,,0.3333333333333333,0.3292682926829268,0.3529411764705882,0.3846153846153846,0.3506493506493506,0.234375,0.3220338983050847,0.3283582089552239,0.2253521126760563,0.3424657534246575,0.4,0.25,0.3333333333333333,7,1,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0131578947368421,17,3.0,59.0,3.4705882352941178,2.9,60.0,3.5294117647058822,10.1,0.0,-3.7,-2.2,-1.5,0.0159764557494219,0.463,0.396,0.075,-0.1,-0.3,L (-6),L (-6)
24.0,,2022-12-04,34-061,NYK,CLE,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,15,27,27,24,20,27,15,19,22,16,25,8,8,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.5555555555555556,,0.3333333333333333,0.3292682926829268,0.3529411764705882,0.3846153846153846,0.3506493506493506,0.234375,0.3220338983050847,0.3283582089552239,0.2253521126760563,0.3424657534246575,0.4,0.25,0.3333333333333333,7,1,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0131578947368421,17,,62.0,3.647058823529412,0.0,67.49999999999999,3.970588235294117,10.1,0.0,-3.7,-2.2,-1.5,0.0159764557494219,0.463,0.396,0.075,-0.1,-0.3,L (-21),L (-21)
25.0,,2022-12-07,34-064,NYK,ATL,Did Not Play,0.0,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,20,15,27,27,24,20,27,15,19,22,16,25,8,8,1,40.0,,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,73.0,20.0,32.0,3.0,0.5,,0.5555555555555556,,0.3333333333333333,0.3292682926829268,0.3529411764705882,0.3846153846153846,0.3506493506493506,0.234375,0.3220338983050847,0.3283582089552239,0.2253521126760563,0.3424657534246575,0.4,0.25,0.3333333333333333,7,1,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.0131578947368421,17,,103.0,6.0588235294117645,0.0,93.0,5.470588235294118,10.1,0.0,-3.7,-2.2,-1.5,0.0159764557494219,0.463,0.396,0.075,-0.1,-0.3,W (+11),W (+11)
