Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Cam Reddish,Shared Games with Derrick Rose,Shared Games with Evan Fournier,Shared Games with Immanuel Quickley,Shared Games with Isaiah Hartenstein,Shared Games with Jalen Brunson,Shared Games with Jericho Sims,Shared Games with Julius Randle,Shared Games with Miles McBride,Shared Games with Mitchell Robinson,Shared Games with Obi Toppin,Shared Games with Quentin Grimes,Shared Games with Ryan Arcidiacono,Shared Games with Svi Mykhailiuk,Shared Games with Trevor Keels,Cam Reddish,DaQuan Jeffries,Derrick Rose,Evan Fournier,Feron Hunt,Immanuel Quickley,Isaiah Hartenstein,Jalen Brunson,Jericho Sims,Julius Randle,Miles McBride,Mitchell Robinson,Obi Toppin,Quentin Grimes,Ryan Arcidiacono,Svi Mykhailiuk,Trevor Keels,co_inf with Cam Reddish,co_inf with DaQuan Jeffries,co_inf with Derrick Rose,co_inf with Evan Fournier,co_inf with Feron Hunt,co_inf with Immanuel Quickley,co_inf with Isaiah Hartenstein,co_inf with Jalen Brunson,co_inf with Jericho Sims,co_inf with Julius Randle,co_inf with Miles McBride,co_inf with Mitchell Robinson,co_inf with Obi Toppin,co_inf with Quentin Grimes,co_inf with Ryan Arcidiacono,co_inf with Svi Mykhailiuk,co_inf with Trevor Keels,Shared Games with Moses Brown,Shared Games with Josh Hart,Blake Griffin,Duane Washington Jr.,Isaiah Roby,Josh Hart,co_inf with Blake Griffin,co_inf with Duane Washington Jr.,co_inf with Isaiah Roby,co_inf with Josh Hart,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
11.0,11.0,2022-11-09,22-148,NYK,BRK,1,30.23333333333333,5.0,14.0,.357,2.0,4.0,.500,4,8.0,.500,2.0,4.0,6.0,3.0,1.0,0.0,3.0,3.0,16.0,8.1,-22,10.0,3.0,0.3,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,1.0,40.0,2.3529411764705883,6.4999999999999964,39.1,2.3000000000000003,12.9,2.2,-3.1,-1.2,-1.9,0.1504099222198864,0.531,0.332,0.333,-0.7,0.5,L (-27),L (-27)
12.0,12.0,2022-11-11,22-150,NYK,DET,1,37.516666666666666,10.0,17.0,.588,3.0,8.0,.375,7,8.0,.875,1.0,4.0,5.0,5.0,0.0,0.0,1.0,3.0,30.0,24.9,+11,9.0,7.0,0.7777777777777778,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,14.0,62.0,3.647058823529412,22.10000000000001,72.2,4.247058823529412,12.9,2.2,-3.1,-1.2,-1.9,0.1504099222198864,0.531,0.332,0.333,-0.7,0.5,W (+9),W (+9)
13.0,13.0,2022-11-13,22-152,NYK,OKC,1,19.416666666666668,2.0,10.0,.200,0.0,2.0,.000,0,0.0,,1.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,4.0,-4.1,-14,8.0,2.0,0.25,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,-6.0,75.0,4.411764705882353,-4.1,80.2,4.7176470588235295,12.9,2.2,-3.1,-1.2,-1.9,0.1504099222198864,0.531,0.332,0.333,-0.7,0.5,L (-10),L (-10)
14.0,14.0,2022-11-15,22-154,NYK,UTA,1,37.46666666666667,5.0,18.0,.278,0.0,5.0,.000,8,14.0,.571,0.0,3.0,3.0,4.0,0.0,0.0,1.0,2.0,18.0,6.9,+3,13.0,5.0,0.3846153846153846,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,-8.0,92.0,5.411764705882353,3.6999999999999993,81.99999999999999,4.823529411764705,12.9,2.2,-3.1,-1.2,-1.9,0.1504099222198864,0.531,0.332,0.333,-0.7,0.5,W (+7),W (+7)
15.0,15.0,2022-11-16,22-155,NYK,DEN,1,30.98333333333333,4.0,18.0,.222,0.0,9.0,.000,3,4.0,.750,0.0,3.0,3.0,2.0,1.0,0.0,1.0,3.0,11.0,0.7,-18,9.0,4.0,0.4444444444444444,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,-6.0,79.0,4.647058823529412,-0.4999999999999995,83.19999999999999,4.894117647058823,12.9,2.2,-3.1,-1.2,-1.9,0.1504099222198864,0.531,0.332,0.333,-0.7,0.5,W (+3),W (+3)
16.0,16.0,2022-11-18,22-157,NYK,GSW,1,39.66666666666666,6.0,19.0,.316,1.0,6.0,.167,5,5.0,1.000,0.0,4.0,4.0,5.0,0.0,0.0,3.0,2.0,18.0,8.0,-10,13.0,5.0,0.3846153846153846,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,0.0,57.0,3.3529411764705883,5.999999999999998,60.2,3.541176470588236,12.9,2.2,-3.1,-1.2,-1.9,0.1504099222198864,0.531,0.332,0.333,-0.7,0.5,L (-10),L (-10)
17.0,17.0,2022-11-20,22-159,NYK,PHO,1,26.85,3.0,11.0,.273,1.0,3.0,.333,5,6.0,.833,2.0,2.0,4.0,2.0,0.0,0.0,1.0,2.0,12.0,6.7,-24,8.0,2.0,0.25,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,0.0,69.0,4.0588235294117645,4.699999999999998,73.5,4.323529411764706,12.9,2.2,-3.1,-1.2,-1.9,0.1504099222198864,0.531,0.332,0.333,-0.7,0.5,L (-21),L (-21)
18.0,18.0,2022-11-21,22-160,NYK,OKC,1,37.48333333333333,10.0,16.0,.625,3.0,4.0,.750,2,2.0,1.000,2.0,6.0,8.0,2.0,1.0,0.0,6.0,3.0,25.0,16.2,+3,12.0,7.0,0.5833333333333334,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,12.0,89.0,5.235294117647059,15.399999999999997,88.10000000000001,5.182352941176471,12.9,2.2,-3.1,-1.2,-1.9,0.1504099222198864,0.531,0.332,0.333,-0.7,0.5,W (+10),W (+10)
19.0,19.0,2022-11-25,22-164,NYK,POR,1,44.03333333333333,6.0,22.0,.273,1.0,7.0,.143,6,8.0,.750,1.0,9.0,10.0,5.0,1.0,0.0,3.0,3.0,19.0,8.9,-6,15.0,5.0,0.3333333333333333,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,2.0,91.0,5.352941176470588,6.5,91.5,5.382352941176471,12.9,2.2,-3.1,-1.2,-1.9,0.1504099222198864,0.531,0.332,0.333,-0.7,0.5,L (-3),L (-3)
20.0,20.0,2022-11-27,22-166,NYK,MEM,1,35.733333333333334,9.0,17.0,.529,2.0,6.0,.333,2,2.0,1.000,1.0,6.0,7.0,4.0,0.0,0.0,2.0,1.0,22.0,16.6,-5,11.0,7.0,0.6363636363636364,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,12.0,73.0,4.294117647058823,15.800000000000004,79.10000000000001,4.652941176470589,12.9,2.2,-3.1,-1.2,-1.9,0.1504099222198864,0.531,0.332,0.333,-0.7,0.5,L (-4),L (-4)
21.0,21.0,2022-11-29,22-168,NYK,DET,1,23.716666666666665,4.0,11.0,.364,2.0,5.0,.400,6,8.0,.750,2.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,16.0,12.8,+32,6.0,2.0,0.3333333333333333,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,4.0,119.0,7.0,10.400000000000004,118.29999999999998,6.958823529411764,12.9,2.2,-3.1,-1.2,-1.9,0.1504099222198864,0.531,0.332,0.333,-0.7,0.5,,
22.0,22.0,2022-11-30,22-169,NYK,MIL,1,33.333333333333336,8.0,15.0,.533,2.0,4.0,.500,8,9.0,.889,0.0,2.0,2.0,3.0,0.0,0.0,3.0,5.0,26.0,16.0,-5,11.0,6.0,0.5454545454545454,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,4.0,56.0,3.294117647058824,12.799999999999995,53.6,3.152941176470588,12.9,2.2,-3.1,-1.2,-1.9,0.1504099222198864,0.531,0.332,0.333,-0.7,0.5,W (+30),W (+30)
23.0,23.0,2022-12-03,22-172,NYK,DAL,1,20.3,4.0,9.0,.444,1.0,3.0,.333,4,5.0,.800,1.0,5.0,6.0,3.0,1.0,0.0,0.0,2.0,13.0,12.4,-9,6.0,3.0,0.5,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,9.0,53.0,3.117647058823529,10.799999999999995,52.1,3.0647058823529414,12.9,2.2,-3.1,-1.2,-1.9,0.1504099222198864,0.531,0.332,0.333,-0.7,0.5,L (-6),L (-6)
24.0,24.0,2022-12-04,22-173,NYK,CLE,1,31.35,5.0,13.0,.385,2.0,7.0,.286,3,4.0,.750,0.0,8.0,8.0,1.0,1.0,0.0,6.0,2.0,15.0,4.8,+7,6.0,3.0,0.5,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,2.0,60.0,3.5294117647058822,3.599999999999998,63.89999999999999,3.758823529411764,12.9,2.2,-3.1,-1.2,-1.9,0.1504099222198864,0.531,0.332,0.333,-0.7,0.5,L (-21),L (-21)
25.0,25.0,2022-12-07,22-176,NYK,ATL,1,36.18333333333333,4.0,13.0,.308,2.0,6.0,.333,5,7.0,.714,0.0,7.0,7.0,0.0,1.0,0.0,3.0,2.0,15.0,6.0,+18,7.0,2.0,0.2857142857142857,20,25,18,72,73,62,45,70,55,51,63,62,9,12,3,40.0,,27.0,27.0,,81.0,82.0,68.0,52.0,77.0,64.0,59.0,67.0,71.0,20.0,32.0,3.0,0.5,,0.925925925925926,0.6666666666666666,,0.8888888888888888,0.8902439024390244,0.9117647058823528,0.8653846153846154,0.9090909090909092,0.859375,0.864406779661017,0.9402985074626866,0.8732394366197183,0.45,0.375,1.0,14,23,41.0,31.0,42.0,76.0,0.0,0.0,0.0,0.3026315789473684,17,0.0,103.0,6.0588235294117645,4.000000000000003,89.0,5.235294117647059,12.9,2.2,-3.1,-1.2,-1.9,0.1504099222198864,0.531,0.332,0.333,-0.7,0.5,W (+11),W (+11)
